Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
yinc1238	Yinchia	Austroasiatic	Eurasia	65	65	64	98.46
hala1252	Halang	Austroasiatic	Eurasia	82	74	71	95.95
lave1249	Brao	Austroasiatic	Eurasia	122	112	107	95.54
uuuu1243	U	Austroasiatic	Eurasia	139	128	122	95.31
west2650	Western Cham	Austronesian	Eurasia	151	143	135	94.41
aheu1239	Thavung	Austroasiatic	Eurasia	192	173	161	93.06
homa1239	Homa	Atlantic-Congo	Africa	14	14	13	92.86
sapu1248	Sapuan	Austroasiatic	Eurasia	152	142	131	92.25
west2397	Western Bru	Austroasiatic	Eurasia	157	146	134	91.78
moke1242	Moken	Austronesian	Eurasia	171	157	144	91.72
mokl1243	Moklen	Austronesian	Eurasia	181	168	154	91.67
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	69	63	91.3
huuu1240	Hu	Austroasiatic	Eurasia	175	159	145	91.19
rade1240	Rade	Austronesian	Eurasia	167	154	140	90.91
manm1238	Man Met	Austroasiatic	Eurasia	150	141	128	90.78
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	173	157	90.75
mang1378	Mang	Austroasiatic	Eurasia	158	149	135	90.6
phai1238	Prai	Austroasiatic	Eurasia	186	170	154	90.59
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	137	124	90.51
sooo1254	Sô	Austroasiatic	Eurasia	176	167	151	90.42
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	164	148	90.24
buga1247	Bugan	Austroasiatic	Eurasia	190	173	156	90.17
shee1238	She	Hmong-Mien	Eurasia	162	151	136	90.07
mans1260	Mansim	Hatam-Mansim	Papunesia	71	68	61	89.71
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	164	147	89.63
east2485	Eastern Penan	Austronesian	Papunesia	147	134	120	89.55
hung1275	Hung	Austroasiatic	Eurasia	142	133	119	89.47
ahom1240	Ahom	Tai-Kadai	Eurasia	178	161	144	89.44
boly1239	Bolyu	Austroasiatic	Eurasia	166	151	135	89.4
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	168	150	89.29
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	148	132	89.19
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	174	155	89.08
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	172	153	88.95
lach1248	Lachi	Tai-Kadai	Eurasia	167	152	135	88.82
