Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	9	9	100
twan1247	Twana	Salishan	North America	87	70	62	88.57
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	16	14	87.5
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	13	86.67
bana1288	Banao Itneg	Austronesian	Papunesia	24	22	19	86.36
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	78	63	80.77
ndam1251	Ndam	Afro-Asiatic	Africa	41	36	29	80.56
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
sooo1256	Soo	Kuliak	Africa	82	73	58	79.45
huba1236	Huba	Afro-Asiatic	Africa	151	120	95	79.17
atay1247	Atayal	Austronesian	Papunesia	129	108	85	78.7
gbay1278	Gbayi	Atlantic-Congo	Africa	58	51	40	78.43
bobo1255	Bobongko	Austronesian	Papunesia	73	59	46	77.97
papa1268	Papar	Austronesian	Papunesia	47	39	30	76.92
tima1241	Tima	Katla-Tima	Africa	61	55	42	76.36
yana1271	Yana		North America	91	76	58	76.32
glav1244	Glavda	Afro-Asiatic	Africa	149	121	92	76.03
poko1263	Pökoot	Nilotic	Africa	153	114	86	75.44
kips1239	Kipsigis	Nilotic	Africa	156	118	89	75.42
baba1266	Babanki	Atlantic-Congo	Africa	159	126	95	75.4
nara1262	Nara		Africa	132	97	73	75.26
west2557	Western Subanon	Austronesian	Papunesia	175	133	100	75.19
basa1287	Basay	Austronesian	Papunesia	106	88	66	75
dard1243	Dar Daju Daju	Dajuic	Africa	93	72	54	75
keig1242	Keiga	Kadugli-Krongo	Africa	148	112	84	75
natu1246	Natügu	Austronesian	Papunesia	96	80	60	75
sout2912	Coastal-Virac Bikol	Austronesian	Papunesia	128	96	72	75
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	12	9	75
murl1244	Murle	Surmic	Africa	175	131	98	74.81
ronn1241	Ron	Afro-Asiatic	Africa	169	127	95	74.8
thur1254	Thurawal	Pama-Nyungan	Australia	86	75	56	74.67
elna1235	El Nayar Cora	Uto-Aztecan	North America	162	126	94	74.6
giiw1236	Giiwo	Afro-Asiatic	Africa	70	63	47	74.6
saya1246	Saya	Afro-Asiatic	Africa	121	98	73	74.49
hdii1240	Hdi	Afro-Asiatic	Africa	98	82	61	74.39
molo1266	Moloko	Afro-Asiatic	Africa	109	82	61	74.39
moro1287	Moronene	Austronesian	Papunesia	106	82	61	74.39
miam1252	Miami	Algic	North America	120	97	72	74.23
ilon1239	Ilongot	Austronesian	Papunesia	145	112	83	74.11
monn1252	Mon	Austroasiatic	Eurasia	91	73	54	73.97
nuuc1236	Nuu-chah-nulth	Wakashan	North America	151	115	85	73.91
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	103	76	73.79
romb1245	Romblomanon	Austronesian	Papunesia	155	110	81	73.64
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	53	39	73.58
keda1252	Kedang	Austronesian	Papunesia	162	121	89	73.55
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	68	50	73.53
bayo1255	Kugere-Kuxinge	Atlantic-Congo	Africa	58	49	36	73.47
anua1242	Anuak	Nilotic	Africa	71	64	47	73.44
kron1241	Krongo	Kadugli-Krongo	Africa	75	64	47	73.44
wath1238	Wathawurrung	Pama-Nyungan	Australia	55	45	33	73.33
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	97	71	73.2
puqu1242	Puquina		South America	118	93	68	73.12
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	78	57	73.08
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	52	38	73.08
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	63	46	73.02
umot1240	Umotína	Bororoan	South America	73	63	46	73.02
shil1265	Shilluk	Nilotic	Africa	182	137	100	72.99
cent2091	Central Palawano	Austronesian	Papunesia	90	74	54	72.97
sout2826	Southern Grebo	Kru	Africa	85	74	54	72.97
teng1272	Tengger	Austronesian	Papunesia	121	96	70	72.92
mbar1260	Mbara (Chad)	Afro-Asiatic	Africa	157	118	86	72.88
marg1265	Marghi Central	Afro-Asiatic	Africa	184	136	99	72.79
boli1256	Bolinao	Austronesian	Papunesia	60	55	40	72.73
gaan1243	Ga'anda	Afro-Asiatic	Africa	140	110	80	72.73
labu1249	Labuk-Kinabatangan Kadazan	Austronesian	Papunesia	104	88	64	72.73
mota1237	Mota	Austronesian	Papunesia	107	88	64	72.73
tojo1241	Tojolabal	Mayan	North America	195	143	104	72.73
waja1259	Waja	Atlantic-Congo	Africa	133	110	80	72.73
yind1248	Yindjilandji	Pama-Nyungan	Australia	75	66	48	72.73
kava1241	Kavalan	Austronesian	Papunesia	148	117	85	72.65
miga1249	Migaama	Afro-Asiatic	Africa	104	91	66	72.53
aika1237	Aikanã		South America	90	80	58	72.5
kina1250	Kinaray-a	Austronesian	Papunesia	143	109	79	72.48
tawa1286	Tawallammat Tamajaq	Afro-Asiatic	Africa	127	105	76	72.38
bert1248	Berta		Africa	119	94	68	72.34
obom1235	Obo Manobo	Austronesian	Papunesia	54	47	34	72.34
tiru1241	Tiruray	Austronesian	Papunesia	145	108	78	72.22
wara1292	Samue	Atlantic-Congo	Africa	65	54	39	72.22
hyam1245	Hyam	Atlantic-Congo	Africa	93	79	57	72.15
moch1257	Mocho	Mayan	North America	163	122	88	72.13
taga1272	Tagabawa	Austronesian	Papunesia	161	122	88	72.13
gaaa1245	Gaa	Atlantic-Congo	Africa	79	68	49	72.06
alse1251	Alsea-Yaquina		North America	149	118	85	72.03
gana1278	Ganai	Pama-Nyungan	Australia	53	50	36	72
mosi1247	Akie	Nilotic	Africa	167	125	90	72
kala1388	Kalagan	Austronesian	Papunesia	150	114	82	71.93
tuvi1240	Tuvinian	Turkic	Eurasia	154	121	87	71.9
bure1242	Bure	Afro-Asiatic	Africa	124	103	74	71.84
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	110	79	71.82
nkor1239	Nkoroo	Ijoid	Africa	54	39	28	71.79
simb1256	Simbo	Austronesian	Papunesia	95	78	56	71.79
kele1259	Keley-i Kallahan	Austronesian	Papunesia	170	131	94	71.76
dime1235	Dime	South Omotic	Africa	52	46	33	71.74
gbay1288	Kresh-Woro	Kresh-Aja	Africa	134	106	76	71.7
timu1262	Timugon Murut	Austronesian	Papunesia	153	120	86	71.67
coos1249	Hanis	Coosan	North America	176	134	96	71.64
malg1251	Malgwa	Afro-Asiatic	Africa	171	134	96	71.64
sali1253	Salinan		North America	141	109	78	71.56
agut1237	Agutaynen	Austronesian	Papunesia	161	130	93	71.54
