Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	14	87.5
goro1270	Gorowa	Afro-Asiatic	Africa	13	8	7	87.5
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	80	68	85
latv1249	Latvian	Indo-European	Eurasia	184	153	129	84.31
lith1251	Lithuanian	Indo-European	Eurasia	191	153	128	83.66
daha1245	Dahalo	Afro-Asiatic	Africa	46	42	35	83.33
nepa1254	Nepali	Indo-European	Eurasia	162	144	118	81.94
awad1243	Awadhi	Indo-European	Eurasia	173	138	113	81.88
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	71	58	81.69
dime1235	Dime	South Omotic	Africa	52	49	40	81.63
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	140	114	81.43
konk1267	Konkan Marathi	Indo-European	Eurasia	180	144	117	81.25
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	119	96	80.67
duru1236	Duruwa	Dravidian	Eurasia	121	103	83	80.58
clas1249	Classical-Middle Armenian	Indo-European	Eurasia	183	154	124	80.52
hind1269	Hindi	Indo-European	Eurasia	187	153	123	80.39
telu1262	Telugu	Dravidian	Eurasia	127	107	86	80.37
shol1240	Sholaga	Dravidian	Eurasia	172	141	113	80.14
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
korr1238	Korra Koraga	Dravidian	Eurasia	133	110	88	80
muth1236	Muthuvan	Dravidian	Eurasia	143	120	96	80
nati1243	Natioro	Atlantic-Congo	Africa	51	45	36	80
qima1242	Qimant	Afro-Asiatic	Africa	166	140	112	80
bela1254	Belarusian	Indo-European	Eurasia	190	154	123	79.87
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	144	115	79.86
even1260	Even	Tungusic	Eurasia	141	117	93	79.49
dand1238	Dandami Maria	Dravidian	Eurasia	161	140	111	79.29
kota1263	Kota (India)	Dravidian	Eurasia	158	130	103	79.23
bora1271	Borana-Arsi-Guji Oromo	Afro-Asiatic	Africa	78	72	57	79.17
mido1240	Midob	Nubian	Africa	55	48	38	79.17
orma1241	Orma	Afro-Asiatic	Africa	128	110	87	79.09
tulu1258	Tulu	Dravidian	Eurasia	163	133	105	78.95
bund1253	Bundeli	Indo-European	Eurasia	173	146	115	78.77
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	140	110	78.57
hrus1242	Hruso		Eurasia	89	84	66	78.57
