Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	3	3	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
bera1262	Berau Malay	Austronesian	Papunesia	11	10	9	90
lewo1242	Lewo	Austronesian	Papunesia	173	117	103	88.03
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
mera1242	Meramera	Austronesian	Papunesia	54	41	35	85.37
sioo1240	Sio	Austronesian	Papunesia	175	120	100	83.33
muso1238	Musom	Austronesian	Papunesia	150	109	90	82.57
kaul1240	Kaulong	Austronesian	Papunesia	90	67	55	82.09
alor1247	Alorese	Austronesian	Papunesia	168	116	95	81.9
vinm1237	Neve'ei	Austronesian	Papunesia	143	109	89	81.65
ramo1244	Ramoaaina	Austronesian	Papunesia	52	38	31	81.58
akei1237	Akei	Austronesian	Papunesia	122	92	75	81.52
adon1237	Adonara	Austronesian	Papunesia	165	119	97	81.51
east2440	East Makian	Austronesian	Papunesia	95	70	57	81.43
sema1266	Semai	Austroasiatic	Eurasia	141	96	78	81.25
loni1238	Loniu	Austronesian	Papunesia	185	122	99	81.15
bagi1246	Bagirmi	Central Sudanic	Africa	167	106	86	81.13
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	116	94	81.03
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	100	81	81
gebe1237	Gebe	Austronesian	Papunesia	129	94	76	80.85
katb1237	Avava	Austronesian	Papunesia	183	120	97	80.83
daka1243	Dakaka	Austronesian	Papunesia	187	125	101	80.8
gese1240	Geser-Gorom	Austronesian	Papunesia	69	52	42	80.77
tean1237	Teanu	Austronesian	Papunesia	147	114	92	80.7
adze1240	Adzera	Austronesian	Papunesia	158	119	96	80.67
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	93	75	80.65
furu1242	Furu	Central Sudanic	Africa	127	93	75	80.65
jurm1239	Jur Modo	Central Sudanic	Africa	159	98	79	80.61
bign1238	Big Nambas	Austronesian	Papunesia	181	123	99	80.49
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	41	33	80.49
unua1237	Unua	Austronesian	Papunesia	192	123	99	80.49
tolo1255	Tolomako	Austronesian	Papunesia	120	97	78	80.41
aulu1238	Aulua	Austronesian	Papunesia	160	112	90	80.36
labo1244	Ninde	Austronesian	Papunesia	122	96	77	80.21
mort1237	Mortlockese	Austronesian	Papunesia	141	101	81	80.2
nuuu1241	N||ng-Danster !Ui	Tuu	Africa	160	106	85	80.19
vano1237	Lovono	Austronesian	Papunesia	146	111	89	80.18
biak1248	Biak	Austronesian	Papunesia	100	70	56	80
daak1235	Da'a Kaili	Austronesian	Papunesia	123	95	76	80
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
tuml1238	Tumleo	Austronesian	Papunesia	103	75	60	80
vure1239	Vurës	Austronesian	Papunesia	194	125	100	80
seke1241	Seke (Vanuatu)	Austronesian	Papunesia	175	124	99	79.84
hote1245	Hote	Austronesian	Papunesia	162	109	87	79.82
lamo1244	Lamogai	Austronesian	Papunesia	135	104	83	79.81
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	99	79	79.8
gaaa1245	Gaa	Atlantic-Congo	Africa	79	69	55	79.71
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	59	47	79.66
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	113	90	79.65
