Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
tain1254	Taino	Arawakan	North America	4	3	3	100
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	155	140	90.32
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	151	135	89.4
gang1266	Gangte	Sino-Tibetan	Eurasia	184	165	146	88.48
avac1239	Avá-Canoeiro	Tupian	South America	153	142	124	87.32
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	155	135	87.1
poya1241	Poyanáwa	Pano-Tacanan	South America	50	46	40	86.96
koir1240	Koireng	Sino-Tibetan	Eurasia	155	145	126	86.9
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	113	98	86.73
tara1313	Tarao	Sino-Tibetan	Eurasia	166	157	135	85.99
chot1239	Chothe	Sino-Tibetan	Eurasia	176	164	141	85.98
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	128	110	85.94
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	77	66	85.71
dizi1235	Dizin	Dizoid	Africa	57	56	48	85.71
mala1463	Malavedan	Dravidian	Eurasia	163	152	130	85.53
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	117	100	85.47
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	99	84	84.85
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	52	44	84.62
ersu1241	Ersu	Sino-Tibetan	Eurasia	195	175	148	84.57
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	97	82	84.54
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	161	136	84.47
moyo1238	Moyon	Sino-Tibetan	Eurasia	167	154	130	84.42
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	153	129	84.31
obok1239	Obokuitai	Lakes Plain	Papunesia	157	146	123	84.25
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	69	58	84.06
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	154	129	83.77
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	129	108	83.72
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	147	123	83.67
nara1262	Nara		Africa	132	116	97	83.62
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	122	102	83.61
kunz1244	Kunza		South America	72	67	56	83.58
kren1239	Krenak	Nuclear-Macro-Je	South America	111	102	85	83.33
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	114	95	83.33
taus1253	Taushiro		South America	150	143	119	83.22
tama1331	Tama (Chad)	Tamaic	Africa	139	125	104	83.2
maru1252	Marúbo	Pano-Tacanan	South America	126	119	99	83.19
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	148	123	83.11
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	124	103	83.06
pawa1255	Pawaia		Papunesia	110	106	88	83.02
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	147	122	82.99
teda1241	Tedaga	Saharan	Africa	160	146	121	82.88
toda1252	Toda	Dravidian	Eurasia	139	134	111	82.84
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	163	135	82.82
mara1396	Mararit	Tamaic	Africa	92	87	72	82.76
saba1268	Sabanê	Nambiquaran	South America	169	150	124	82.67
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	98	81	82.65
bian1252	Biangai	Goilalan	Papunesia	155	143	118	82.52
coch1272	Cochimi	Cochimi-Yuman	North America	89	80	66	82.5
hrus1242	Hruso		Eurasia	89	80	66	82.5
komi1270	Kom (India)	Sino-Tibetan	Eurasia	168	154	127	82.47
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	136	112	82.35
mans1260	Mansim	Hatam-Mansim	Papunesia	71	68	56	82.35
kuma1280	Kuman	Nuclear Trans New Guinea	Papunesia	153	141	116	82.27
toto1302	Toto	Sino-Tibetan	Eurasia	155	141	116	82.27
chak1270	Chak	Sino-Tibetan	Eurasia	188	169	139	82.25
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	122	100	81.97
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	122	100	81.97
waur1244	Waurá	Arawakan	South America	86	83	68	81.93
avok1242	Avokaya	Central Sudanic	Africa	122	116	95	81.9
mika1239	Mikasuki	Muskogean	North America	147	132	108	81.82
muth1236	Muthuvan	Dravidian	Eurasia	143	132	108	81.82
nort2864	Wemale	Austronesian	Papunesia	76	66	54	81.82
wutu1241	Wutunhua	Sino-Tibetan	Eurasia	195	175	143	81.71
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	158	129	81.65
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	158	129	81.65
chic1270	Chickasaw	Muskogean	North America	150	141	115	81.56
