Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	160	135	84.38
naru1238	Narungga	Pama-Nyungan	Australia	106	101	85	84.16
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	138	115	83.33
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
esee1247	Ese	Koiarian	Papunesia	75	74	61	82.43
poya1241	Poyanáwa	Pano-Tacanan	South America	50	49	40	81.63
bond1245	Bondo	Austroasiatic	Eurasia	152	137	111	81.02
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	162	131	80.86
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	31	25	80.65
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	72	58	80.56
capa1241	Capanahua	Pano-Tacanan	South America	171	161	129	80.12
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	166	133	80.12
cata1286	Catawba	Siouan	North America	125	120	96	80
defa1248	Defaka	Ijoid	Africa	75	74	59	79.73
gant1244	Gants	Nuclear Trans New Guinea	Papunesia	164	157	125	79.62
east2516	East Kewa	Nuclear Trans New Guinea	Papunesia	179	171	136	79.53
surg1248	Surgut Khanty	Uralic	Eurasia	186	170	135	79.41
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	129	102	79.07
byan1241	Byangsi	Sino-Tibetan	Eurasia	182	164	129	78.66
umbu1258	Umbu-Ungu	Nuclear Trans New Guinea	Papunesia	165	159	125	78.62
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	98	77	78.57
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	154	121	78.57
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	130	102	78.46
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	111	87	78.38
pano1255	Panobo	Pano-Tacanan	South America	163	157	123	78.34
raut1239	Raute	Sino-Tibetan	Eurasia	133	129	101	78.29
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	129	101	78.29
biri1256	Biri	Pama-Nyungan	Australia	146	138	108	78.26
bona1250	Bonan	Mongolic-Khitan	Eurasia	171	155	121	78.06
kala1399	Kalaallisut	Eskimo-Aleut	North America	182	164	128	78.05
west2618	Western Canadian Inuktitut	Eskimo-Aleut	North America	116	109	85	77.98
nara1262	Nara		Africa	132	118	92	77.97
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	77	60	77.92
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	7	77.78
yora1241	Yora	Pano-Tacanan	South America	129	126	98	77.78
agua1253	Aguaruna	Chicham	South America	170	157	122	77.71
thak1245	Thakali	Sino-Tibetan	Eurasia	193	175	136	77.71
waru1265	Warumungu	Pama-Nyungan	Australia	173	157	122	77.71
