Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	9	9	100
oroh1237	Oroha	Austronesian	Papunesia	118	104	97	93.27
vure1239	Vurës	Austronesian	Papunesia	194	163	151	92.64
vera1241	Vera'a	Austronesian	Papunesia	191	160	147	91.88
hala1252	Halang	Austroasiatic	Eurasia	82	70	64	91.43
uuuu1243	U	Austroasiatic	Eurasia	139	124	113	91.13
ngul1236	Nguluwan	Austronesian	Papunesia	56	56	51	91.07
keoo1238	Kéo	Austronesian	Papunesia	187	157	142	90.45
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	117	105	89.74
tali1259	Talise	Austronesian	Papunesia	142	132	118	89.39
motl1237	Mwotlap	Austronesian	Papunesia	195	164	146	89.02
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	54	48	88.89
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	144	128	88.89
noku1237	Nokuku	Austronesian	Papunesia	156	142	126	88.73
lauu1247	Lau	Austronesian	Papunesia	141	123	109	88.62
lach1248	Lachi	Tai-Kadai	Eurasia	167	148	131	88.51
lave1249	Brao	Austroasiatic	Eurasia	122	111	98	88.29
adon1237	Adonara	Austronesian	Papunesia	165	143	126	88.11
lave1248	Laven	Austroasiatic	Eurasia	180	151	133	88.08
tutu1241	Tutuba	Austronesian	Papunesia	184	159	140	88.05
piji1239	Pijin	Indo-European	Papunesia	154	142	125	88.03
tane1237	Tanema	Austronesian	Papunesia	154	140	123	87.86
saaa1240	Sa'a	Austronesian	Papunesia	145	130	114	87.69
amar1272	Amara	Austronesian	Papunesia	148	138	121	87.68
tiga1245	Tigak	Austronesian	Papunesia	171	154	135	87.66
tean1237	Teanu	Austronesian	Papunesia	147	137	120	87.59
gela1263	Gela	Austronesian	Papunesia	181	159	139	87.42
lamo1244	Lamogai	Austronesian	Papunesia	135	126	110	87.3
alor1247	Alorese	Austronesian	Papunesia	168	149	130	87.25
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	145	126	86.9
rotu1241	Rotuman	Austronesian	Papunesia	163	142	123	86.62
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	97	84	86.6
naue1237	Nauete	Austronesian	Papunesia	183	156	135	86.54
khmu1256	Khmu	Austroasiatic	Eurasia	167	147	127	86.39
vano1237	Lovono	Austronesian	Papunesia	146	132	114	86.36
nort2839	North Ambrym	Austronesian	Papunesia	174	145	125	86.21
phai1238	Prai	Austroasiatic	Eurasia	186	159	137	86.16
west2650	Western Cham	Austronesian	Eurasia	151	144	124	86.11
labo1244	Ninde	Austronesian	Papunesia	122	115	99	86.09
rere1240	Rerep	Austronesian	Papunesia	147	129	111	86.05
cari1276	Caribbean Javanese	Austronesian	South America	97	93	80	86.02
paco1243	Pacoh	Austroasiatic	Eurasia	188	157	135	85.99
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	157	135	85.99
tolo1255	Tolomako	Austronesian	Papunesia	120	107	92	85.98
moke1242	Moken	Austronesian	Eurasia	171	142	122	85.92
yako1252	Yakoma	Atlantic-Congo	Africa	143	134	115	85.82
