Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
mans1260	Mansim	Hatam-Mansim	Papunesia	71	65	57	87.69
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	6	85.71
siam1242	Siamou		Africa	134	118	101	85.59
gaaa1245	Gaa	Atlantic-Congo	Africa	79	72	61	84.72
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	71	60	84.51
umot1240	Umotína	Bororoan	South America	73	69	58	84.06
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	103	86	83.5
nara1262	Nara		Africa	132	114	95	83.33
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	114	95	83.33
cani1243	Canichana		South America	50	46	38	82.61
kunz1244	Kunza		South America	72	68	56	82.35
kaba1281	Kaba	Central Sudanic	Africa	166	136	111	81.62
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	76	62	81.58
moch1259	Mochica		South America	139	114	93	81.58
bang1369	Bangru	Sino-Tibetan	Eurasia	151	129	105	81.4
teri1250	Teribe	Chibchan	North America	165	139	113	81.29
avok1242	Avokaya	Central Sudanic	Africa	122	106	86	81.13
mbaa1245	Mba	Atlantic-Congo	Africa	137	120	97	80.83
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	98	79	80.61
nzak1247	Nzakara	Atlantic-Congo	Africa	130	113	91	80.53
mamv1243	Mamvu	Central Sudanic	Africa	136	118	95	80.51
bong1285	Bongo	Central Sudanic	Africa	146	128	103	80.47
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	87	70	80.46
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	143	115	80.42
kimm1246	Kim	Atlantic-Congo	Africa	129	112	90	80.36
even1260	Even	Tungusic	Eurasia	141	122	98	80.33
suru1261	Suruí Do Pará	Tupian	South America	68	61	49	80.33
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	127	102	80.31
defa1248	Defaka	Ijoid	Africa	75	66	53	80.3
