Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	9	100
ndob1238	Ndobo	Atlantic-Congo	Africa	85	84	80	95.24
bomb1262	Bomboma	Atlantic-Congo	Africa	119	100	93	93
maba1270	Mabaale	Atlantic-Congo	Africa	118	113	104	92.04
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	95	87	91.58
buku1249	Bukusu	Atlantic-Congo	Africa	52	47	43	91.49
bamw1238	Bamwe	Atlantic-Congo	Africa	102	98	89	90.82
mbol1247	Mbole	Atlantic-Congo	Africa	89	75	68	90.67
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
zinz1238	Zinza	Atlantic-Congo	Africa	106	90	81	90
belu1239	Belueli	Atlantic-Congo	Africa	73	59	53	89.83
zamb1245	Zamba	Atlantic-Congo	Africa	152	127	114	89.76
loba1239	Lobala	Atlantic-Congo	Africa	98	96	86	89.58
cori1240	Cori	Atlantic-Congo	Africa	139	115	103	89.57
liki1240	Balobo	Atlantic-Congo	Africa	99	95	85	89.47
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	66	59	89.39
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	122	109	89.34
lito1235	Litoka	Atlantic-Congo	Africa	97	93	83	89.25
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	148	132	89.19
makw1236	Makwe	Atlantic-Congo	Africa	86	83	74	89.16
fipa1238	Fipa	Atlantic-Congo	Africa	120	101	90	89.11
sham1280	Shambala	Atlantic-Congo	Africa	118	98	87	88.78
hehe1240	Hehe	Atlantic-Congo	Africa	144	123	109	88.62
swah1253	Swahili	Atlantic-Congo	Africa	178	149	132	88.59
ndam1251	Ndam	Afro-Asiatic	Africa	41	35	31	88.57
bafi1243	Bafia	Atlantic-Congo	Africa	173	148	131	88.51
thar1283	Tharaka	Atlantic-Congo	Africa	101	87	77	88.51
koti1238	Koti	Atlantic-Congo	Africa	182	156	138	88.46
gusi1247	Gusii	Atlantic-Congo	Africa	173	147	130	88.44
mpot1240	Mpoto	Atlantic-Congo	Africa	173	145	128	88.28
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	85	75	88.24
libi1244	Libinza	Atlantic-Congo	Africa	134	127	112	88.19
lumb1249	Lumbu	Atlantic-Congo	Africa	146	127	112	88.19
konz1239	Konzo	Atlantic-Congo	Africa	133	110	97	88.18
tswa1253	Tswana	Atlantic-Congo	Africa	178	152	134	88.16
nila1242	Nilamba	Atlantic-Congo	Africa	162	135	119	88.15
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	139	122	87.77
bush1247	Bushoong	Atlantic-Congo	Africa	184	155	136	87.74
mbug1242	Mbugwe	Atlantic-Congo	Africa	117	106	93	87.74
maka1304	Makaa	Atlantic-Congo	Africa	159	138	121	87.68
luya1241	Luyi	Atlantic-Congo	Africa	172	146	128	87.67
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	89	78	87.64
gwen1239	Gweno	Atlantic-Congo	Africa	135	113	99	87.61
elip1238	Elip	Atlantic-Congo	Africa	111	88	77	87.5
suba1238	Suba	Atlantic-Congo	Africa	111	95	83	87.37
nden1248	Ndengereko	Atlantic-Congo	Africa	88	79	69	87.34
luse1252	Lusengo	Atlantic-Congo	Africa	131	126	110	87.3
tote1238	Totela	Atlantic-Congo	Africa	161	133	116	87.22
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	86	75	87.21
zulu1248	Zulu	Atlantic-Congo	Africa	42	39	34	87.18
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	101	88	87.13
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	132	115	87.12
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	139	121	87.05
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	153	133	86.93
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	76	66	86.84
bong1284	Bongili	Atlantic-Congo	Africa	102	98	85	86.73
mwan1247	Mwani	Atlantic-Congo	Africa	157	128	111	86.72
beem1239	Beembe	Atlantic-Congo	Africa	144	120	104	86.67
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	13	86.67
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	134	116	86.57
makh1264	Makhuwa	Atlantic-Congo	Africa	168	141	122	86.52
nyan1307	Nyankole	Atlantic-Congo	Africa	185	155	134	86.45
toor1238	Tooro	Atlantic-Congo	Africa	184	155	134	86.45
kala1384	Kalanga	Atlantic-Congo	Africa	164	140	121	86.43
jita1239	Jita	Atlantic-Congo	Africa	75	66	57	86.36
nyat1246	Nyaturu	Atlantic-Congo	Africa	160	132	114	86.36
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	139	120	86.33
bolo1262	Boloki	Atlantic-Congo	Africa	144	138	119	86.23
yaoo1241	Yao	Atlantic-Congo	Africa	137	116	100	86.21
pagi1243	Pagibete	Atlantic-Congo	Africa	170	144	124	86.11
ngom1268	Ngombe (Democratic Republic of Congo)	Atlantic-Congo	Africa	121	115	99	86.09
osam1235	Osamayi	Atlantic-Congo	Africa	105	86	74	86.05
