Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	95	92	96.84
bomb1262	Bomboma	Atlantic-Congo	Africa	119	88	85	96.59
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	91	87	95.6
lumb1249	Lumbu	Atlantic-Congo	Africa	146	82	78	95.12
osam1235	Osamayi	Atlantic-Congo	Africa	105	70	66	94.29
bong1284	Bongili	Atlantic-Congo	Africa	102	87	82	94.25
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	87	82	94.25
tien1242	Tiene	Atlantic-Congo	Africa	126	85	80	94.12
zinz1238	Zinza	Atlantic-Congo	Africa	106	65	61	93.85
bafi1243	Bafia	Atlantic-Congo	Africa	173	95	89	93.68
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	94	88	93.62
loba1239	Lobala	Atlantic-Congo	Africa	98	78	73	93.59
ndob1238	Ndobo	Atlantic-Congo	Africa	85	76	71	93.42
lito1235	Litoka	Atlantic-Congo	Africa	97	91	85	93.41
tswa1253	Tswana	Atlantic-Congo	Africa	178	91	85	93.41
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	87	81	93.1
belu1239	Belueli	Atlantic-Congo	Africa	73	55	51	92.73
mong1338	Mongo	Atlantic-Congo	Africa	124	96	89	92.71
bush1247	Bushoong	Atlantic-Congo	Africa	184	95	88	92.63
mbol1247	Mbole	Atlantic-Congo	Africa	89	54	50	92.59
yaoo1241	Yao	Atlantic-Congo	Africa	137	81	75	92.59
bamw1238	Bamwe	Atlantic-Congo	Africa	102	94	87	92.55
yasa1242	Yasa	Atlantic-Congo	Africa	101	66	61	92.42
elip1238	Elip	Atlantic-Congo	Africa	111	78	72	92.31
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	90	83	92.22
bila1255	Bila	Atlantic-Congo	Africa	134	90	83	92.22
ling1263	Kinshasa Lingala	Atlantic-Congo	Africa	75	51	47	92.16
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	89	82	92.13
makw1236	Makwe	Atlantic-Congo	Africa	86	63	58	92.06
hehe1240	Hehe	Atlantic-Congo	Africa	144	88	81	92.05
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	50	46	92
