Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
baha1260	Bahamas Creole English	Indo-European	North America	103	97	92	94.85
nica1252	Nicaragua Creole English	Indo-European	North America	157	134	125	93.28
berb1259	Berbice Creole Dutch	Indo-European	South America	170	141	131	92.91
jama1262	Jamaican Creole English	Indo-European	North America	157	133	121	90.98
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
sana1297	San Andres Creole English	Indo-European	North America	168	140	126	90
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	8	88.89
beli1260	Belize Kriol English	Indo-European	North America	130	117	103	88.03
piji1239	Pijin	Indo-European	Papunesia	154	121	105	86.78
uuuu1243	U	Austroasiatic	Eurasia	139	112	97	86.61
tokp1240	Tok Pisin	Indo-European	Papunesia	184	134	116	86.57
kimm1246	Kim	Atlantic-Congo	Africa	129	114	98	85.96
anuf1239	Anufo	Atlantic-Congo	Africa	162	128	110	85.94
shee1238	She	Hmong-Mien	Eurasia	162	123	105	85.37
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	88	75	85.23
hait1244	Haitian	Indo-European	North America	180	134	114	85.07
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	140	118	84.29
mlab1235	Mlabri	Austroasiatic	Eurasia	182	139	117	84.17
lara1260	Larantuka Malay	Austronesian	Papunesia	169	130	109	83.85
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	111	93	83.78
seng1281	Sengseng	Austronesian	Papunesia	100	80	67	83.75
torr1261	Torres Strait-Lockhart River Creole	Indo-European	Australia	190	140	117	83.57
haro1237	Haroi	Austronesian	Eurasia	95	73	61	83.56
jehh1245	Jeh	Austroasiatic	Eurasia	139	103	86	83.5
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	109	91	83.49
huuu1240	Hu	Austroasiatic	Eurasia	175	127	106	83.46
rade1240	Rade	Austronesian	Eurasia	167	127	106	83.46
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
yawa1261	Yawalapití	Arawakan	South America	58	48	40	83.33
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	143	119	83.22
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	125	104	83.2
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	130	108	83.08
arig1246	Arigidi	Atlantic-Congo	Africa	142	118	98	83.05
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	141	117	82.98
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	141	117	82.98
