Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
hula1244	Hulaulá	Afro-Asiatic	Eurasia	182	170	137	80.59
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	49	39	79.59
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	32	25	78.12
gura1251	Gurani	Indo-European	Eurasia	128	123	96	78.05
daha1245	Dahalo	Afro-Asiatic	Africa	46	45	35	77.78
dard1243	Dar Daju Daju	Dajuic	Africa	93	88	68	77.27
koys1242	Koy Sanjaq Jewish Neo-Aramaic	Afro-Asiatic	Eurasia	169	161	124	77.02
boht1238	Gardabani Bohtan Neo-Aramaic	Afro-Asiatic	Eurasia	166	151	116	76.82
ndam1251	Ndam	Afro-Asiatic	Africa	41	38	29	76.32
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	84	64	76.19
mamm1241	Mam	Mayan	North America	179	163	124	76.07
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	62	47	75.81
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	62	47	75.81
hung1274	Hungarian	Uralic	Eurasia	189	171	129	75.44
buhu1237	Buhutu	Austronesian	Papunesia	134	122	92	75.41
ukra1253	Ukrainian	Indo-European	Eurasia	171	153	115	75.16
agut1237	Agutaynen	Austronesian	Papunesia	161	148	111	75
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	12	75
iqui1243	Iquito	Zaparoan	South America	116	104	78	75
bugl1243	Buglere	Chibchan	North America	157	143	107	74.83
stan1293	English	Indo-European	Eurasia	195	177	132	74.58
lowl1265	Lowland Tarahumara	Uto-Aztecan	North America	164	149	111	74.5
embe1262	Emberá-Chamí	Chocoan	South America	159	141	105	74.47
tora1259	Torau	Austronesian	Papunesia	119	105	78	74.29
camp1261	Campidanese Sardinian	Indo-European	Eurasia	181	166	123	74.1
beel1236	Beele	Afro-Asiatic	Africa	52	50	37	74
lomb1257	Lombard	Indo-European	Eurasia	190	173	128	73.99
