Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	10	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
labo1244	Ninde	Austronesian	Papunesia	122	119	102	85.71
maee1241	Tirax	Austronesian	Papunesia	188	178	151	84.83
katb1237	Avava	Austronesian	Papunesia	183	181	153	84.53
vinm1237	Neve'ei	Austronesian	Papunesia	143	138	116	84.06
avok1242	Avokaya	Central Sudanic	Africa	122	119	100	84.03
tutu1241	Tutuba	Austronesian	Papunesia	184	175	147	84
manu1258	Manusela	Austronesian	Papunesia	101	93	78	83.87
hata1243	Hatam	Hatam-Mansim	Papunesia	96	92	77	83.7
mara1399	Maragus	Austronesian	Papunesia	174	164	137	83.54
sout2857	Nahavaq	Austronesian	Papunesia	180	175	146	83.43
aulu1238	Aulua	Austronesian	Papunesia	160	155	129	83.23
jurm1239	Jur Modo	Central Sudanic	Africa	159	149	124	83.22
lamo1244	Lamogai	Austronesian	Papunesia	135	130	108	83.08
kimm1246	Kim	Atlantic-Congo	Africa	129	124	103	83.06
arop1243	Arop-Lokep	Austronesian	Papunesia	161	151	125	82.78
meya1236	Meyah	East Bird's Head	Papunesia	96	92	76	82.61
tane1237	Tanema	Austronesian	Papunesia	154	149	123	82.55
unua1237	Unua	Austronesian	Papunesia	192	182	150	82.42
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	125	103	82.4
leme1238	Lemerig	Austronesian	Papunesia	164	159	131	82.39
gese1240	Geser-Gorom	Austronesian	Papunesia	69	68	56	82.35
nese1235	Nese	Austronesian	Papunesia	191	181	149	82.32
biak1248	Biak	Austronesian	Papunesia	100	96	79	82.29
amar1272	Amara	Austronesian	Papunesia	148	141	116	82.27
lewo1244	Lewotobi	Austronesian	Papunesia	189	179	147	82.12
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	145	119	82.07
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	128	105	82.03
ling1265	Neverver	Austronesian	Papunesia	157	150	123	82
lele1267	Lelepa	Austronesian	Papunesia	149	144	118	81.94
bign1238	Big Nambas	Austronesian	Papunesia	181	171	140	81.87
waim1252	Waima'a	Austronesian	Papunesia	144	137	112	81.75
cata1286	Catawba	Siouan	North America	125	120	98	81.67
malu1245	Malua Bay	Austronesian	Papunesia	173	163	133	81.6
alor1247	Alorese	Austronesian	Papunesia	168	161	131	81.37
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	133	108	81.2
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	138	112	81.16
furu1242	Furu	Central Sudanic	Africa	127	122	99	81.15
abun1252	Abun		Papunesia	195	185	150	81.08
sout2895	South Nuaulu	Austronesian	Papunesia	158	148	120	81.08
iliu1237	Ili'uun	Austronesian	Papunesia	168	158	128	81.01
vure1239	Vurës	Austronesian	Papunesia	194	184	149	80.98
meng1267	Mengen	Austronesian	Papunesia	98	94	76	80.85
vano1237	Lovono	Austronesian	Papunesia	146	141	114	80.85
molo1266	Moloko	Afro-Asiatic	Africa	109	109	88	80.73
keng1240	Kenga	Central Sudanic	Africa	124	119	96	80.67
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	154	124	80.52
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	153	123	80.39
ngul1236	Nguluwan	Austronesian	Papunesia	56	56	45	80.36
uuuu1243	U	Austroasiatic	Eurasia	139	137	110	80.29
waro1242	Waropen	Austronesian	Papunesia	137	137	110	80.29
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	157	126	80.25
kaul1240	Kaulong	Austronesian	Papunesia	90	86	69	80.23
lauu1247	Lau	Austronesian	Papunesia	141	136	109	80.15
anut1237	Anuta	Austronesian	Papunesia	153	146	117	80.14
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	141	113	80.14
mans1260	Mansim	Hatam-Mansim	Papunesia	71	70	56	80
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	145	116	80
sout2859	Southeast Ambrym	Austronesian	Papunesia	124	120	96	80
tolo1255	Tolomako	Austronesian	Papunesia	120	115	92	80
arak1252	Araki	Austronesian	Papunesia	194	184	147	79.89
mato1252	Mato	Austronesian	Papunesia	169	164	131	79.88
arop1242	Arop-Sissano	Austronesian	Papunesia	164	159	127	79.87
lote1237	Lote	Austronesian	Papunesia	178	168	134	79.76
lewo1242	Lewo	Austronesian	Papunesia	173	163	130	79.75
oldm1242	Old Mon	Austroasiatic	Eurasia	171	163	130	79.75
tong1308	Maniq	Austroasiatic	Eurasia	163	158	126	79.75
piji1239	Pijin	Indo-European	Papunesia	154	148	118	79.73
daka1243	Dakaka	Austronesian	Papunesia	187	177	141	79.66
lama1277	Lamaholot	Austronesian	Papunesia	182	172	137	79.65
tean1237	Teanu	Austronesian	Papunesia	147	142	113	79.58
buga1250	Bugawac	Austronesian	Papunesia	191	181	144	79.56
mort1237	Mortlockese	Austronesian	Papunesia	141	137	109	79.56
tali1259	Talise	Austronesian	Papunesia	142	137	109	79.56
lach1248	Lachi	Tai-Kadai	Eurasia	167	161	128	79.5
adon1237	Adonara	Austronesian	Papunesia	165	160	127	79.38
malo1243	Tamambo	Austronesian	Papunesia	189	179	142	79.33
monn1252	Mon	Austroasiatic	Eurasia	91	87	69	79.31
naue1237	Nauete	Austronesian	Papunesia	183	174	138	79.31
ndog1248	Ndogo	Atlantic-Congo	Africa	177	169	134	79.29
port1285	Port Sandwich	Austronesian	Papunesia	174	169	134	79.29
mera1242	Meramera	Austronesian	Papunesia	54	53	42	79.25
urip1239	Uripiv-Wala-Rano-Atchin	Austronesian	Papunesia	188	178	141	79.21
ngam1268	Ngambay	Central Sudanic	Africa	156	149	118	79.19
tita1241	Titan	Austronesian	Papunesia	173	168	133	79.17
bara1370	Baram Kayan	Austronesian	Papunesia	143	139	110	79.14
lusi1240	Lusi	Austronesian	Papunesia	144	139	110	79.14
oroh1237	Oroha	Austronesian	Papunesia	118	115	91	79.13
tugu1245	Tugun	Austronesian	Papunesia	168	158	125	79.11
hala1252	Halang	Austroasiatic	Eurasia	82	81	64	79.01
nort2994	Northern Roglai	Austronesian	Eurasia	90	81	64	79.01
east1236	Eastern Katu	Austroasiatic	Eurasia	106	100	79	79
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	138	109	78.99
jeha1242	Jehai	Austroasiatic	Eurasia	162	157	124	78.98
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	133	105	78.95
golo1234	Golo	Atlantic-Congo	Africa	82	76	60	78.95
mpur1239	Mpur		Papunesia	185	175	138	78.86
bari1286	Bariai	Austronesian	Papunesia	176	170	134	78.82
