Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
azha1235	Azha	Sino-Tibetan	Eurasia	151	146	136	93.15
yinc1238	Yinchia	Austroasiatic	Eurasia	65	63	57	90.48
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	73	66	90.41
enuu1235	Enu	Sino-Tibetan	Eurasia	193	184	166	90.22
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	168	151	89.88
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	185	166	89.73
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	183	164	89.62
acha1249	Longchuan Achang	Sino-Tibetan	Eurasia	191	182	163	89.56
hani1248	Hani	Sino-Tibetan	Eurasia	186	179	160	89.39
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	185	165	89.19
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	175	155	88.57
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	183	162	88.52
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	148	131	88.51
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	182	161	88.46
pela1242	Pela	Sino-Tibetan	Eurasia	194	185	163	88.11
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	168	148	88.1
naxi1245	Naxi	Sino-Tibetan	Eurasia	132	125	110	88
maru1249	Maru	Sino-Tibetan	Eurasia	191	183	161	87.98
kats1235	Katso	Sino-Tibetan	Eurasia	186	180	158	87.78
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	155	136	87.74
huuu1240	Hu	Austroasiatic	Eurasia	175	171	150	87.72
bang1369	Bangru	Sino-Tibetan	Eurasia	151	145	127	87.59
baim1244	Baima	Sino-Tibetan	Eurasia	193	185	162	87.57
mokl1243	Moklen	Austronesian	Eurasia	181	173	151	87.28
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	179	156	87.15
chas1234	Chashan	Sino-Tibetan	Eurasia	169	163	142	87.12
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	155	135	87.1
hala1252	Halang	Austroasiatic	Eurasia	82	77	67	87.01
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	113	98	86.73
east2485	Eastern Penan	Austronesian	Papunesia	147	140	121	86.43
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	162	140	86.42
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	176	152	86.36
honi1244	Honi	Sino-Tibetan	Eurasia	165	160	138	86.25
tang1334	Tangut	Sino-Tibetan	Eurasia	151	145	125	86.21
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	180	155	86.11
lach1248	Lachi	Tai-Kadai	Eurasia	167	158	136	86.08
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	164	141	85.98
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	185	159	85.95
phai1238	Prai	Austroasiatic	Eurasia	186	182	156	85.71
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	154	132	85.71
tsat1238	Tsat	Austronesian	Eurasia	183	175	150	85.71
west2397	Western Bru	Austroasiatic	Eurasia	157	151	129	85.43
kima1246	Kimaama	Kolopom	Papunesia	92	89	76	85.39
ahom1240	Ahom	Tai-Kadai	Eurasia	178	170	145	85.29
naro1251	Narom	Austronesian	Papunesia	132	129	110	85.27
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	127	108	85.04
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	132	112	84.85
sapu1248	Sapuan	Austroasiatic	Eurasia	152	145	123	84.83
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	184	156	84.78
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	184	156	84.78
sani1269	Sani	Sino-Tibetan	Eurasia	168	164	139	84.76
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	177	150	84.75
kuyy1240	Kuy	Austroasiatic	Eurasia	174	170	144	84.71
uuuu1243	U	Austroasiatic	Eurasia	139	137	116	84.67
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	182	154	84.62
khmu1256	Khmu	Austroasiatic	Eurasia	167	162	137	84.57
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	97	82	84.54
lash1243	Lashi	Sino-Tibetan	Eurasia	188	180	152	84.44
rade1240	Rade	Austronesian	Eurasia	167	160	135	84.38
boka1249	Bokar-Ramo	Sino-Tibetan	Eurasia	151	147	124	84.35
pawa1255	Pawaia		Papunesia	110	108	91	84.26
