Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	10	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	146	128	87.67
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	14	87.5
ngul1236	Nguluwan	Austronesian	Papunesia	56	56	49	87.5
vano1237	Lovono	Austronesian	Papunesia	146	142	124	87.32
tane1237	Tanema	Austronesian	Papunesia	154	150	130	86.67
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	162	140	86.42
kaul1240	Kaulong	Austronesian	Papunesia	90	86	74	86.05
gese1240	Geser-Gorom	Austronesian	Papunesia	69	68	58	85.29
muss1246	Mussau-Emira	Austronesian	Papunesia	90	86	73	84.88
lamo1244	Lamogai	Austronesian	Papunesia	135	131	111	84.73
aros1241	Arosi	Austronesian	Papunesia	141	137	116	84.67
mans1260	Mansim	Hatam-Mansim	Papunesia	71	71	60	84.51
kair1263	Kairiru	Austronesian	Papunesia	73	70	59	84.29
labo1244	Ninde	Austronesian	Papunesia	122	119	100	84.03
tean1237	Teanu	Austronesian	Papunesia	147	144	121	84.03
louu1245	Lou	Austronesian	Papunesia	176	169	142	84.02
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	148	124	83.78
nali1244	Nalik	Austronesian	Papunesia	174	171	143	83.63
tiga1245	Tigak	Austronesian	Papunesia	171	167	139	83.23
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	83	69	83.13
anut1237	Anuta	Austronesian	Papunesia	153	148	123	83.11
pile1238	Vaeakau-Taumako	Austronesian	Papunesia	184	177	147	83.05
bann1247	Bannoni	Austronesian	Papunesia	72	70	58	82.86
oroh1237	Oroha	Austronesian	Papunesia	118	114	94	82.46
mort1237	Mortlockese	Austronesian	Papunesia	141	136	112	82.35
sout2859	Southeast Ambrym	Austronesian	Papunesia	124	119	98	82.35
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	135	111	82.22
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
east2440	East Makian	Austronesian	Papunesia	95	88	72	81.82
kove1237	Kove	Austronesian	Papunesia	180	175	143	81.71
sioo1240	Sio	Austronesian	Papunesia	175	169	138	81.66
west2600	West Makian	North Halmahera	Papunesia	151	147	120	81.63
bari1286	Bariai	Austronesian	Papunesia	176	168	137	81.55
iwal1237	Iwal	Austronesian	Papunesia	134	130	106	81.54
karn1252	Karnai	Austronesian	Papunesia	142	135	110	81.48
siar1238	Siar-Lak	Austronesian	Papunesia	87	81	66	81.48
lote1237	Lote	Austronesian	Papunesia	178	172	140	81.4
arop1243	Arop-Lokep	Austronesian	Papunesia	161	155	126	81.29
aulu1238	Aulua	Austronesian	Papunesia	160	155	126	81.29
lusi1240	Lusi	Austronesian	Papunesia	144	138	112	81.16
lame1260	Lamenu	Austronesian	Papunesia	126	122	99	81.15
amar1272	Amara	Austronesian	Papunesia	148	143	116	81.12
taku1257	Takuu	Austronesian	Papunesia	168	163	132	80.98
unea1237	Uneapa	Austronesian	Papunesia	87	84	68	80.95
hata1243	Hatam	Hatam-Mansim	Papunesia	96	89	72	80.9
balu1257	Paluai	Austronesian	Papunesia	193	183	148	80.87
lewo1242	Lewo	Austronesian	Papunesia	173	167	135	80.84
surs1246	Sursurunga	Austronesian	Papunesia	159	156	126	80.77
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	57	46	80.7
hote1245	Hote	Austronesian	Papunesia	162	155	125	80.65
leng1259	Lengo	Austronesian	Papunesia	172	165	133	80.61
wala1266	Wala	Austronesian	Papunesia	150	149	120	80.54
adon1237	Adonara	Austronesian	Papunesia	165	159	128	80.5
hala1252	Halang	Austroasiatic	Eurasia	82	82	66	80.49
malu1245	Malua Bay	Austronesian	Papunesia	173	164	132	80.49
tetu1245	Tetum	Austronesian	Papunesia	87	82	66	80.49
bara1370	Baram Kayan	Austronesian	Papunesia	143	138	111	80.43
muso1238	Musom	Austronesian	Papunesia	150	143	115	80.42
adze1240	Adzera	Austronesian	Papunesia	158	153	123	80.39
tutu1241	Tutuba	Austronesian	Papunesia	184	178	143	80.34
kwai1243	Kwaio	Austronesian	Papunesia	191	183	147	80.33
lauu1247	Lau	Austronesian	Papunesia	141	137	110	80.29
tolo1255	Tolomako	Austronesian	Papunesia	120	116	93	80.17
mari1426	Sunwadia	Austronesian	Papunesia	167	160	128	80
piji1239	Pijin	Indo-European	Papunesia	154	150	120	80
leme1238	Lemerig	Austronesian	Papunesia	164	158	126	79.75
labu1248	Labu	Austronesian	Papunesia	154	148	118	79.73
tali1259	Talise	Austronesian	Papunesia	142	138	110	79.71
east2447	East Futuna	Austronesian	Papunesia	187	177	141	79.66
noku1237	Nokuku	Austronesian	Papunesia	156	152	121	79.61
lewo1244	Lewotobi	Austronesian	Papunesia	189	180	143	79.44
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	126	100	79.37
east2443	East Ambae	Austronesian	Papunesia	182	174	138	79.31
sika1261	Sikaiana	Austronesian	Papunesia	173	169	134	79.29
viet1252	Vietnamese	Austroasiatic	Eurasia	140	135	107	79.26
unua1237	Unua	Austronesian	Papunesia	192	182	144	79.12
mbul1263	Mbula	Austronesian	Papunesia	183	177	140	79.1
tokp1240	Tok Pisin	Indo-European	Papunesia	184	177	140	79.1
blan1242	Blang	Austroasiatic	Eurasia	159	153	121	79.08
anem1249	Anem		Papunesia	91	86	68	79.07
iliu1237	Ili'uun	Austronesian	Papunesia	168	162	128	79.01
akei1237	Akei	Austronesian	Papunesia	122	119	94	78.99
arib1241	Aribwatsa	Austronesian	Papunesia	121	119	94	78.99
rere1240	Rerep	Austronesian	Papunesia	147	138	109	78.99
bign1238	Big Nambas	Austronesian	Papunesia	181	171	135	78.95
emae1237	Emae	Austronesian	Papunesia	156	147	116	78.91
ghar1239	Ghari	Austronesian	Papunesia	151	147	116	78.91
chek1238	Cheke Holo	Austronesian	Papunesia	167	161	127	78.88
katb1237	Avava	Austronesian	Papunesia	183	175	138	78.86
mera1242	Meramera	Austronesian	Papunesia	54	52	41	78.85
lave1249	Brao	Austroasiatic	Eurasia	122	118	93	78.81
bola1250	Bola	Austronesian	Papunesia	193	183	144	78.69
tang1348	Tangga	Austronesian	Papunesia	140	136	107	78.68
iban1264	Iban	Austronesian	Papunesia	188	178	140	78.65
meya1236	Meyah	East Bird's Head	Papunesia	96	89	70	78.65
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	131	103	78.63
waro1242	Waropen	Austronesian	Papunesia	137	131	103	78.63
alor1247	Alorese	Austronesian	Papunesia	168	159	125	78.62
maro1244	Marovo	Austronesian	Papunesia	84	84	66	78.57
