Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
dizi1235	Dizin	Dizoid	Africa	57	55	51	92.73
hrus1242	Hruso		Eurasia	89	88	81	92.05
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	140	126	90
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	106	95	89.62
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	70	62	88.57
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	95	84	88.42
defa1248	Defaka	Ijoid	Africa	75	68	60	88.24
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	108	95	87.96
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	157	138	87.9
chan1313	Chang Naga	Sino-Tibetan	Eurasia	170	143	125	87.41
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	127	111	87.4
kara1499	Kalamang	West Bomberai	Papunesia	99	93	81	87.1
toda1252	Toda	Dravidian	Eurasia	139	129	112	86.82
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	111	96	86.49
chot1239	Chothe	Sino-Tibetan	Eurasia	176	149	128	85.91
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	149	128	85.91
goro1270	Gorowa	Afro-Asiatic	Africa	13	7	6	85.71
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	147	126	85.71
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	75	64	85.33
kony1248	Konyak Naga	Sino-Tibetan	Eurasia	175	155	132	85.16
mala1463	Malavedan	Dravidian	Eurasia	163	141	120	85.11
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	118	100	84.75
kuku1280	Kuku-Uwanh	Pama-Nyungan	Australia	155	130	110	84.62
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	147	124	84.35
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	147	124	84.35
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	147	124	84.35
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	121	102	84.3
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	145	122	84.14
etru1241	Etruscan		Eurasia	130	113	95	84.07
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	56	47	83.93
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	149	125	83.89
namu1246	Namuyi	Sino-Tibetan	Eurasia	173	149	125	83.89
garo1247	Garo	Sino-Tibetan	Eurasia	164	148	124	83.78
toto1302	Toto	Sino-Tibetan	Eurasia	155	129	108	83.72
obok1239	Obokuitai	Lakes Plain	Papunesia	157	135	113	83.7
poya1241	Poyanáwa	Pano-Tacanan	South America	50	49	41	83.67
shol1240	Sholaga	Dravidian	Eurasia	172	147	123	83.67
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	152	127	83.55
chir1283	Chiru	Sino-Tibetan	Eurasia	170	144	120	83.33
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	30	25	83.33
koir1240	Koireng	Sino-Tibetan	Eurasia	155	138	115	83.33
ndom1245	Ndom	Kolopom	Papunesia	74	72	60	83.33
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	102	85	83.33
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	144	120	83.33
muth1236	Muthuvan	Dravidian	Eurasia	143	131	109	83.21
west2417	Western Muya	Sino-Tibetan	Eurasia	112	101	84	83.17
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	148	123	83.11
kada1242	Kadar	Dravidian	Eurasia	156	136	113	83.09
korr1238	Korra Koraga	Dravidian	Eurasia	133	118	98	83.05
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	141	117	82.98
kaur1267	Kaurna	Pama-Nyungan	Australia	48	41	34	82.93
dura1244	Dura	Sino-Tibetan	Eurasia	171	146	121	82.88
koit1244	Koitabu	Koiarian	Papunesia	168	145	120	82.76
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	145	120	82.76
chen1255	Chenchu	Dravidian	Eurasia	180	150	124	82.67
gogo1265	Gogodala	Suki-Gogodala	Papunesia	166	138	114	82.61
koka1244	Kokata	Pama-Nyungan	Australia	143	120	99	82.5
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	120	99	82.5
apat1240	Apatani	Sino-Tibetan	Eurasia	170	148	122	82.43
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	153	126	82.35
qima1242	Qimant	Afro-Asiatic	Africa	166	147	121	82.31
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	141	116	82.27
mill1237	Millcayac	Huarpean	South America	122	118	97	82.2
anfi1235	Anfillo	Ta-Ne-Omotic	Africa	108	101	83	82.18
bang1369	Bangru	Sino-Tibetan	Eurasia	151	129	106	82.17
orok1265	Orok	Tungusic	Eurasia	151	134	110	82.09
bada1257	Badaga	Dravidian	Eurasia	127	117	96	82.05
chak1270	Chak	Sino-Tibetan	Eurasia	188	156	128	82.05
mara1396	Mararit	Tamaic	Africa	92	89	73	82.02
yona1241	Yonaguni	Japonic	Eurasia	164	139	114	82.01
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	133	109	81.95
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	144	118	81.94
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	94	77	81.91
char1269	Chara	Ta-Ne-Omotic	Africa	149	132	108	81.82
gang1266	Gangte	Sino-Tibetan	Eurasia	184	154	126	81.82
kenu1236	Kenuzi-Dongola	Nubian	Africa	193	159	130	81.76
nort2690	Northern Uzbek	Turkic	Eurasia	193	159	130	81.76
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	159	130	81.76
nort2972	Northern Emberá	Chocoan	South America	167	137	112	81.75
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	153	125	81.7
guru1261	Gurung	Sino-Tibetan	Eurasia	174	147	120	81.63
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	114	93	81.58
lule1238	Lule		South America	146	130	106	81.54
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	146	119	81.51
moun1252	Mountain Koiali	Koiarian	Papunesia	168	146	119	81.51
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	135	110	81.48
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	124	101	81.45
nara1262	Nara		Africa	132	113	92	81.42
asoa1238	Asoa	Central Sudanic	Africa	94	86	70	81.4
saba1268	Sabanê	Nambiquaran	South America	169	145	118	81.38
idum1241	Idu	Sino-Tibetan	Eurasia	151	134	109	81.34
bori1243	Bori-Karko	Sino-Tibetan	Eurasia	152	139	113	81.29
