Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
tain1254	Taino	Arawakan	North America	4	4	4	100
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	44	40	90.91
seve1240	Severn Ojibwa	Algic	North America	176	125	113	90.4
otta1242	Ottawa	Algic	North America	190	131	117	89.31
miam1252	Miami	Algic	North America	120	102	90	88.24
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	7	87.5
wood1236	Woods Cree	Algic	North America	162	120	105	87.5
plai1258	Plains Cree	Algic	North America	174	123	106	86.18
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	21	18	85.71
siks1238	Siksika	Algic	North America	162	121	102	84.3
chey1247	Cheyenne	Algic	North America	139	108	90	83.33
mont1268	Montagnais	Algic	North America	134	96	80	83.33
shaw1249	Shawnee	Algic	North America	168	125	103	82.4
pich1237	Pichis Ashéninka	Arawakan	South America	148	110	90	81.82
sene1264	Seneca	Iroquoian	North America	174	126	103	81.75
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	97	79	81.44
nort2961	Northwestern Ojibwa	Algic	North America	189	128	104	81.25
arap1274	Arapaho	Algic	North America	188	130	105	80.77
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	30	24	80
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	69	55	79.71
budz1238	Budza	Atlantic-Congo	Africa	166	112	89	79.46
sooo1256	Soo	Kuliak	Africa	82	63	50	79.37
mikm1235	Mi'kmaq	Algic	North America	179	125	99	79.2
gros1243	Gros Ventre	Algic	North America	161	119	94	78.99
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	14	11	78.57
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	51	40	78.43
bank1256	Bankon	Atlantic-Congo	Africa	78	60	47	78.33
nalo1235	Nalögo	Austronesian	Papunesia	33	23	18	78.26
thur1254	Thurawal	Pama-Nyungan	Australia	86	78	61	78.21
gali1262	Galibi Carib	Cariban	South America	173	125	97	77.6
wage1238	Wageman		Australia	175	120	93	77.5
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	71	55	77.46
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	110	85	77.27
ndam1251	Ndam	Afro-Asiatic	Africa	41	35	27	77.14
beto1236	Betoi-Jirara		South America	130	109	84	77.06
cher1273	Cherokee	Iroquoian	North America	184	126	97	76.98
high1276	Highland Popoluca	Mixe-Zoque	North America	186	126	97	76.98
high1243	Highland Totonac	Totonacan	North America	120	91	70	76.92
urni1239	Urningangg	Giimbiyu	Australia	157	121	93	76.86
kili1267	Kilivila	Austronesian	Papunesia	187	129	99	76.74
kwin1241	Kwini	Worrorran	Australia	160	116	89	76.72
boli1256	Bolinao	Austronesian	Papunesia	60	47	36	76.6
cams1241	Camsá		South America	124	101	77	76.24
wuna1249	Wunambal	Worrorran	Australia	127	101	77	76.24
ngur1261	Wilson River (Grey Range)	Pama-Nyungan	Australia	29	21	16	76.19
heil1246	Heiltsuk-Oowekyala	Wakashan	North America	126	96	73	76.04
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	121	92	76.03
liki1240	Balobo	Atlantic-Congo	Africa	99	75	57	76
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	75	57	76
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	125	95	76
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	75	57	76
kunb1251	Kunbarlang	Gunwinyguan	Australia	190	129	98	75.97
gwen1239	Gweno	Atlantic-Congo	Africa	135	104	79	75.96
chip1241	Chippewa	Algic	North America	171	120	91	75.83
belu1239	Belueli	Atlantic-Congo	Africa	73	62	47	75.81
west2624	Western Huasteca Nahuatl	Uto-Aztecan	North America	128	95	72	75.79
pila1245	Pilagá	Guaicuruan	South America	183	128	97	75.78
orok1266	Oroko	Atlantic-Congo	Africa	139	99	75	75.76
ruka1240	Rukai	Austronesian	Papunesia	191	132	100	75.76
misi1243	Misima-Paneati	Austronesian	Papunesia	144	107	81	75.7
mbya1239	Mbyá Guaraní	Tupian	South America	161	119	90	75.63
lala1268	Lala	Austronesian	Papunesia	187	127	96	75.59
abad1241	Abadi	Austronesian	Papunesia	118	90	68	75.56
cani1243	Canichana		South America	50	45	34	75.56
yukp1241	Yukpa	Cariban	South America	106	90	68	75.56
wyan1247	Huron-Wyandot	Iroquoian	North America	111	94	71	75.53
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	102	77	75.49
vunj1238	Vunjo	Atlantic-Congo	Africa	165	114	86	75.44
meen1242	Me'en	Surmic	Africa	167	122	92	75.41
mill1237	Millcayac	Huarpean	South America	122	101	76	75.25
uruu1244	Uru	Uru-Chipaya	South America	170	121	91	75.21
yapu1240	Yeri	Nuclear Torricelli	Papunesia	163	121	91	75.21
onon1246	Onondaga	Iroquoian	North America	190	129	97	75.19
aree1239	Are	Austronesian	Papunesia	157	120	90	75
chim1301	Chimariko		North America	141	104	78	75
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	128	96	75
gapa1238	Gapapaiwa	Austronesian	Papunesia	157	124	93	75
jita1239	Jita	Atlantic-Congo	Africa	75	60	45	75
kung1259	Kungarakany		Australia	82	68	51	75
kwam1249	Gwama	Koman	Africa	171	120	90	75
rapo1238	Rapoisi	North Bougainville	Papunesia	101	84	63	75
guer1243	Guerrero Amuzgo	Otomanguean	North America	179	127	95	74.8
saba1268	Sabanê	Nambiquaran	South America	169	123	92	74.8
isth1240	Isthmus-Cosoleacaque Nahuatl	Uto-Aztecan	North America	151	111	83	74.77
mika1239	Mikasuki	Muskogean	North America	147	107	80	74.77
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	103	77	74.76
umbu1235	Umbugarla		Australia	126	103	77	74.76
wila1240	Wilawila	Worrorran	Australia	127	99	74	74.75
abip1241	Abipon	Guaicuruan	South America	129	95	71	74.74
tien1242	Tiene	Atlantic-Congo	Africa	126	95	71	74.74
lara1258	Laragia		Australia	108	87	65	74.71
aika1237	Aikanã		South America	90	75	56	74.67
gaaa1245	Gaa	Atlantic-Congo	Africa	79	67	50	74.63
meke1243	Mekeo	Austronesian	Papunesia	192	130	97	74.62
quio1240	Quiotepec Chinantec	Otomanguean	North America	182	126	94	74.6
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	122	91	74.59
ines1240	Ineseño	Chumashan	North America	173	122	91	74.59
hixk1239	Hixkaryána	Cariban	South America	162	118	88	74.58
waor1240	Waorani		South America	150	114	85	74.56
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	110	82	74.55
miwa1242	Miwa	Worrorran	Australia	130	102	76	74.51
duru1236	Duruwa	Dravidian	Eurasia	121	94	70	74.47
assi1247	Assiniboine	Siouan	North America	185	129	96	74.42
iama1237	Iamalele	Austronesian	Papunesia	107	86	64	74.42
musg1254	Musgu	Afro-Asiatic	Africa	118	86	64	74.42
colu1241	Columbia-Wenatchi	Salishan	North America	178	125	93	74.4
eyak1241	Eyak	Athabaskan-Eyak-Tlingit	North America	174	125	93	74.4
biri1256	Biri	Pama-Nyungan	Australia	146	113	84	74.34
papa1238	Papantla Totonac	Totonacan	North America	128	105	78	74.29
gamb1251	Gambera	Worrorran	Australia	129	101	75	74.26
tibe1274	Tibea	Atlantic-Congo	Africa	95	66	49	74.24
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	97	72	74.23
athp1241	Athpariya	Sino-Tibetan	Eurasia	182	124	92	74.19
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	120	89	74.17
west2615	Western Apache	Athabaskan-Eyak-Tlingit	North America	164	120	89	74.17
tusc1257	Tuscarora	Iroquoian	North America	158	112	83	74.11
dard1243	Dar Daju Daju	Dajuic	Africa	93	81	60	74.07
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	108	80	74.07
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	104	77	74.04
cata1286	Catawba	Siouan	North America	125	100	74	74
gbay1278	Gbayi	Atlantic-Congo	Africa	58	50	37	74
puel1244	Puelche		South America	128	100	74	74
yulp1239	Yulparija	Pama-Nyungan	Australia	156	123	91	73.98
nang1262	Nanggu	Austronesian	Papunesia	162	119	88	73.95
nuuc1236	Nuu-chah-nulth	Wakashan	North America	151	111	82	73.87
kagu1239	Kagulu	Atlantic-Congo	Africa	186	130	96	73.85
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	107	79	73.83
sali1253	Salinan		North America	141	107	79	73.83
shas1239	Shasta	Shastan	North America	144	107	79	73.83
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	103	76	73.79
karo1304	Karok		North America	164	122	90	73.77
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	80	59	73.75
waim1253	Waimiri-Atroari	Cariban	South America	127	99	73	73.74
atak1252	Atakapa		North America	149	114	84	73.68
buna1276	Bunama	Austronesian	Papunesia	125	95	70	73.68
reye1240	Reyesano	Pano-Tacanan	South America	139	110	81	73.64
