Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
suku1259	Suku	Atlantic-Congo	Africa	134	122	113	92.62
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	115	100	86.96
swah1253	Swahili	Atlantic-Congo	Africa	178	127	110	86.61
kagu1239	Kagulu	Atlantic-Congo	Africa	186	134	116	86.57
hehe1240	Hehe	Atlantic-Congo	Africa	144	119	103	86.55
lamb1272	Lambya	Atlantic-Congo	Africa	132	111	96	86.49
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	125	108	86.4
haaa1252	Ha	Atlantic-Congo	Africa	187	132	114	86.36
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	117	101	86.32
luya1241	Luyi	Atlantic-Congo	Africa	172	130	112	86.15
mako1251	Makonde	Atlantic-Congo	Africa	164	130	112	86.15
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	121	104	85.95
yaoo1241	Yao	Atlantic-Congo	Africa	137	119	102	85.71
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	132	113	85.61
toor1238	Tooro	Atlantic-Congo	Africa	184	132	113	85.61
saam1283	Saamia	Atlantic-Congo	Africa	134	104	89	85.58
zinz1238	Zinza	Atlantic-Congo	Africa	106	90	77	85.56
thar1283	Tharaka	Atlantic-Congo	Africa	101	83	71	85.54
nyak1260	Nyakyusa-Ngonde	Atlantic-Congo	Africa	153	129	110	85.27
tien1242	Tiene	Atlantic-Congo	Africa	126	115	98	85.22
osam1235	Osamayi	Atlantic-Congo	Africa	105	93	79	84.95
kala1384	Kalanga	Atlantic-Congo	Africa	164	126	107	84.92
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	118	100	84.75
bush1247	Bushoong	Atlantic-Congo	Africa	184	131	111	84.73
asut1235	Asu (Tanzania)	Atlantic-Congo	Africa	140	111	94	84.68
konz1239	Konzo	Atlantic-Congo	Africa	133	117	99	84.62
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	130	110	84.62
orok1266	Oroko	Atlantic-Congo	Africa	139	117	99	84.62
gwen1239	Gweno	Atlantic-Congo	Africa	135	110	93	84.55
nyat1246	Nyaturu	Atlantic-Congo	Africa	160	129	109	84.5
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	109	92	84.4
chim1312	Chimwiini	Atlantic-Congo	Africa	81	76	64	84.21
suba1238	Suba	Atlantic-Congo	Africa	111	101	85	84.16
safw1238	Safwa	Atlantic-Congo	Africa	48	44	37	84.09
gusi1247	Gusii	Atlantic-Congo	Africa	173	131	110	83.97
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	137	115	83.94
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	124	104	83.87
kuan1247	Kuanyama	Atlantic-Congo	Africa	173	135	113	83.7
nyan1307	Nyankole	Atlantic-Congo	Africa	185	135	113	83.7
lumb1249	Lumbu	Atlantic-Congo	Africa	146	116	97	83.62
lang1320	Langi	Atlantic-Congo	Africa	174	128	107	83.59
lega1249	Lega-Shabunda	Atlantic-Congo	Africa	153	128	107	83.59
tswa1253	Tswana	Atlantic-Congo	Africa	178	128	107	83.59
belu1239	Belueli	Atlantic-Congo	Africa	73	67	56	83.58
beng1282	Benga	Atlantic-Congo	Africa	132	97	81	83.51
dual1243	Duala	Atlantic-Congo	Africa	138	103	86	83.5
soga1242	Soga	Atlantic-Congo	Africa	181	133	111	83.46
bond1247	Bondei	Atlantic-Congo	Africa	151	120	100	83.33
budz1238	Budza	Atlantic-Congo	Africa	166	126	105	83.33
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	72	60	83.33
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
pang1287	Pangwa	Atlantic-Congo	Africa	167	131	109	83.21
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	125	104	83.2
mwer1248	Mwera (Chimwera)	Atlantic-Congo	Africa	153	129	107	82.95
here1253	Herero	Atlantic-Congo	Africa	187	134	111	82.84
shon1251	Shona	Atlantic-Congo	Africa	182	133	110	82.71
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	127	105	82.68
sham1280	Shambala	Atlantic-Congo	Africa	118	98	81	82.65
tote1238	Totela	Atlantic-Congo	Africa	161	126	104	82.54
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	130	107	82.31
jita1239	Jita	Atlantic-Congo	Africa	75	62	51	82.26
nila1242	Nilamba	Atlantic-Congo	Africa	162	124	102	82.26
tong1318	Tonga (Zambia)	Atlantic-Congo	Africa	160	124	102	82.26
tuki1240	Tuki	Atlantic-Congo	Africa	160	129	106	82.17
bila1255	Bila	Atlantic-Congo	Africa	134	116	95	81.9
elip1238	Elip	Atlantic-Congo	Africa	111	99	81	81.82
koti1238	Koti	Atlantic-Congo	Africa	182	132	108	81.82
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	104	85	81.73
mbol1247	Mbole	Atlantic-Congo	Africa	89	71	58	81.69
suku1261	Sukuma	Atlantic-Congo	Africa	128	103	84	81.55
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	65	53	81.54
zamb1245	Zamba	Atlantic-Congo	Africa	152	129	105	81.4
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	64	52	81.25
meru1245	Meru	Atlantic-Congo	Africa	162	127	103	81.1
nsen1242	Nsenga	Atlantic-Congo	Africa	160	127	103	81.1
vunj1238	Vunjo	Atlantic-Congo	Africa	165	127	103	81.1
dibo1245	Dibole	Atlantic-Congo	Africa	124	111	90	81.08
tega1236	Tegali	Rashad	Africa	82	74	60	81.08
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	58	47	81.03
fipa1238	Fipa	Atlantic-Congo	Africa	120	100	81	81
bata1285	Batanga	Atlantic-Congo	Africa	113	84	68	80.95
soli1239	Soli	Atlantic-Congo	Africa	101	84	68	80.95
nyor1246	Nyoro	Atlantic-Congo	Africa	180	131	106	80.92
tswa1255	Tswa	Atlantic-Congo	Africa	162	120	97	80.83
makw1236	Makwe	Atlantic-Congo	Africa	86	73	59	80.82
lika1243	Liko	Atlantic-Congo	Africa	165	114	92	80.7
saga1262	Sagalla	Atlantic-Congo	Africa	152	124	100	80.65
holo1240	Holoholo	Atlantic-Congo	Africa	144	103	83	80.58
nyal1250	Nyali	Atlantic-Congo	Africa	118	103	83	80.58
bafi1243	Bafia	Atlantic-Congo	Africa	173	128	103	80.47
loba1239	Lobala	Atlantic-Congo	Africa	98	87	70	80.46
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	112	90	80.36
pagi1243	Pagibete	Atlantic-Congo	Africa	170	127	102	80.31
liki1240	Balobo	Atlantic-Congo	Africa	99	91	73	80.22
bemb1257	Bemba (Zambia)	Atlantic-Congo	Africa	183	130	104	80
kung1259	Kungarakany		Australia	82	70	56	80
maka1304	Makaa	Atlantic-Congo	Africa	159	125	100	80
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	85	68	80
ndun1249	Ndunga	Atlantic-Congo	Africa	127	104	83	79.81
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	99	79	79.8
gamb1251	Gambera	Worrorran	Australia	129	99	79	79.8
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	84	67	79.76
bank1256	Bankon	Atlantic-Congo	Africa	78	74	59	79.73
