Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
tain1254	Taino	Arawakan	North America	4	3	3	100
bomb1262	Bomboma	Atlantic-Congo	Africa	119	92	86	93.48
zinz1238	Zinza	Atlantic-Congo	Africa	106	69	64	92.75
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	95	88	92.63
bong1284	Bongili	Atlantic-Congo	Africa	102	93	86	92.47
ndob1238	Ndobo	Atlantic-Congo	Africa	85	78	72	92.31
lika1243	Liko	Atlantic-Congo	Africa	165	113	104	92.04
bamw1238	Bamwe	Atlantic-Congo	Africa	102	97	89	91.75
vunj1238	Vunjo	Atlantic-Congo	Africa	165	106	97	91.51
bolo1262	Boloki	Atlantic-Congo	Africa	144	116	106	91.38
liki1240	Balobo	Atlantic-Congo	Africa	99	94	85	90.43
loba1239	Lobala	Atlantic-Congo	Africa	98	83	75	90.36
koti1238	Koti	Atlantic-Congo	Africa	182	113	102	90.27
lito1235	Litoka	Atlantic-Congo	Africa	97	90	81	90
kala1384	Kalanga	Atlantic-Congo	Africa	164	108	97	89.81
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	108	97	89.81
bush1247	Bushoong	Atlantic-Congo	Africa	184	113	101	89.38
nyor1246	Nyoro	Atlantic-Congo	Africa	180	111	99	89.19
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	101	90	89.11
lumb1249	Lumbu	Atlantic-Congo	Africa	146	99	88	88.89
hehe1240	Hehe	Atlantic-Congo	Africa	144	97	86	88.66
ndam1251	Ndam	Afro-Asiatic	Africa	41	35	31	88.57
giry1241	Giryama	Atlantic-Congo	Africa	83	61	54	88.52
jita1239	Jita	Atlantic-Congo	Africa	75	52	46	88.46
gand1255	Ganda	Atlantic-Congo	Africa	148	112	99	88.39
luse1252	Lusengo	Atlantic-Congo	Africa	131	112	99	88.39
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	76	67	88.16
