Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	4	4	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	23	20	86.96
high1243	Highland Totonac	Totonacan	North America	120	33	28	84.85
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	32	27	84.38
heil1246	Heiltsuk-Oowekyala	Wakashan	North America	126	36	30	83.33
siks1238	Siksika	Algic	North America	162	46	38	82.61
nonu1241	Nonuya	Huitotoan	South America	54	17	14	82.35
ajyi1238	Ajyíninka Apurucayali	Arawakan	South America	69	39	32	82.05
beel1236	Beele	Afro-Asiatic	Africa	52	11	9	81.82
chac1249	Cha'palaa	Barbacoan	South America	91	22	18	81.82
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	22	18	81.82
cupe1243	Cupeño	Uto-Aztecan	North America	48	26	21	80.77
nade1244	Nadëb	Naduhup	South America	64	36	29	80.56
yuki1243	Northern Yukian	Yuki-Wappo	North America	175	45	36	80
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	39	31	79.49
mara1396	Mararit	Tamaic	Africa	92	24	19	79.17
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	19	15	78.95
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	23	18	78.26
kari1311	Karitiâna	Tupian	South America	160	46	36	78.26
pana1305	Panamint	Uto-Aztecan	North America	41	23	18	78.26
maqu1238	Ye'kwana	Cariban	South America	56	32	25	78.12
para1311	Paraguayan Guaraní	Tupian	South America	54	32	25	78.12
beto1236	Betoi-Jirara		South America	130	41	32	78.05
nalo1235	Nalögo	Austronesian	Papunesia	33	9	7	77.78
sant1451	Santa María Quiegolani Zapotec	Otomanguean	North America	160	45	35	77.78
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	40	31	77.5
yukp1241	Yukpa	Cariban	South America	106	31	24	77.42
puqu1242	Puquina		South America	118	35	27	77.14
chol1284	Cholón	Hibito-Cholon	South America	181	48	37	77.08
avac1239	Avá-Canoeiro	Tupian	South America	153	43	33	76.74
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	43	33	76.74
guah1255	Guahibo	Guahiboan	South America	179	47	36	76.6
gata1239	Gata'	Austroasiatic	Eurasia	156	34	26	76.47
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	34	26	76.47
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	38	29	76.32
ando1256	Andoque		South America	38	21	16	76.19
gbay1278	Gbayi	Atlantic-Congo	Africa	58	21	16	76.19
achu1247	Achumawi	Palaihnihan	North America	106	25	19	76
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	25	19	76
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	29	22	75.86
isth1240	Isthmus-Cosoleacaque Nahuatl	Uto-Aztecan	North America	151	41	31	75.61
huic1243	Huichol	Uto-Aztecan	North America	179	45	34	75.56
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	49	37	75.51
apur1254	Apurinã	Arawakan	South America	155	44	33	75
assi1247	Assiniboine	Siouan	North America	185	48	36	75
