Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
slov1268	Slovenian	Indo-European	Eurasia	192	187	167	89.3
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
sout1528	Serbian-Croatian-Bosnian	Indo-European	Eurasia	187	186	162	87.1
camp1261	Campidanese Sardinian	Indo-European	Eurasia	181	178	151	84.83
cors1241	Corsican	Indo-European	Eurasia	179	175	148	84.57
occi1239	Occitan	Indo-European	Eurasia	187	181	153	84.53
tosk1239	Northern Tosk Albanian	Indo-European	Eurasia	180	176	148	84.09
arom1237	Aromanian	Indo-European	Eurasia	165	161	134	83.23
bela1254	Belarusian	Indo-European	Eurasia	190	184	153	83.15
sici1248	Sicilian	Indo-European	Eurasia	179	178	148	83.15
stan1289	Catalan	Indo-European	Eurasia	193	187	155	82.89
dani1285	Danish	Indo-European	Eurasia	182	180	149	82.78
roma1326	Romansh	Indo-European	Eurasia	178	177	145	81.92
lomb1257	Lombard	Indo-European	Eurasia	190	186	152	81.72
ukra1253	Ukrainian	Indo-European	Eurasia	171	164	134	81.71
lith1251	Lithuanian	Indo-European	Eurasia	191	185	151	81.62
port1283	Portuguese	Indo-European	Eurasia	192	187	151	80.75
mode1248	Modern Greek	Indo-European	Eurasia	195	187	150	80.21
gali1258	Galician	Indo-European	Eurasia	192	186	149	80.11
czec1258	Czech	Indo-European	Eurasia	191	185	148	80
latv1249	Latvian	Indo-European	Eurasia	184	183	146	79.78
plau1238	Plautdietsch	Indo-European	North America	178	173	136	78.61
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	32	25	78.12
sout2649	Southern Pashto	Indo-European	Eurasia	176	170	132	77.65
ital1282	Italian	Indo-European	Eurasia	193	187	145	77.54
mund1326	Mündü	Atlantic-Congo	Africa	120	114	88	77.19
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	10	76.92
faro1244	Faroese	Indo-European	Eurasia	194	186	142	76.34
gheg1238	Gheg Albanian	Indo-European	Eurasia	188	181	138	76.24
west2354	Western Frisian	Indo-European	Eurasia	187	180	136	75.56
clas1249	Classical-Middle Armenian	Indo-European	Eurasia	183	178	134	75.28
icel1247	Icelandic	Indo-European	Eurasia	184	176	132	75
iron1242	Iron Ossetian	Indo-European	Eurasia	172	168	126	75
olde1238	Old English (ca. 450-1100)	Indo-European	Eurasia	191	184	138	75
bube1242	Bube	Atlantic-Congo	Africa	135	133	99	74.44
jjuu1238	Jju	Atlantic-Congo	Africa	85	81	60	74.07
bret1244	Breton	Indo-European	Eurasia	189	184	136	73.91
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	46	34	73.91
wels1247	Welsh	Indo-European	Eurasia	173	172	127	73.84
dutc1256	Dutch	Indo-European	Eurasia	187	183	135	73.77
daha1245	Dahalo	Afro-Asiatic	Africa	46	45	33	73.33
malt1254	Maltese	Afro-Asiatic	Eurasia	173	166	121	72.89
swed1254	Swedish	Indo-European	Eurasia	182	177	129	72.88
bayo1255	Kugere-Kuxinge	Atlantic-Congo	Africa	58	55	40	72.73
stan1290	French	Indo-European	Eurasia	195	187	136	72.73
anci1242	Ancient Greek	Indo-European	Eurasia	194	186	135	72.58
hind1269	Hindi	Indo-European	Eurasia	187	182	132	72.53
lati1261	Latin	Indo-European	Eurasia	193	185	134	72.43
lamb1269	Lambadi	Indo-European	Eurasia	155	152	110	72.37
stan1293	English	Indo-European	Eurasia	195	187	135	72.19
aghw1237	Aghwan	Nakh-Daghestanian	Eurasia	147	140	101	72.14
buku1249	Bukusu	Atlantic-Congo	Africa	52	50	36	72
komi1269	Komi-Permyak	Uralic	Eurasia	181	173	124	71.68
esto1258	Estonian	Uralic	Eurasia	195	187	134	71.66
poli1260	Polish	Indo-European	Eurasia	195	187	134	71.66
russ1263	Russian	Indo-European	Eurasia	193	187	134	71.66
dard1243	Dar Daju Daju	Dajuic	Africa	93	91	65	71.43
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	63	45	71.43
soma1255	Somali	Afro-Asiatic	Africa	97	91	65	71.43
gura1251	Gurani	Indo-European	Eurasia	128	122	87	71.31
lish1245	Lishanid Noshan	Afro-Asiatic	Eurasia	177	170	121	71.18
kagf1238	Ut-Main	Atlantic-Congo	Africa	86	83	59	71.08
bund1253	Bundeli	Indo-European	Eurasia	173	169	120	71.01
bamu1253	Bamun	Atlantic-Congo	Africa	159	155	110	70.97
sekp1241	Sekpele	Atlantic-Congo	Africa	94	93	66	70.97
koys1242	Koy Sanjaq Jewish Neo-Aramaic	Afro-Asiatic	Eurasia	169	165	117	70.91
bats1242	Bats	Nakh-Daghestanian	Eurasia	148	144	102	70.83
okuu1243	Oku	Atlantic-Congo	Africa	110	106	75	70.75
ndam1251	Ndam	Afro-Asiatic	Africa	41	41	29	70.73
nica1252	Nicaragua Creole English	Indo-European	North America	157	150	106	70.67
tunn1238	Tunni	Afro-Asiatic	Africa	184	177	125	70.62
west2369	Western Farsi	Indo-European	Eurasia	183	177	125	70.62
nati1243	Natioro	Atlantic-Congo	Africa	51	51	36	70.59
pite1240	Pite Saami	Uralic	Eurasia	195	187	132	70.59
esim1238	Esimbi	Atlantic-Congo	Africa	154	149	105	70.47
tezo1238	Tezoatlán Mixtec	Otomanguean	North America	162	159	112	70.44
livv1244	Liv	Uralic	Eurasia	194	186	131	70.43
nucl1706	Neo-Mandaic	Afro-Asiatic	Eurasia	159	152	107	70.39
voti1245	Votic	Uralic	Eurasia	169	162	114	70.37
noma1260	Nomaande	Atlantic-Congo	Africa	118	118	83	70.34
koon1245	Koonzime	Atlantic-Congo	Africa	133	131	92	70.23
