Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	4	4	100
tain1254	Taino	Arawakan	North America	4	4	4	100
apol1242	Apolista	Arawakan	South America	14	14	13	92.86
pich1237	Pichis Ashéninka	Arawakan	South America	148	73	66	90.41
asha1243	Asháninka	Arawakan	South America	91	87	75	86.21
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	7	6	85.71
noma1263	Nomatsiguenga	Arawakan	South America	96	91	75	82.42
yane1238	Yanesha'	Arawakan	South America	114	83	67	80.72
otta1242	Ottawa	Algic	North America	190	93	75	80.65
yine1238	Yine	Arawakan	South America	91	86	69	80.23
lowe1412	Tanudan Kalinga	Austronesian	Papunesia	64	45	36	80
puin1248	Puinave		South America	44	20	16	80
baur1253	Baure	Arawakan	South America	168	91	72	79.12
apur1254	Apurinã	Arawakan	South America	155	88	69	78.41
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	55	43	78.18
igna1246	Ignaciano	Arawakan	South America	91	87	68	78.16
curr1243	Curripaco	Arawakan	South America	101	96	75	78.12
ndam1251	Ndam	Afro-Asiatic	Africa	41	18	14	77.78
omii1238	Omi	Central Sudanic	Africa	18	9	7	77.78
sara1331	Saraveca	Arawakan	South America	19	18	14	77.78
guar1293	Baniva de Maroa	Arawakan	South America	101	96	74	77.08
onaa1245	Selk'nam	Chonan	South America	153	78	60	76.92
sene1264	Seneca	Iroquoian	North America	174	91	70	76.92
ashe1272	Ashéninka Perené	Arawakan	South America	193	95	73	76.84
paun1241	Paunaka	Arawakan	South America	99	94	72	76.6
pila1245	Pilagá	Guaicuruan	South America	183	94	72	76.6
miam1252	Miami	Algic	North America	120	64	49	76.56
waur1244	Waurá	Arawakan	South America	86	85	65	76.47
iton1250	Itonama		South America	170	89	68	76.4
arap1274	Arapaho	Algic	North America	188	93	71	76.34
wood1236	Woods Cree	Algic	North America	162	82	62	75.61
cham1318	Chamicuro	Arawakan	South America	54	53	40	75.47
isla1278	Island Carib	Arawakan	North America	85	81	61	75.31
bare1276	Baré	Arawakan	South America	117	88	66	75
boli1256	Bolinao	Austronesian	Papunesia	60	32	24	75
geme1244	Geme	Atlantic-Congo	Africa	6	4	3	75
reye1240	Reyesano	Pano-Tacanan	South America	139	80	60	75
shaw1249	Shawnee	Algic	North America	168	88	66	75
taya1257	Tayart Tamajeq	Afro-Asiatic	Africa	161	88	66	75
bani1255	Baniwa do Icana	Arawakan	South America	85	83	62	74.7
tenn1246	Tennet	Surmic	Africa	158	83	62	74.7
araw1276	Lokono	Arawakan	South America	136	79	59	74.68
kron1241	Krongo	Kadugli-Krongo	Africa	75	51	38	74.51
ajyi1238	Ajyíninka Apurucayali	Arawakan	South America	69	39	29	74.36
nade1244	Nadëb	Naduhup	South America	64	31	23	74.19
siks1238	Siksika	Algic	North America	162	89	66	74.16
wayu1243	Wayuu	Arawakan	South America	117	89	66	74.16
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	42	31	73.81
taha1241	Tahaggart Tamahaq	Afro-Asiatic	Africa	176	87	64	73.56
seve1240	Severn Ojibwa	Algic	North America	176	83	61	73.49
duru1236	Duruwa	Dravidian	Eurasia	121	64	47	73.44
acha1250	Achagua	Arawakan	South America	124	94	69	73.4
high1276	Highland Popoluca	Mixe-Zoque	North America	186	90	66	73.33
wath1238	Wathawurrung	Pama-Nyungan	Australia	55	30	22	73.33
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	86	63	73.26
olut1240	Oluta Popoluca	Mixe-Zoque	North America	180	93	68	73.12
haio1238	Hai//om-Akhoe	Khoe-Kwadi	Africa	35	26	19	73.08
nant1250	Nanti	Arawakan	South America	80	48	35	72.92
yagu1244	Yagua	Peba-Yagua	South America	170	88	64	72.73
nort2961	Northwestern Ojibwa	Algic	North America	189	91	66	72.53
nort2864	Wemale	Austronesian	Papunesia	76	40	29	72.5
pali1279	Palikúr	Arawakan	South America	111	87	63	72.41
plai1258	Plains Cree	Algic	North America	174	87	63	72.41
abip1241	Abipon	Guaicuruan	South America	129	65	47	72.31
umaa1242	Uma	Austronesian	Papunesia	123	65	47	72.31
kips1239	Kipsigis	Nilotic	Africa	156	86	62	72.09
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	86	62	72.09
awji1241	Awjilah	Afro-Asiatic	Africa	145	68	49	72.06
assi1247	Assiniboine	Siouan	North America	185	93	67	72.04
tama1365	Tamasheq	Afro-Asiatic	Africa	186	93	67	72.04
achu1247	Achumawi	Palaihnihan	North America	106	50	36	72
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	89	64	71.91
beel1236	Beele	Afro-Asiatic	Africa	52	32	23	71.88
ruka1240	Rukai	Austronesian	Papunesia	191	96	69	71.88
yukp1241	Yukpa	Cariban	South America	106	60	43	71.67
hixk1239	Hixkaryána	Cariban	South America	162	81	58	71.6
resi1247	Resígaro	Arawakan	South America	83	81	58	71.6
khal1275	Khaling	Sino-Tibetan	Eurasia	168	88	63	71.59
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	14	10	71.43
piap1246	Piapoco	Arawakan	South America	59	28	20	71.43
mont1268	Montagnais	Algic	North America	134	73	52	71.23
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	52	37	71.15
cowl1242	Cowlitz	Salishan	North America	175	93	66	70.97
chey1247	Cheyenne	Algic	North America	139	72	51	70.83
loup1243	Loup A	Algic	North America	132	72	51	70.83
tojo1241	Tojolabal	Mayan	North America	195	96	68	70.83
niva1238	Nivaclé	Matacoan	South America	188	92	65	70.65
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	68	48	70.59
ghad1239	Ghadames	Afro-Asiatic	Africa	160	85	60	70.59
ngur1261	Wilson River (Grey Range)	Pama-Nyungan	Australia	29	17	12	70.59
yatz1235	Yatzachi Zapotec	Otomanguean	North America	185	95	67	70.53
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	88	62	70.45
yavi1244	Yavitero-Pareni	Arawakan	South America	117	88	62	70.45
sanj1284	Western Tlacolula Valley Zapotec	Otomanguean	North America	152	74	52	70.27
sier1250	Sierra de Juárez Zapotec	Otomanguean	North America	162	84	59	70.24
onon1246	Onondaga	Iroquoian	North America	190	94	66	70.21
tawa1286	Tawallammat Tamajaq	Afro-Asiatic	Africa	127	57	40	70.18
moco1246	Mocoví	Guaicuruan	South America	169	87	61	70.11
amha1245	Amharic	Afro-Asiatic	Africa	101	70	49	70
cota1241	Cotabato Manobo	Austronesian	Papunesia	145	80	56	70
dime1235	Dime	South Omotic	Africa	52	40	28	70
kara1487	Karao	Austronesian	Papunesia	160	93	65	69.89
chip1241	Chippewa	Algic	North America	171	83	58	69.88
papa1238	Papantla Totonac	Totonacan	North America	128	73	51	69.86
wyan1247	Huron-Wyandot	Iroquoian	North America	111	63	44	69.84
dagi1241	Dagik	Narrow Talodi	Africa	167	86	60	69.77
gumu1244	Northern Gumuz	Gumuz	Africa	160	86	60	69.77
mali1285	Malinaltepec Me'phaa	Otomanguean	North America	160	86	60	69.77
moch1257	Mocho	Mayan	North America	163	86	60	69.77
kute1249	Kutenai		North America	132	76	53	69.74
kaby1243	Kabyle	Afro-Asiatic	Africa	65	33	23	69.7
mose1249	Mosetén-Chimané		South America	179	89	62	69.66
murl1244	Murle	Surmic	Africa	175	89	62	69.66
ngan1295	Ngandi	Gunwinyguan	Australia	95	89	62	69.66
ticu1245	Ticuna	Ticuna-Yuri	South America	154	79	55	69.62
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	46	32	69.57
high1243	Highland Totonac	Totonacan	North America	120	69	48	69.57
ines1240	Ineseño	Chumashan	North America	173	92	64	69.57
puyu1239	Puyuma	Austronesian	Papunesia	99	92	64	69.57
zoog1238	Zoogocho Zapotec	Otomanguean	North America	176	92	64	69.57
sion1247	Siona-Tetete	Tucanoan	South America	62	36	25	69.44
kwam1249	Gwama	Koman	Africa	171	85	59	69.41
paiw1248	Paiwan	Austronesian	Papunesia	92	85	59	69.41
hooo1248	Ho	Austroasiatic	Eurasia	149	88	61	69.32
maja1242	Majang	Surmic	Africa	163	88	61	69.32
kali1308	Kalispel-Pend d'Oreille	Salishan	North America	160	78	54	69.23
koya1251	Koya	Dravidian	Eurasia	137	78	54	69.23
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	65	45	69.23
sout2912	Coastal-Virac Bikol	Austronesian	Papunesia	128	65	45	69.23
tari1263	Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	Afro-Asiatic	Africa	151	78	54	69.23
coca1259	Cocama-Cocamilla	Tupian	South America	188	94	65	69.15
kili1267	Kilivila	Austronesian	Papunesia	187	94	65	69.15
mbya1239	Mbyá Guaraní	Tupian	South America	161	81	56	69.14
mori1268	Mori Bawah	Austronesian	Papunesia	88	81	56	69.14
tote1238	Totela	Atlantic-Congo	Africa	161	81	56	69.14
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	55	38	69.09
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	71	49	69.01
hass1238	Hassaniyya	Afro-Asiatic	Africa	142	87	60	68.97
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	87	60	68.97
huic1243	Huichol	Uto-Aztecan	North America	179	90	62	68.89
nhen1239	Nhengatu	Tupian	South America	181	90	62	68.89
sier1248	Sierra Negra Nahuatl	Uto-Aztecan	North America	145	77	53	68.83
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	93	64	68.82
mamm1241	Mam	Mayan	North America	179	93	64	68.82
cayu1262	Cayubaba		South America	131	80	55	68.75
elna1235	El Nayar Cora	Uto-Aztecan	North America	162	83	57	68.67
sant1410	Santali	Austroasiatic	Eurasia	155	83	57	68.67
wapi1253	Wapishana	Arawakan	South America	86	83	57	68.67
east2556	Eastern Highland Otomi	Otomanguean	North America	164	86	59	68.6
gros1243	Gros Ventre	Algic	North America	161	86	59	68.6
ware1255	Warekena do San Miguel	Arawakan	South America	131	70	48	68.57
kryt1240	Kryz	Nakh-Daghestanian	Eurasia	165	89	61	68.54
nyal1254	Belep	Austronesian	Papunesia	180	89	61	68.54
afar1241	Afar	Afro-Asiatic	Africa	188	92	63	68.48
sars1236	Sarsi	Athabaskan-Eyak-Tlingit	North America	176	92	63	68.48
take1257	Takelma		North America	173	92	63	68.48
gari1256	Garifuna	Arawakan	North America	80	76	52	68.42
jaru1254	Jaru	Pama-Nyungan	Australia	61	38	26	68.42
rapo1238	Rapoisi	North Bougainville	Papunesia	101	57	39	68.42
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	76	52	68.42
trin1274	Trinitario-Javeriano-Loretano	Arawakan	South America	146	79	54	68.35
natu1246	Natügu	Austronesian	Papunesia	96	60	41	68.33
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	85	58	68.24
avac1239	Avá-Canoeiro	Tupian	South America	153	88	60	68.18
moni1237	Mangue	Otomanguean	North America	84	44	30	68.18
pagu1249	Pagu	North Halmahera	Papunesia	153	88	60	68.18
bunu1267	Bunun	Austronesian	Papunesia	74	69	47	68.12
tobe1252	Tobelo	North Halmahera	Papunesia	173	94	64	68.09
west2644	Western Highland Chatino	Otomanguean	North America	188	94	64	68.09
para1311	Paraguayan Guaraní	Tupian	South America	54	25	17	68
poya1241	Poyanáwa	Pano-Tacanan	South America	50	25	17	68
uppe1439	Upper Chehalis	Salishan	North America	164	84	57	67.86
yany1243	Yanyuwa	Pama-Nyungan	Australia	90	84	57	67.86
tara1313	Tarao	Sino-Tibetan	Eurasia	166	87	59	67.82
sooo1256	Soo	Kuliak	Africa	82	59	40	67.8
cher1273	Cherokee	Iroquoian	North America	184	90	61	67.78
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	90	61	67.78
isna1241	Isnag	Austronesian	Papunesia	163	90	61	67.78
mati1250	Matigsalug Manobo	Austronesian	Papunesia	177	90	61	67.78
sout2996	Southern Aymara	Aymaran	South America	186	90	61	67.78
kuan1247	Kuanyama	Atlantic-Congo	Africa	173	93	63	67.74
para1316	Paraujano	Arawakan	South America	53	31	21	67.74
yuca1254	Yucatec Maya	Mayan	North America	189	93	63	67.74
meke1243	Mekeo	Austronesian	Papunesia	192	96	65	67.71
bamb1262	Bambassi	Blue Nile Mao	Africa	99	65	44	67.69
cams1241	Camsá		South America	124	68	46	67.65
wanm1242	Wanman	Pama-Nyungan	Australia	132	71	48	67.61
cham1315	Chamacoco	Zamucoan	South America	143	77	52	67.53
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	77	52	67.53
araw1273	Araweté	Tupian	South America	148	80	54	67.5
pawn1254	Pawnee	Caddoan	North America	156	83	56	67.47
siri1273	Sirionó	Tupian	South America	169	83	56	67.47
tusc1257	Tuscarora	Iroquoian	North America	158	83	56	67.47
motu1246	Motu	Austronesian	Papunesia	160	86	58	67.44
chuj1250	Chuj	Mayan	North America	171	92	62	67.39
guer1243	Guerrero Amuzgo	Otomanguean	North America	179	92	62	67.39
quio1240	Quiotepec Chinantec	Otomanguean	North America	182	92	62	67.39
yape1248	Yapese	Austronesian	Papunesia	170	92	62	67.39
yuch1247	Yuchi		North America	175	92	62	67.39
macu1260	Macuna	Tucanoan	South America	177	95	64	67.37
sout2989	Southern Lengua	Lengua-Mascoy	South America	193	95	64	67.37
yami1254	Yami	Austronesian	Papunesia	194	95	64	67.37
baik1238	Baikeno	Austronesian	Papunesia	103	49	33	67.35
tepe1278	Tepecano	Uto-Aztecan	North America	121	61	41	67.21
guat1253	Guató		South America	127	64	43	67.19
saki1247	Sakizaya	Austronesian	Papunesia	135	67	45	67.16
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	73	49	67.12
bara1361	Barambu	Atlantic-Congo	Africa	128	76	51	67.11
nucl1594	Mairasi	Mairasic	Papunesia	84	79	53	67.09
amis1246	Amis	Austronesian	Papunesia	151	82	55	67.07
bata1289	Batak Toba	Austronesian	Papunesia	168	82	55	67.07
rita1239	Ritarungo	Pama-Nyungan	Australia	93	85	57	67.06
sant1451	Santa María Quiegolani Zapotec	Otomanguean	North America	160	85	57	67.06
gube1234	Gubeeher-Gufangor-Gubelor	Atlantic-Congo	Africa	180	91	61	67.03
ivat1242	Itbayat	Austronesian	Papunesia	176	91	61	67.03
lush1252	Northern Lushootseed	Salishan	North America	182	94	63	67.02
argo1244	Argobba	Afro-Asiatic	Africa	184	90	60	66.67
ayiw1239	Äiwoo	Austronesian	Papunesia	172	93	62	66.67
bara1380	Barasana-Eduria	Tucanoan	South America	65	36	24	66.67
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	96	64	66.67
coos1249	Hanis	Coosan	North America	176	90	60	66.67
esse1238	Esselen		North America	110	57	38	66.67
guri1248	Guriaso		Papunesia	24	12	8	66.67
kaik1246	Kaike	Sino-Tibetan	Eurasia	184	96	64	66.67
karo1304	Karok		North America	164	93	62	66.67
komi1270	Kom (India)	Sino-Tibetan	Eurasia	168	87	58	66.67
mikm1235	Mi'kmaq	Algic	North America	179	87	58	66.67
movi1243	Movima		South America	167	87	58	66.67
mund1320	Mundari	Austroasiatic	Eurasia	156	90	60	66.67
