Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
lamo1244	Lamogai	Austronesian	Papunesia	135	130	108	83.08
avok1242	Avokaya	Central Sudanic	Africa	122	117	96	82.05
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	133	109	81.95
maku1277	Maku'a	Austronesian	Papunesia	29	27	22	81.48
jurm1239	Jur Modo	Central Sudanic	Africa	159	150	122	81.33
tuml1238	Tumleo	Austronesian	Papunesia	103	100	81	81
bagi1246	Bagirmi	Central Sudanic	Africa	167	158	127	80.38
mono1273	Mono-Alu	Austronesian	Papunesia	111	107	86	80.37
east2443	East Ambae	Austronesian	Papunesia	182	173	139	80.35
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
wala1266	Wala	Austronesian	Papunesia	150	145	116	80
abad1241	Abadi	Austronesian	Papunesia	118	114	91	79.82
oroh1237	Oroha	Austronesian	Papunesia	118	114	91	79.82
amar1272	Amara	Austronesian	Papunesia	148	143	114	79.72
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	128	102	79.69
tawa1275	Tawala	Austronesian	Papunesia	96	88	70	79.55
tolo1255	Tolomako	Austronesian	Papunesia	120	117	93	79.49
kren1239	Krenak	Nuclear-Macro-Je	South America	111	107	85	79.44
boro1282	Bororo	Bororoan	South America	184	175	139	79.43
port1285	Port Sandwich	Austronesian	Papunesia	174	165	131	79.39
sout2895	South Nuaulu	Austronesian	Papunesia	158	150	119	79.33
east2440	East Makian	Austronesian	Papunesia	95	87	69	79.31
gbay1278	Gbayi	Atlantic-Congo	Africa	58	58	46	79.31
tutu1241	Tutuba	Austronesian	Papunesia	184	176	139	78.98
tane1237	Tanema	Austronesian	Papunesia	154	147	116	78.91
kimm1246	Kim	Atlantic-Congo	Africa	129	123	97	78.86
mido1240	Midob	Nubian	Africa	55	52	41	78.85
misi1243	Misima-Paneati	Austronesian	Papunesia	144	137	108	78.83
maee1241	Tirax	Austronesian	Papunesia	188	178	140	78.65
buwa1243	Buwal	Afro-Asiatic	Africa	191	182	143	78.57
aros1241	Arosi	Austronesian	Papunesia	141	135	106	78.52
tetu1245	Tetum	Austronesian	Papunesia	87	79	62	78.48
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	51	40	78.43
yako1252	Yakoma	Atlantic-Congo	Africa	143	139	109	78.42
keng1240	Kenga	Central Sudanic	Africa	124	120	94	78.33
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	143	112	78.32
jiba1237	Jiba	Atlantic-Congo	Africa	120	115	90	78.26
mbul1263	Mbula	Austronesian	Papunesia	183	174	136	78.16
akei1237	Akei	Austronesian	Papunesia	122	119	93	78.15
iwal1237	Iwal	Austronesian	Papunesia	134	128	100	78.12
lugb1240	Lugbara	Central Sudanic	Africa	165	160	125	78.12
ndom1245	Ndom	Kolopom	Papunesia	74	73	57	78.08
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	141	110	78.01
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	168	131	77.98
labo1244	Ninde	Austronesian	Papunesia	122	118	92	77.97
mans1260	Mansim	Hatam-Mansim	Papunesia	71	68	53	77.94
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	145	113	77.93
tera1251	Tera	Afro-Asiatic	Africa	152	145	113	77.93
west2600	West Makian	North Halmahera	Papunesia	151	145	113	77.93
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	140	109	77.86
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	140	109	77.86
kaba1281	Kaba	Central Sudanic	Africa	166	158	123	77.85
sout2782	South Fali	Atlantic-Congo	Africa	177	167	130	77.84
mbya1239	Mbyá Guaraní	Tupian	South America	161	153	119	77.78
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	112	87	77.68
emae1237	Emae	Austronesian	Papunesia	156	147	114	77.55
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	129	100	77.52
lach1248	Lachi	Tai-Kadai	Eurasia	167	160	124	77.5
ware1253	Warembori	Austronesian	Papunesia	170	164	127	77.44
gebe1237	Gebe	Austronesian	Papunesia	129	124	96	77.42
nort3047	North Giziga	Afro-Asiatic	Africa	176	168	130	77.38
cent2058	Central Maewo	Austronesian	Papunesia	110	106	82	77.36
monn1252	Mon	Austroasiatic	Eurasia	91	88	68	77.27
furu1242	Furu	Central Sudanic	Africa	127	123	95	77.24
koyr1242	Koyraboro Senni Songhai	Songhay	Africa	168	158	122	77.22
tora1259	Torau	Austronesian	Papunesia	119	114	88	77.19
gale1259	Galela	North Halmahera	Papunesia	143	140	108	77.14
molo1266	Moloko	Afro-Asiatic	Africa	109	105	81	77.14
tean1237	Teanu	Austronesian	Papunesia	147	140	108	77.14
ewee1241	Ewe	Atlantic-Congo	Africa	162	153	118	77.12
mamv1243	Mamvu	Central Sudanic	Africa	136	131	101	77.1
vano1237	Lovono	Austronesian	Papunesia	146	139	107	76.98
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	152	117	76.97
tega1236	Tegali	Rashad	Africa	82	78	60	76.92
pagu1249	Pagu	North Halmahera	Papunesia	153	147	113	76.87
