Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	7	7	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	7	7	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	10	9	90
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	54	47	87.04
cupe1243	Cupeño	Uto-Aztecan	North America	48	23	20	86.96
gaaa1245	Gaa	Atlantic-Congo	Africa	79	39	33	84.62
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	44	37	84.09
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	51	42	82.35
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	75	61	81.33
yukp1241	Yukpa	Cariban	South America	106	53	43	81.13
sile1255	Sirva	Nuclear Trans New Guinea	Papunesia	157	74	60	81.08
lule1238	Lule		South America	146	61	49	80.33
misk1235	Mískito	Misumalpan	North America	162	76	61	80.26
bord1248	Border Kuna	Chibchan	South America	162	75	60	80
gant1244	Gants	Nuclear Trans New Guinea	Papunesia	164	75	60	80
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	30	24	80
mido1240	Midob	Nubian	Africa	55	25	20	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
muth1236	Muthuvan	Dravidian	Eurasia	143	60	48	80
nend1239	Nend	Nuclear Trans New Guinea	Papunesia	169	75	60	80
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	5	4	80
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	63	50	79.37
saya1246	Saya	Afro-Asiatic	Africa	121	53	42	79.25
monn1252	Mon	Austroasiatic	Eurasia	91	38	30	78.95
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	57	45	78.95
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	66	52	78.79
orok1265	Orok	Tungusic	Eurasia	151	70	55	78.57
waja1257	Wajarri	Pama-Nyungan	Australia	65	28	22	78.57
naru1238	Narungga	Pama-Nyungan	Australia	106	51	40	78.43
turk1304	Turkmen	Turkic	Eurasia	181	74	58	78.38
umot1240	Umotína	Bororoan	South America	73	32	25	78.12
rawa1267	Rawa	Nuclear Trans New Guinea	Papunesia	89	50	39	78
nort2697	North Azerbaijani	Turkic	Eurasia	188	77	60	77.92
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	54	42	77.78
tomm1242	Tommo So Dogon	Dogon	Africa	167	76	59	77.63
apma1241	Ap Ma	Keram	Papunesia	126	62	48	77.42
crim1257	Crimean Tatar	Turkic	Eurasia	179	75	58	77.33
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	75	58	77.33
para1311	Paraguayan Guaraní	Tupian	South America	54	22	17	77.27
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	35	27	77.14
siam1242	Siamou		Africa	134	65	50	76.92
kova1243	Kovai	Nuclear Trans New Guinea	Papunesia	88	43	33	76.74
