Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mudu1239	Muduga	Dravidian	Eurasia	161	158	142	89.87
korr1238	Korra Koraga	Dravidian	Eurasia	133	131	117	89.31
kada1242	Kadar	Dravidian	Eurasia	156	154	137	88.96
muth1236	Muthuvan	Dravidian	Eurasia	143	142	126	88.73
mala1463	Malavedan	Dravidian	Eurasia	163	162	142	87.65
tulu1258	Tulu	Dravidian	Eurasia	163	162	140	86.42
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	147	126	85.71
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	128	109	85.16
mari1414	Maria (India)	Dravidian	Eurasia	119	118	100	84.75
nucl1305	Kannada	Dravidian	Eurasia	191	188	159	84.57
tami1289	Tamil	Dravidian	Eurasia	195	192	162	84.38
koya1251	Koya	Dravidian	Eurasia	137	134	113	84.33
saur1249	Sauria Paharia	Dravidian	Eurasia	179	176	148	84.09
kota1263	Kota (India)	Dravidian	Eurasia	158	156	131	83.97
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	160	134	83.75
kalm1243	Oirad-Kalmyk-Darkhat	Mongolic-Khitan	Eurasia	165	164	137	83.54
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	169	141	83.43
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
peng1244	Pengo	Dravidian	Eurasia	171	168	140	83.33
budu1248	Budukh	Nakh-Daghestanian	Eurasia	158	155	129	83.23
bada1257	Badaga	Dravidian	Eurasia	127	125	104	83.2
chen1255	Chenchu	Dravidian	Eurasia	180	177	147	83.05
nort2697	North Azerbaijani	Turkic	Eurasia	188	186	154	82.8
tuvi1240	Tuvinian	Turkic	Eurasia	154	154	127	82.47
hrus1242	Hruso		Eurasia	89	89	73	82.02
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	161	132	81.99
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	111	91	81.98
negi1245	Negidal	Tungusic	Eurasia	160	159	130	81.76
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	162	132	81.48
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	124	101	81.45
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	166	135	81.33
gamo1243	Gamo	Ta-Ne-Omotic	Africa	183	181	147	81.22
mill1237	Millcayac	Huarpean	South America	122	122	99	81.15
shol1240	Sholaga	Dravidian	Eurasia	172	169	137	81.07
toda1252	Toda	Dravidian	Eurasia	139	137	111	81.02
garo1247	Garo	Sino-Tibetan	Eurasia	164	163	132	80.98
cent2126	Central Okinawan	Japonic	Eurasia	153	152	123	80.92
crim1257	Crimean Tatar	Turkic	Eurasia	179	178	144	80.9
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	73	59	80.82
orok1265	Orok	Tungusic	Eurasia	151	151	122	80.79
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	88	71	80.68
bash1264	Bashkir	Turkic	Eurasia	161	160	129	80.62
oroc1248	Oroch	Tungusic	Eurasia	162	160	129	80.62
tama1331	Tama (Chad)	Tamaic	Africa	139	139	112	80.58
bona1250	Bonan	Mongolic-Khitan	Eurasia	171	169	136	80.47
turk1304	Turkmen	Turkic	Eurasia	181	179	144	80.45
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	97	78	80.41
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	183	147	80.33
siaw1243	Siawi	Amto-Musan	Papunesia	123	122	98	80.33
shor1247	Shor	Turkic	Eurasia	175	172	138	80.23
brah1256	Brahui	Dravidian	Eurasia	151	150	120	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
koda1255	Kodava	Dravidian	Eurasia	182	180	144	80
yaey1239	Yaeyama	Japonic	Eurasia	155	155	124	80
alab1254	Alaba-K'abeena	Afro-Asiatic	Africa	192	189	151	79.89
khak1248	Khakas	Turkic	Eurasia	170	169	135	79.88
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	84	67	79.76
ulch1241	Ulch	Tungusic	Eurasia	164	163	130	79.75
yona1241	Yonaguni	Japonic	Eurasia	164	163	130	79.75
toto1302	Toto	Sino-Tibetan	Eurasia	155	152	121	79.61
samo1303	Samo	East Strickland	Papunesia	44	44	35	79.55
guru1261	Gurung	Sino-Tibetan	Eurasia	174	171	136	79.53
niha1238	Nihali		Eurasia	164	161	128	79.5
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	156	124	79.49
nucl1643	Japanese	Japonic	Eurasia	193	190	151	79.47
kach1284	Kachama-Ganjule-Haro	Ta-Ne-Omotic	Africa	188	185	147	79.46
maru1252	Marúbo	Pano-Tacanan	South America	126	126	100	79.37
dura1244	Dura	Sino-Tibetan	Eurasia	171	169	134	79.29
cald1236	Calderón Highland Quichua	Quechuan	South America	155	154	122	79.22
duru1236	Duruwa	Dravidian	Eurasia	121	120	95	79.17
wutu1241	Wutunhua	Sino-Tibetan	Eurasia	195	192	152	79.17
bats1242	Bats	Nakh-Daghestanian	Eurasia	148	148	117	79.05
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	100	79	79
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	166	131	78.92
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	147	116	78.91
etru1241	Etruscan		Eurasia	130	128	101	78.91
kunz1244	Kunza		South America	72	71	56	78.87
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	175	138	78.86
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	170	134	78.82
wira1265	Wirangu	Pama-Nyungan	Australia	66	66	52	78.79
papa1268	Papar	Austronesian	Papunesia	47	47	37	78.72
siri1274	Siriano	Tucanoan	South America	122	122	96	78.69
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	164	129	78.66
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	178	140	78.65
dizi1235	Dizin	Dizoid	Africa	57	56	44	78.57
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	149	117	78.52
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	158	124	78.48
wola1242	Wolaytta	Ta-Ne-Omotic	Africa	193	190	149	78.42
ghod1238	Godoberi	Nakh-Daghestanian	Eurasia	165	162	127	78.4
even1259	Evenki	Tungusic	Eurasia	158	157	123	78.34
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	184	144	78.26
