Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
cypr1248	Cypriot Arabic	Afro-Asiatic	Eurasia	142	141	129	91.49
hebr1245	Modern Hebrew	Afro-Asiatic	Eurasia	167	166	142	85.54
stan1318	Standard Arabic	Afro-Asiatic	Eurasia	167	166	141	84.94
baha1259	Baharna Arabic	Afro-Asiatic	Eurasia	147	146	124	84.93
gulf1241	Gulf Arabic	Afro-Asiatic	Eurasia	154	154	130	84.42
hass1238	Hassaniyya	Afro-Asiatic	Africa	142	141	119	84.4
egyp1253	Egyptian Arabic	Afro-Asiatic	Africa	166	165	139	84.24
liby1240	Libyan Arabic	Afro-Asiatic	Africa	167	166	138	83.13
chad1249	Chadian Arabic	Afro-Asiatic	Africa	146	146	121	82.88
nort3139	North Levantine Arabic	Afro-Asiatic	Eurasia	163	163	135	82.82
anci1244	Ancient Hebrew	Afro-Asiatic	Eurasia	182	165	134	81.21
ukra1253	Ukrainian	Indo-European	Eurasia	171	170	138	81.18
ndam1251	Ndam	Afro-Asiatic	Africa	41	35	28	80
nucl1706	Neo-Mandaic	Afro-Asiatic	Eurasia	159	158	126	79.75
mlah1239	Mlahsô	Afro-Asiatic	Eurasia	117	98	78	79.59
east2690	Eastern Egyptian Bedawi Arabic	Afro-Asiatic	Eurasia	147	130	103	79.23
ugar1238	Ugaritic	Afro-Asiatic	Eurasia	168	148	117	79.05
siwi1239	Siwi	Afro-Asiatic	Africa	168	167	132	79.04
sana1295	Sanaani Arabic	Afro-Asiatic	Eurasia	163	162	128	79.01
arom1237	Aromanian	Indo-European	Eurasia	165	147	116	78.91
bata1285	Batanga	Atlantic-Congo	Africa	113	103	81	78.64
mode1248	Modern Greek	Indo-European	Eurasia	195	173	136	78.61
gali1258	Galician	Indo-European	Eurasia	192	171	134	78.36
phoe1239	Phoenician	Afro-Asiatic	Eurasia	153	134	105	78.36
puni1241	Punic	Afro-Asiatic	Africa	153	134	105	78.36
port1283	Portuguese	Indo-European	Eurasia	192	170	133	78.24
akka1240	Akkadian	Afro-Asiatic	Eurasia	167	151	118	78.15
jita1239	Jita	Atlantic-Congo	Africa	75	73	57	78.08
tosk1239	Northern Tosk Albanian	Indo-European	Eurasia	180	159	124	77.99
lomb1257	Lombard	Indo-European	Eurasia	190	168	131	77.98
wels1247	Welsh	Indo-European	Eurasia	173	154	120	77.92
piap1246	Piapoco	Arawakan	South America	59	54	42	77.78
west2386	Western Panjabi	Indo-European	Eurasia	150	134	104	77.61
czec1258	Czech	Indo-European	Eurasia	191	169	131	77.51
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	75	58	77.33
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	60	46	76.67
occi1239	Occitan	Indo-European	Eurasia	187	166	127	76.51
sout1528	Serbian-Croatian-Bosnian	Indo-European	Eurasia	187	166	127	76.51
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	55	42	76.36
camp1261	Campidanese Sardinian	Indo-European	Eurasia	181	159	121	76.1
sici1248	Sicilian	Indo-European	Eurasia	179	159	121	76.1
latv1249	Latvian	Indo-European	Eurasia	184	163	124	76.07
ital1282	Italian	Indo-European	Eurasia	193	171	130	76.02
lumb1249	Lumbu	Atlantic-Congo	Africa	146	129	98	75.97
sham1280	Shambala	Atlantic-Congo	Africa	118	104	79	75.96
boht1238	Gardabani Bohtan Neo-Aramaic	Afro-Asiatic	Eurasia	166	145	110	75.86
stan1290	French	Indo-European	Eurasia	195	173	131	75.72
tien1242	Tiene	Atlantic-Congo	Africa	126	111	84	75.68
cors1241	Corsican	Indo-European	Eurasia	179	160	121	75.62
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	110	83	75.45
stan1289	Catalan	Indo-European	Eurasia	193	171	129	75.44
nort2864	Wemale	Austronesian	Papunesia	76	69	52	75.36
cent1972	Central Kurdish	Indo-European	Eurasia	15	8	6	75
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	6	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
mamm1241	Mam	Mayan	North America	179	158	118	74.68
xhos1239	Xhosa	Atlantic-Congo	Africa	141	126	94	74.6
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	102	76	74.51
liki1240	Balobo	Atlantic-Congo	Africa	99	98	73	74.49
loba1239	Lobala	Atlantic-Congo	Africa	98	98	73	74.49
gheg1238	Gheg Albanian	Indo-European	Eurasia	188	167	124	74.25
giiw1236	Giiwo	Afro-Asiatic	Africa	70	62	46	74.19
ngom1268	Ngombe (Democratic Republic of Congo)	Atlantic-Congo	Africa	121	120	89	74.17
miga1249	Migaama	Afro-Asiatic	Africa	104	89	66	74.16
icel1247	Icelandic	Indo-European	Eurasia	184	162	120	74.07
west2763	Western Neo-Aramaic	Afro-Asiatic	Eurasia	149	131	97	74.05
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	104	77	74.04
iris1253	Irish	Indo-European	Eurasia	189	169	125	73.96
beng1282	Benga	Atlantic-Congo	Africa	132	119	88	73.95
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	65	48	73.85
bret1244	Breton	Indo-European	Eurasia	189	168	124	73.81
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	122	90	73.77
taya1257	Tayart Tamajeq	Afro-Asiatic	Africa	161	160	118	73.75
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	156	115	73.72
lese1243	Lese	Central Sudanic	Africa	150	133	98	73.68
slov1268	Slovenian	Indo-European	Eurasia	192	171	126	73.68
veps1250	Veps	Uralic	Eurasia	188	167	123	73.65
bush1247	Bushoong	Atlantic-Congo	Africa	184	163	120	73.62
ghad1239	Ghadames	Afro-Asiatic	Africa	160	159	117	73.58
bamw1238	Bamwe	Atlantic-Congo	Africa	102	102	75	73.53
maba1270	Mabaale	Atlantic-Congo	Africa	118	117	86	73.5
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	113	83	73.45
lith1251	Lithuanian	Indo-European	Eurasia	191	169	124	73.37
bang1354	Bobangi	Atlantic-Congo	Africa	151	150	110	73.33
zaca1241	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	Uto-Aztecan	North America	164	146	107	73.29
faro1244	Faroese	Indo-European	Eurasia	194	172	126	73.26
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	127	93	73.23
wila1240	Wilawila	Worrorran	Australia	127	127	93	73.23
voti1245	Votic	Uralic	Eurasia	169	168	123	73.21
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	108	79	73.15
tari1263	Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	Afro-Asiatic	Africa	151	134	98	73.13
chal1275	Chaldean Neo-Aramaic	Afro-Asiatic	Eurasia	181	160	117	73.12
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	160	117	73.12
zand1248	Zande	Atlantic-Congo	Africa	118	115	84	73.04
lito1235	Litoka	Atlantic-Congo	Africa	97	96	70	72.92
mace1250	Macedonian	Indo-European	Eurasia	187	166	121	72.89
abip1241	Abipon	Guaicuruan	South America	129	118	86	72.88
yucu1253	Yucuna	Arawakan	South America	64	59	43	72.88
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	92	67	72.83
esto1258	Estonian	Uralic	Eurasia	195	173	126	72.83
finn1318	Finnish	Uralic	Eurasia	195	173	126	72.83
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	125	91	72.8
yaak1241	Yaaku	Afro-Asiatic	Africa	177	158	115	72.78
russ1263	Russian	Indo-European	Eurasia	193	172	125	72.67
wotu1240	Wotu	Austronesian	Papunesia	180	161	117	72.67
konz1239	Konzo	Atlantic-Congo	Africa	133	117	85	72.65
bela1254	Belarusian	Indo-European	Eurasia	190	168	122	72.62
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	113	82	72.57
tete1251	Tetelcingo Nahuatl	Uto-Aztecan	North America	173	153	111	72.55
zinz1238	Zinza	Atlantic-Congo	Africa	106	91	66	72.53
pula1262	Pular	Atlantic-Congo	Africa	134	131	95	72.52
swed1254	Swedish	Indo-European	Eurasia	182	160	116	72.5
chiq1248	Lomeriano-Ignaciano Chiquitano	Chiquitano	South America	166	149	108	72.48
narr1259	Narrinyeri	Pama-Nyungan	Australia	72	69	50	72.46
kuot1243	Kuot		Papunesia	174	156	113	72.44
saam1283	Saamia	Atlantic-Congo	Africa	134	116	84	72.41
koon1244	South-Central Koongo	Atlantic-Congo	Africa	153	152	110	72.37
mbol1247	Mbole	Atlantic-Congo	Africa	89	76	55	72.37
beel1236	Beele	Afro-Asiatic	Africa	52	47	34	72.34
nort2671	North Saami	Uralic	Eurasia	167	166	120	72.29
mbaa1245	Mba	Atlantic-Congo	Africa	137	119	86	72.27
toll1241	Tol	Jicaquean	North America	141	137	99	72.26
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	126	91	72.22
olde1238	Old English (ca. 450-1100)	Indo-European	Eurasia	191	169	122	72.19
saga1262	Sagalla	Atlantic-Congo	Africa	152	133	96	72.18
bili1260	Bilin	Afro-Asiatic	Africa	157	140	101	72.14
kala1384	Kalanga	Atlantic-Congo	Africa	164	147	106	72.11
mbal1255	Central Wambo	Atlantic-Congo	Africa	100	86	62	72.09
lega1249	Lega-Shabunda	Atlantic-Congo	Africa	153	136	98	72.06
