Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	23	20	86.96
cani1243	Canichana		South America	50	47	40	85.11
cuaa1241	Cua	Austroasiatic	Eurasia	8	6	5	83.33
homa1239	Homa	Atlantic-Congo	Africa	14	12	10	83.33
zinz1238	Zinza	Atlantic-Congo	Africa	106	96	80	83.33
peer1241	Peere	Atlantic-Congo	Africa	147	119	98	82.35
gaaa1245	Gaa	Atlantic-Congo	Africa	79	72	59	81.94
zand1248	Zande	Atlantic-Congo	Africa	118	97	79	81.44
gaam1241	Gaam	Eastern Jebel	Africa	83	75	61	81.33
budz1238	Budza	Atlantic-Congo	Africa	166	142	115	80.99
nand1266	Nandi	Nilotic	Africa	156	131	106	80.92
jiba1237	Jiba	Atlantic-Congo	Africa	120	109	88	80.73
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	140	113	80.71
lese1243	Lese	Central Sudanic	Africa	150	133	107	80.45
mans1260	Mansim	Hatam-Mansim	Papunesia	71	61	49	80.33
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	127	102	80.31
kung1259	Kungarakany		Australia	82	71	57	80.28
luok1236	Luo (Kenya and Tanzania)	Nilotic	Africa	185	147	118	80.27
bera1262	Berau Malay	Austronesian	Papunesia	11	10	8	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
makw1236	Makwe	Atlantic-Congo	Africa	86	74	59	79.73
kari1306	Kari	Atlantic-Congo	Africa	76	69	55	79.71
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	78	62	79.49
ibib1240	Ibibio	Atlantic-Congo	Africa	140	121	96	79.34
keng1240	Kenga	Central Sudanic	Africa	124	106	84	79.25
bush1247	Bushoong	Atlantic-Congo	Africa	184	149	118	79.19
gwen1239	Gweno	Atlantic-Congo	Africa	135	115	91	79.13
jita1239	Jita	Atlantic-Congo	Africa	75	67	53	79.1
umot1240	Umotína	Bororoan	South America	73	67	53	79.1
toor1238	Tooro	Atlantic-Congo	Africa	184	148	117	79.05
zulu1248	Zulu	Atlantic-Congo	Africa	42	38	30	78.95
mamv1243	Mamvu	Central Sudanic	Africa	136	118	93	78.81
sham1280	Shambala	Atlantic-Congo	Africa	118	99	78	78.79
akei1237	Akei	Austronesian	Papunesia	122	113	89	78.76
kips1239	Kipsigis	Nilotic	Africa	156	127	100	78.74
osam1235	Osamayi	Atlantic-Congo	Africa	105	94	74	78.72
lika1243	Liko	Atlantic-Congo	Africa	165	131	103	78.63
ramo1244	Ramoaaina	Austronesian	Papunesia	52	42	33	78.57
kaon1241	Kaonde	Atlantic-Congo	Africa	120	107	84	78.5
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	74	58	78.38
koti1238	Koti	Atlantic-Congo	Africa	182	148	116	78.38
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	97	76	78.35
giry1241	Giryama	Atlantic-Congo	Africa	83	69	54	78.26
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	92	72	78.26
