Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	6	6	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	6	6	100
homa1239	Homa	Atlantic-Congo	Africa	14	8	8	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	3	3	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
tain1254	Taino	Arawakan	North America	4	3	3	100
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	11	11	100
tean1237	Teanu	Austronesian	Papunesia	147	69	66	95.65
tane1237	Tanema	Austronesian	Papunesia	154	68	65	95.59
monn1252	Mon	Austroasiatic	Eurasia	91	35	33	94.29
vano1237	Lovono	Austronesian	Papunesia	146	65	61	93.85
mort1237	Mortlockese	Austronesian	Papunesia	141	60	56	93.33
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	57	53	92.98
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	56	52	92.86
hote1245	Hote	Austronesian	Papunesia	162	68	63	92.65
sapu1248	Sapuan	Austroasiatic	Eurasia	152	67	62	92.54
matb1237	Matbat	Austronesian	Papunesia	154	66	61	92.42
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	65	60	92.31
sooo1254	Sô	Austroasiatic	Eurasia	176	65	60	92.31
west2650	Western Cham	Austronesian	Eurasia	151	65	60	92.31
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	71	65	91.55
woii1237	Woi	Austronesian	Papunesia	191	71	65	91.55
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	59	54	91.53
tido1248	Tidore	North Halmahera	Papunesia	96	35	32	91.43
hata1243	Hatam	Hatam-Mansim	Papunesia	96	34	31	91.18
oldm1242	Old Mon	Austroasiatic	Eurasia	171	68	62	91.18
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	56	51	91.07
lamo1244	Lamogai	Austronesian	Papunesia	135	67	61	91.04
ware1253	Warembori	Austronesian	Papunesia	170	67	61	91.04
east2440	East Makian	Austronesian	Papunesia	95	33	30	90.91
kimm1246	Kim	Atlantic-Congo	Africa	129	55	50	90.91
lach1248	Lachi	Tai-Kadai	Eurasia	167	66	60	90.91
ling1263	Kinshasa Lingala	Atlantic-Congo	Africa	75	33	30	90.91
ngal1296	Ngala-Santandrea	Atlantic-Congo	Africa	67	33	30	90.91
midd1327	Middle Watut	Austronesian	Papunesia	140	65	59	90.77
labo1244	Ninde	Austronesian	Papunesia	122	62	56	90.32
ling1265	Neverver	Austronesian	Papunesia	157	62	56	90.32
belu1239	Belueli	Atlantic-Congo	Africa	73	41	37	90.24
