Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
bouy1240	Bouyei	Tai-Kadai	Eurasia	95	87	83	95.4
thai1261	Thai	Tai-Kadai	Eurasia	101	93	87	93.55
lave1249	Brao	Austroasiatic	Eurasia	122	59	55	93.22
yinc1238	Yinchia	Austroasiatic	Eurasia	65	37	34	91.89
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	36	33	91.67
yong1276	Yongbei Zhuang	Tai-Kadai	Eurasia	101	92	84	91.3
laoo1244	Lao	Tai-Kadai	Eurasia	99	91	83	91.21
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	89	81	91.01
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	21	19	90.48
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	89	80	89.89
aito1238	Aiton	Tai-Kadai	Eurasia	102	94	84	89.36
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	80	71	88.75
bahn1262	Bahnar	Austroasiatic	Eurasia	117	53	47	88.68
golo1234	Golo	Atlantic-Congo	Africa	82	44	39	88.64
sapu1248	Sapuan	Austroasiatic	Eurasia	152	77	68	88.31
caom1238	Cao Miao	Tai-Kadai	Eurasia	183	85	75	88.24
east2332	Eastern Bru	Austroasiatic	Eurasia	134	68	60	88.24
blan1242	Blang	Austroasiatic	Eurasia	159	76	67	88.16
hlai1239	Hlai	Tai-Kadai	Eurasia	99	91	80	87.91
chra1242	Chrau	Austroasiatic	Eurasia	166	82	72	87.8
shwe1236	Shwe Palaung	Austroasiatic	Eurasia	167	90	79	87.78
beli1260	Belize Kriol English	Indo-European	North America	130	73	64	87.67
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	8	7	87.5
tsat1238	Tsat	Austronesian	Eurasia	183	87	76	87.36
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	79	69	87.34
hyam1245	Hyam	Atlantic-Congo	Africa	93	47	41	87.23
west2650	Western Cham	Austronesian	Eurasia	151	78	68	87.18
phak1238	Phake	Tai-Kadai	Eurasia	101	93	81	87.1
azha1235	Azha	Sino-Tibetan	Eurasia	151	77	67	87.01
hala1252	Halang	Austroasiatic	Eurasia	82	46	40	86.96
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	92	80	86.96
west2397	Western Bru	Austroasiatic	Eurasia	157	69	60	86.96
shee1238	She	Hmong-Mien	Eurasia	162	84	73	86.9
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	83	72	86.75
haro1237	Haroi	Austronesian	Eurasia	95	52	45	86.54
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	87	75	86.21
huuu1240	Hu	Austroasiatic	Eurasia	175	87	75	86.21
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	92	79	85.87
lach1248	Lachi	Tai-Kadai	Eurasia	167	84	72	85.71
mans1260	Mansim	Hatam-Mansim	Papunesia	71	35	30	85.71
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	90	77	85.56
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	76	65	85.53
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	89	76	85.39
noku1237	Nokuku	Austronesian	Papunesia	156	75	64	85.33
east1236	Eastern Katu	Austroasiatic	Eurasia	106	61	52	85.25
boly1239	Bolyu	Austroasiatic	Eurasia	166	87	74	85.06
busa1253	Busa	Mande	Africa	171	80	68	85
nort2684	Northern Khmer	Austroasiatic	Eurasia	191	93	79	84.95
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	93	79	84.95
