Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	97	85	87.63
konk1267	Konkan Marathi	Indo-European	Eurasia	180	177	155	87.57
daha1245	Dahalo	Afro-Asiatic	Africa	46	46	39	84.78
kash1277	Kashmiri	Indo-European	Eurasia	184	182	154	84.62
duru1236	Duruwa	Dravidian	Eurasia	121	120	101	84.17
bund1253	Bundeli	Indo-European	Eurasia	173	170	143	84.12
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	147	123	83.67
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	169	141	83.43
mait1250	Maithili	Indo-European	Eurasia	180	177	147	83.05
muth1236	Muthuvan	Dravidian	Eurasia	143	140	116	82.86
mari1414	Maria (India)	Dravidian	Eurasia	119	118	97	82.2
doma1260	Domaaki	Indo-European	Eurasia	144	140	115	82.14
tulu1258	Tulu	Dravidian	Eurasia	163	159	130	81.76
korr1238	Korra Koraga	Dravidian	Eurasia	133	130	106	81.54
dara1250	Darai	Indo-European	Eurasia	178	175	142	81.14
mudu1239	Muduga	Dravidian	Eurasia	161	157	127	80.89
dizi1235	Dizin	Dizoid	Africa	57	57	46	80.7
even1259	Evenki	Tungusic	Eurasia	158	154	124	80.52
even1260	Even	Tungusic	Eurasia	141	137	110	80.29
kada1242	Kadar	Dravidian	Eurasia	156	152	122	80.26
benc1235	Bench	Ta-Ne-Omotic	Africa	82	81	65	80.25
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	12	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
koya1251	Koya	Dravidian	Eurasia	137	135	108	80
panj1256	Eastern Panjabi	Indo-European	Eurasia	195	190	152	80
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	75	60	80
shol1240	Sholaga	Dravidian	Eurasia	172	167	133	79.64
toda1252	Toda	Dravidian	Eurasia	139	137	109	79.56
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	88	70	79.55
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	83	66	79.52
mala1463	Malavedan	Dravidian	Eurasia	163	159	126	79.25
oriy1255	Odia	Indo-European	Eurasia	193	189	149	78.84
awad1243	Awadhi	Indo-European	Eurasia	173	170	134	78.82
kota1263	Kota (India)	Dravidian	Eurasia	158	155	122	78.71
bats1242	Bats	Nakh-Daghestanian	Eurasia	148	145	114	78.62
melo1242	Melo	Ta-Ne-Omotic	Africa	163	159	125	78.62
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	172	135	78.49
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	181	142	78.45
dime1235	Dime	South Omotic	Africa	52	51	40	78.43
dand1238	Dandami Maria	Dravidian	Eurasia	161	157	123	78.34
telu1262	Telugu	Dravidian	Eurasia	127	124	97	78.23
west2386	Western Panjabi	Indo-European	Eurasia	150	147	115	78.23
bada1257	Badaga	Dravidian	Eurasia	127	126	98	77.78
chen1255	Chenchu	Dravidian	Eurasia	180	175	136	77.71
cald1236	Calderón Highland Quichua	Quechuan	South America	155	152	118	77.63
nucl1305	Kannada	Dravidian	Eurasia	191	186	144	77.42
tami1289	Tamil	Dravidian	Eurasia	195	190	147	77.37
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	172	133	77.33
raji1240	Raji	Sino-Tibetan	Eurasia	153	150	116	77.33
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	145	112	77.24
ghod1238	Godoberi	Nakh-Daghestanian	Eurasia	165	162	125	77.16
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	153	118	77.12
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	166	128	77.11
khva1239	Khwarshi-Inkhoqwari	Nakh-Daghestanian	Eurasia	169	166	128	77.11
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	144	111	77.08
nort2697	North Azerbaijani	Turkic	Eurasia	188	183	141	77.05
mala1464	Malayalam	Dravidian	Eurasia	192	187	144	77.01
bili1260	Bilin	Afro-Asiatic	Africa	157	152	117	76.97
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	168	129	76.79
caml1239	Camling	Sino-Tibetan	Eurasia	170	168	129	76.79
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	142	109	76.76
asur1254	Asuri	Austroasiatic	Eurasia	149	146	112	76.71
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	137	105	76.64
ulch1241	Ulch	Tungusic	Eurasia	164	162	124	76.54
beel1236	Beele	Afro-Asiatic	Africa	52	51	39	76.47
skol1241	Skolt Saami	Uralic	Eurasia	192	187	143	76.47
nucl1706	Neo-Mandaic	Afro-Asiatic	Eurasia	159	157	120	76.43
komi1270	Kom (India)	Sino-Tibetan	Eurasia	168	165	126	76.36
cham1309	Chamalal	Nakh-Daghestanian	Eurasia	159	156	119	76.28
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	139	106	76.26
east2545	Eastern Pomo	Pomoan	North America	163	160	122	76.25
bezh1248	Bezhta	Nakh-Daghestanian	Eurasia	158	155	118	76.13
bahi1252	Bahing	Sino-Tibetan	Eurasia	161	159	121	76.1
xamt1239	Xamtanga	Afro-Asiatic	Africa	189	184	140	76.09
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	142	108	76.06
koor1239	Koorete	Ta-Ne-Omotic	Africa	175	170	129	75.88
lamb1269	Lambadi	Indo-European	Eurasia	155	153	116	75.82
nucl1302	Georgian	Kartvelian	Eurasia	191	186	141	75.81
negi1245	Negidal	Tungusic	Eurasia	160	156	118	75.64
nepa1254	Nepali	Indo-European	Eurasia	162	160	121	75.62
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	127	96	75.59
than1259	Thangmi	Sino-Tibetan	Eurasia	177	172	130	75.58
char1269	Chara	Ta-Ne-Omotic	Africa	149	147	111	75.51
saur1249	Sauria Paharia	Dravidian	Eurasia	179	175	132	75.43
nara1262	Nara		Africa	132	130	98	75.38
moch1259	Mochica		South America	139	138	104	75.36
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	158	119	75.32
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	166	125	75.3
kuvi1243	Kuvi	Dravidian	Eurasia	103	101	76	75.25
