Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	151	135	89.4
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	8	88.89
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	104	92	88.46
hrus1242	Hruso		Eurasia	89	81	71	87.65
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	109	95	87.16
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	146	127	86.99
maru1252	Marúbo	Pano-Tacanan	South America	126	105	91	86.67
poya1241	Poyanáwa	Pano-Tacanan	South America	50	45	39	86.67
dizi1235	Dizin	Dizoid	Africa	57	52	45	86.54
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	99	85	85.86
chot1239	Chothe	Sino-Tibetan	Eurasia	176	148	127	85.81
mara1396	Mararit	Tamaic	Africa	92	84	72	85.71
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	111	95	85.59
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	69	59	85.51
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	89	76	85.39
yuki1243	Northern Yukian	Yuki-Wappo	North America	175	149	127	85.23
mala1463	Malavedan	Dravidian	Eurasia	163	140	119	85
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	140	119	85
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	119	101	84.87
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	136	115	84.56
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	122	103	84.43
cogu1240	Cogui	Chibchan	South America	141	121	102	84.3
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	112	94	83.93
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	93	78	83.87
cald1236	Calderón Highland Quichua	Quechuan	South America	155	136	114	83.82
pano1255	Panobo	Pano-Tacanan	South America	163	142	119	83.8
