Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mota1237	Mota	Austronesian	Papunesia	107	55	50	90.91
rovi1238	Roviana	Austronesian	Papunesia	161	82	74	90.24
mori1269	Mori Atas	Austronesian	Papunesia	105	61	55	90.16
bera1262	Berau Malay	Austronesian	Papunesia	11	10	9	90
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	10	9	90
obom1235	Obo Manobo	Austronesian	Papunesia	54	38	34	89.47
boli1256	Bolinao	Austronesian	Papunesia	60	37	33	89.19
kamb1299	Kambera	Austronesian	Papunesia	175	83	74	89.16
ughe1237	Ughele	Austronesian	Papunesia	182	83	74	89.16
lotu1250	Lotud	Austronesian	Papunesia	132	73	65	89.04
simb1256	Simbo	Austronesian	Papunesia	95	62	55	88.71
oroh1237	Oroha	Austronesian	Papunesia	118	69	61	88.41
cham1312	Chamorro	Austronesian	Papunesia	188	84	74	88.1
rapa1245	Mangaia-Old Rapa	Austronesian	Papunesia	193	84	74	88.1
iran1262	Iranun	Austronesian	Papunesia	138	75	66	88
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	75	66	88
lauu1247	Lau	Austronesian	Papunesia	141	74	65	87.84
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	74	65	87.84
ghar1239	Ghari	Austronesian	Papunesia	151	82	72	87.8
kwar1239	Kwara'ae	Austronesian	Papunesia	186	82	72	87.8
bata1289	Batak Toba	Austronesian	Papunesia	168	81	71	87.65
cani1243	Canichana		South America	50	39	34	87.18
long1395	Longgu	Austronesian	Papunesia	151	78	68	87.18
renn1242	Rennell-Bellona	Austronesian	Papunesia	166	76	66	86.84
atay1247	Atayal	Austronesian	Papunesia	129	68	59	86.76
hoav1238	Hoava	Austronesian	Papunesia	176	83	72	86.75
kusa1251	Kusaghe-Njela	Austronesian	Papunesia	177	83	72	86.75
woli1241	Wolio	Austronesian	Papunesia	182	83	72	86.75
gela1263	Gela	Austronesian	Papunesia	181	82	71	86.59
tomb1244	Tombonuo	Austronesian	Papunesia	136	74	64	86.49
timu1262	Timugon Murut	Austronesian	Papunesia	153	79	68	86.08
maor1246	Maori	Austronesian	Papunesia	191	84	72	85.71
neng1238	Nengone	Austronesian	Papunesia	169	83	71	85.54
bugh1239	Bughotu	Austronesian	Papunesia	131	76	65	85.53
taga1272	Tagabawa	Austronesian	Papunesia	161	76	65	85.53
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	62	53	85.48
nort2994	Northern Roglai	Austronesian	Eurasia	90	55	47	85.45
hawa1245	Hawaiian	Austronesian	Papunesia	181	82	70	85.37
rung1259	Rungus	Austronesian	Papunesia	137	75	64	85.33
suru1261	Suruí Do Pará	Tupian	South America	68	34	29	85.29
