Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	4	4	100
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	10	10	100
poya1241	Poyanáwa	Pano-Tacanan	South America	50	43	39	90.7
arab1267	Arabana	Pama-Nyungan	Australia	62	49	44	89.8
guri1248	Guriaso		Papunesia	24	18	16	88.89
suru1262	Suruí	Tupian	South America	18	17	15	88.24
siaw1243	Siawi	Amto-Musan	Papunesia	123	90	79	87.78
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	48	42	87.5
shan1283	Shanenawa	Pano-Tacanan	South America	171	121	105	86.78
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	105	91	86.67
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	75	65	86.67
wira1265	Wirangu	Pama-Nyungan	Australia	66	52	45	86.54
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	88	76	86.36
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	91	78	85.71
kunz1244	Kunza		South America	72	56	48	85.71
omii1238	Omi	Central Sudanic	Africa	18	14	12	85.71
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	90	76	84.44
walm1241	Walmajarri	Pama-Nyungan	Australia	57	45	38	84.44
chac1249	Cha'palaa	Barbacoan	South America	91	64	54	84.38
hrus1242	Hruso		Eurasia	89	64	54	84.38
yora1241	Yora	Pano-Tacanan	South America	129	96	81	84.38
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	99	83	83.84
pano1255	Panobo	Pano-Tacanan	South America	163	117	98	83.76
maqu1238	Ye'kwana	Cariban	South America	56	43	36	83.72
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	98	82	83.67
amah1246	Amahuaca	Pano-Tacanan	South America	153	116	97	83.62
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	67	56	83.58
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	114	95	83.33
nkor1239	Nkoroo	Ijoid	Africa	54	36	30	83.33
yami1256	Yaminahua	Pano-Tacanan	South America	182	125	104	83.2
