Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	3	3	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	27	25	92.59
mono1270	Mono (Democratic Republic of Congo)	Atlantic-Congo	Africa	149	141	124	87.94
mund1326	Mündü	Atlantic-Congo	Africa	120	114	100	87.72
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	8	7	87.5
mban1263	Mbandja	Atlantic-Congo	Africa	162	152	133	87.5
kimm1246	Kim	Atlantic-Congo	Africa	129	110	96	87.27
mans1260	Mansim	Hatam-Mansim	Papunesia	71	69	60	86.96
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	130	112	86.15
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	114	98	85.96
tibe1274	Tibea	Atlantic-Congo	Africa	95	84	72	85.71
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	149	127	85.23
gobu1238	Gobu	Atlantic-Congo	Africa	141	127	108	85.04
haro1237	Haroi	Austronesian	Eurasia	95	86	73	84.88
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	140	118	84.29
bolg1251	Bolgo	Atlantic-Congo	Africa	78	76	64	84.21
naro1251	Narom	Austronesian	Papunesia	132	120	101	84.17
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	56	47	83.93
golo1234	Golo	Atlantic-Congo	Africa	82	68	57	83.82
yako1252	Yakoma	Atlantic-Congo	Africa	143	134	112	83.58
monz1249	Monzombo	Atlantic-Congo	Africa	119	103	86	83.5
nati1244	Nati	Austronesian	Papunesia	127	121	101	83.47
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	132	110	83.33
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
kute1248	Kutep	Atlantic-Congo	Africa	163	138	115	83.33
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	131	109	83.21
hyam1245	Hyam	Atlantic-Congo	Africa	93	89	74	83.15
ahom1240	Ahom	Tai-Kadai	Eurasia	178	153	127	83.01
ndog1248	Ndogo	Atlantic-Congo	Africa	177	153	127	83.01
cent2314	Central Chong	Austroasiatic	Eurasia	187	160	132	82.5
tane1237	Tanema	Austronesian	Papunesia	154	135	111	82.22
nort2994	Northern Roglai	Austronesian	Eurasia	90	84	69	82.14
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	140	115	82.14
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	100	82	82
aoua1234	A'ou	Tai-Kadai	Eurasia	187	161	132	81.99
tean1237	Teanu	Austronesian	Papunesia	147	133	109	81.95
band1344	Banda-Bambari	Atlantic-Congo	Africa	176	155	127	81.94
berb1259	Berbice Creole Dutch	Indo-European	South America	170	144	118	81.94
lach1248	Lachi	Tai-Kadai	Eurasia	167	144	118	81.94
liji1238	Lijili	Atlantic-Congo	Africa	180	155	127	81.94
laoo1244	Lao	Tai-Kadai	Eurasia	99	94	77	81.91
lund1271	Lundayeh	Austronesian	Papunesia	141	127	104	81.89
caom1238	Cao Miao	Tai-Kadai	Eurasia	183	160	131	81.88
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
jara1266	Jarai	Austronesian	Eurasia	156	143	117	81.82
khmu1256	Khmu	Austroasiatic	Eurasia	167	148	121	81.76
belu1239	Belueli	Atlantic-Congo	Africa	73	71	58	81.69
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	131	107	81.68
biha1246	Bih	Austronesian	Eurasia	182	162	132	81.48
bini1246	Bini	Atlantic-Congo	Africa	177	151	123	81.46
esan1238	Esan	Atlantic-Congo	Africa	123	107	87	81.31
lave1249	Brao	Austroasiatic	Eurasia	122	107	87	81.31
uuuu1243	U	Austroasiatic	Eurasia	139	128	104	81.25
ngam1268	Ngambay	Central Sudanic	Africa	156	133	108	81.2
gese1240	Geser-Gorom	Austronesian	Papunesia	69	53	43	81.13
kaba1281	Kaba	Central Sudanic	Africa	166	143	116	81.12
vano1237	Lovono	Austronesian	Papunesia	146	127	103	81.1
alor1247	Alorese	Austronesian	Papunesia	168	153	124	81.05
west2650	Western Cham	Austronesian	Eurasia	151	137	111	81.02
hrus1242	Hruso		Eurasia	89	79	64	81.01
sooo1254	Sô	Austroasiatic	Eurasia	176	152	123	80.92
gbay1278	Gbayi	Atlantic-Congo	Africa	58	47	38	80.85
keng1240	Kenga	Central Sudanic	Africa	124	109	88	80.73
hoaa1235	Amkoe	Kxa	Africa	193	166	134	80.72
cakf1236	Cakfem-Mushere-Jibyal	Afro-Asiatic	Africa	173	150	121	80.67
huuu1240	Hu	Austroasiatic	Eurasia	175	150	121	80.67
buga1247	Bugan	Austroasiatic	Eurasia	190	165	133	80.61
sapu1248	Sapuan	Austroasiatic	Eurasia	152	134	108	80.6
bela1256	Belanda Bor	Nilotic	Africa	76	72	58	80.56
tomb1244	Tombonuo	Austronesian	Papunesia	136	123	99	80.49
ngul1236	Nguluwan	Austronesian	Papunesia	56	56	45	80.36
bekw1241	Bekwarra	Atlantic-Congo	Africa	157	142	114	80.28
shee1238	She	Hmong-Mien	Eurasia	162	142	114	80.28
