Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	9	9	100
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	4	4	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
mund1326	Mündü	Atlantic-Congo	Africa	120	112	106	94.64
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	25	23	92
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	130	118	90.77
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	128	116	90.62
yako1252	Yakoma	Atlantic-Congo	Africa	143	127	114	89.76
monz1249	Monzombo	Atlantic-Congo	Africa	119	103	92	89.32
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	113	100	88.5
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	26	23	88.46
gbay1278	Gbayi	Atlantic-Congo	Africa	58	49	43	87.76
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	114	100	87.72
mayo1261	Mayogo	Atlantic-Congo	Africa	168	152	133	87.5
bolg1251	Bolgo	Atlantic-Congo	Africa	78	77	67	87.01
golo1234	Golo	Atlantic-Congo	Africa	82	69	60	86.96
khmu1256	Khmu	Austroasiatic	Eurasia	167	145	126	86.9
band1344	Banda-Bambari	Atlantic-Congo	Africa	176	152	132	86.84
tibe1274	Tibea	Atlantic-Congo	Africa	95	82	71	86.59
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	96	83	86.46
jurm1239	Jur Modo	Central Sudanic	Africa	159	136	117	86.03
adze1240	Adzera	Austronesian	Papunesia	158	135	116	85.93
lach1248	Lachi	Tai-Kadai	Eurasia	167	141	121	85.82
tera1251	Tera	Afro-Asiatic	Africa	152	133	114	85.71
kimm1246	Kim	Atlantic-Congo	Africa	129	111	95	85.59
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	143	122	85.31
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	147	125	85.03
aoua1234	A'ou	Tai-Kadai	Eurasia	187	160	136	85
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	146	124	84.93
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	45	84.91
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	152	129	84.87
mans1260	Mansim	Hatam-Mansim	Papunesia	71	66	56	84.85
siku1242	Sikule	Austronesian	Papunesia	140	117	99	84.62
sooo1254	Sô	Austroasiatic	Eurasia	176	149	126	84.56
gobu1238	Gobu	Atlantic-Congo	Africa	141	123	104	84.55
sout2782	South Fali	Atlantic-Congo	Africa	177	148	125	84.46
buga1247	Bugan	Austroasiatic	Eurasia	190	160	135	84.38
ngal1296	Ngala-Santandrea	Atlantic-Congo	Africa	67	64	54	84.38
haro1237	Haroi	Austronesian	Eurasia	95	83	70	84.34
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	102	86	84.31
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	114	96	84.21
blan1242	Blang	Austroasiatic	Eurasia	159	133	112	84.21
ndog1248	Ndogo	Atlantic-Congo	Africa	177	152	128	84.21
shee1238	She	Hmong-Mien	Eurasia	162	139	117	84.17
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	126	106	84.13
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	113	95	84.07
liji1238	Lijili	Atlantic-Congo	Africa	180	149	125	83.89
ahom1240	Ahom	Tai-Kadai	Eurasia	178	148	124	83.78
naro1251	Narom	Austronesian	Papunesia	132	117	98	83.76
sapu1248	Sapuan	Austroasiatic	Eurasia	152	129	108	83.72
anuf1239	Anufo	Atlantic-Congo	Africa	162	141	118	83.69
alor1247	Alorese	Austronesian	Papunesia	168	147	123	83.67
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	116	97	83.62
zulg1242	Zulgo-Gemzek	Afro-Asiatic	Africa	133	116	97	83.62
mbaa1245	Mba	Atlantic-Congo	Africa	137	128	107	83.59
tane1237	Tanema	Austronesian	Papunesia	154	134	112	83.58
adon1237	Adonara	Austronesian	Papunesia	165	140	117	83.57
berb1259	Berbice Creole Dutch	Indo-European	South America	170	140	117	83.57
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	152	127	83.55
oroh1237	Oroha	Austronesian	Papunesia	118	109	91	83.49
bini1246	Bini	Atlantic-Congo	Africa	177	145	121	83.45
biha1246	Bih	Austronesian	Eurasia	182	156	130	83.33
west2650	Western Cham	Austronesian	Eurasia	151	132	110	83.33
hoaa1235	Amkoe	Kxa	Africa	193	161	134	83.23
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	143	119	83.22
tomb1244	Tombonuo	Austronesian	Papunesia	136	119	99	83.19
reng1252	Rengao	Austroasiatic	Eurasia	172	154	128	83.12
east2332	Eastern Bru	Austroasiatic	Eurasia	134	112	93	83.04
gese1240	Geser-Gorom	Austronesian	Papunesia	69	53	44	83.02
huba1236	Huba	Afro-Asiatic	Africa	151	141	117	82.98
hote1245	Hote	Austronesian	Papunesia	162	135	112	82.96
baha1260	Bahamas Creole English	Indo-European	North America	103	88	73	82.95
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	129	107	82.95
caom1238	Cao Miao	Tai-Kadai	Eurasia	183	152	126	82.89
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	152	126	82.89
huuu1240	Hu	Austroasiatic	Eurasia	175	146	121	82.88
hala1252	Halang	Austroasiatic	Eurasia	82	64	53	82.81
moke1242	Moken	Austronesian	Eurasia	171	145	120	82.76
kaba1281	Kaba	Central Sudanic	Africa	166	139	115	82.73
kens1248	Kensiu	Austroasiatic	Eurasia	164	139	115	82.73
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	133	110	82.71
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	156	129	82.69
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	52	43	82.69
vure1239	Vurës	Austronesian	Papunesia	194	161	133	82.61
keoo1238	Kéo	Austronesian	Papunesia	187	155	128	82.58
naue1237	Nauete	Austronesian	Papunesia	183	155	128	82.58
phai1238	Prai	Austroasiatic	Eurasia	186	155	128	82.58
yinc1238	Yinchia	Austroasiatic	Eurasia	65	63	52	82.54
lave1249	Brao	Austroasiatic	Eurasia	122	103	85	82.52
leme1238	Lemerig	Austronesian	Papunesia	164	143	118	82.52
lugb1240	Lugbara	Central Sudanic	Africa	165	143	118	82.52
hrus1242	Hruso		Eurasia	89	80	66	82.5
bagi1246	Bagirmi	Central Sudanic	Africa	167	137	113	82.48
rere1240	Rerep	Austronesian	Papunesia	147	137	113	82.48
tang1347	Movono	Austronesian	Papunesia	159	137	113	82.48
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	114	94	82.46
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	131	108	82.44
ngas1240	Ngas	Afro-Asiatic	Africa	176	148	122	82.43
oldm1242	Old Mon	Austroasiatic	Eurasia	171	148	122	82.43
lund1271	Lundayeh	Austronesian	Papunesia	141	125	103	82.4
lara1260	Larantuka Malay	Austronesian	Papunesia	169	142	117	82.39
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	142	117	82.39
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	159	131	82.39
papu1250	Papuan Malay	Austronesian	Papunesia	191	159	131	82.39
west2396	Western Lawa	Austroasiatic	Eurasia	190	159	131	82.39
lave1248	Laven	Austroasiatic	Eurasia	180	153	126	82.35
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	130	107	82.31
mina1276	Mina (Cameroon)	Afro-Asiatic	Africa	185	152	125	82.24
hyam1245	Hyam	Atlantic-Congo	Africa	93	90	74	82.22
ping1243	Pingelapese	Austronesian	Papunesia	152	129	106	82.17
tief1242	Tiefo-Daramandugu	Atlantic-Congo	Africa	177	151	124	82.12
abun1252	Abun		Papunesia	195	162	133	82.1
cent2314	Central Chong	Austroasiatic	Eurasia	187	156	128	82.05
bekw1241	Bekwarra	Atlantic-Congo	Africa	157	139	114	82.01
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	161	132	81.99
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	133	109	81.95
para1301	South Wa	Austroasiatic	Eurasia	185	155	127	81.94
molo1266	Moloko	Afro-Asiatic	Africa	109	94	77	81.91
lamo1244	Lamogai	Austronesian	Papunesia	135	116	95	81.9
tean1237	Teanu	Austronesian	Papunesia	147	127	104	81.89
mono1270	Mono (Democratic Republic of Congo)	Atlantic-Congo	Africa	149	138	113	81.88
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	160	131	81.88
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	154	126	81.82
nati1244	Nati	Austronesian	Papunesia	127	121	99	81.82
bang1369	Bangru	Sino-Tibetan	Eurasia	151	126	103	81.75
nyam1285	Nyam	Afro-Asiatic	Africa	160	137	112	81.75
dard1243	Dar Daju Daju	Dajuic	Africa	93	93	76	81.72
thai1261	Thai	Tai-Kadai	Eurasia	101	93	76	81.72
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	153	125	81.7
west2397	Western Bru	Austroasiatic	Eurasia	157	131	107	81.68
iban1264	Iban	Austronesian	Papunesia	188	158	129	81.65
emae1237	Emae	Austronesian	Papunesia	156	136	111	81.62
nawu1242	Nawuri	Atlantic-Congo	Africa	182	152	124	81.58
papa1268	Papar	Austronesian	Papunesia	47	38	31	81.58
piji1239	Pijin	Indo-European	Papunesia	154	141	115	81.56
bahn1262	Bahnar	Austroasiatic	Eurasia	117	103	84	81.55
uuuu1243	U	Austroasiatic	Eurasia	139	130	106	81.54
fonn1241	Fon	Atlantic-Congo	Africa	189	157	128	81.53
nucl1417	Igbo	Atlantic-Congo	Africa	188	157	128	81.53
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	119	97	81.51
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	162	132	81.48
musg1254	Musgu	Afro-Asiatic	Africa	118	108	88	81.48
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	162	132	81.48
arop1243	Arop-Lokep	Austronesian	Papunesia	161	140	114	81.43
bobo1255	Bobongko	Austronesian	Papunesia	73	70	57	81.43
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	140	114	81.43
ngam1268	Ngambay	Central Sudanic	Africa	156	129	105	81.4
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	161	131	81.37
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	161	131	81.37
miju1243	Kman	Sino-Tibetan	Eurasia	192	161	131	81.37
koho1244	Koho	Austroasiatic	Eurasia	182	150	122	81.33
bong1285	Bongo	Central Sudanic	Africa	146	123	100	81.3
reja1241	Rejang Kayan	Austronesian	Papunesia	140	123	100	81.3
amar1272	Amara	Austronesian	Papunesia	148	128	104	81.25
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	128	104	81.25
tigo1236	Tigon Mbembe	Atlantic-Congo	Africa	173	144	117	81.25
