Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	8	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	13	12	92.31
ndam1251	Ndam	Afro-Asiatic	Africa	41	39	33	84.62
beel1236	Beele	Afro-Asiatic	Africa	52	51	43	84.31
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	135	113	83.7
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
budu1265	Buduma	Afro-Asiatic	Africa	137	119	99	83.19
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	120	99	82.5
monz1249	Monzombo	Atlantic-Congo	Africa	119	102	84	82.35
maza1304	Mazagway	Afro-Asiatic	Africa	182	152	125	82.24
tera1251	Tera	Afro-Asiatic	Africa	152	135	111	82.22
samb1305	Samba Leko	Atlantic-Congo	Africa	172	146	120	82.19
sout2782	South Fali	Atlantic-Congo	Africa	177	144	118	81.94
mund1326	Mündü	Atlantic-Congo	Africa	120	105	86	81.9
gobu1238	Gobu	Atlantic-Congo	Africa	141	110	90	81.82
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	109	89	81.65
humb1243	Humburi Senni Songhay	Songhay	Africa	167	135	110	81.48
mwag1236	Mwaghavul	Afro-Asiatic	Africa	192	156	127	81.41
nort3047	North Giziga	Afro-Asiatic	Africa	176	152	123	80.92
kera1255	Kera	Afro-Asiatic	Africa	178	151	122	80.79
mina1276	Mina (Cameroon)	Afro-Asiatic	Africa	185	150	121	80.67
sioo1240	Sio	Austronesian	Papunesia	175	150	121	80.67
giiw1236	Giiwo	Afro-Asiatic	Africa	70	67	54	80.6
keng1240	Kenga	Central Sudanic	Africa	124	108	87	80.56
adon1237	Adonara	Austronesian	Papunesia	165	141	113	80.14
bagi1246	Bagirmi	Central Sudanic	Africa	167	135	108	80
geru1240	Geruma	Afro-Asiatic	Africa	66	65	52	80
golo1234	Golo	Atlantic-Congo	Africa	82	70	56	80
molo1266	Moloko	Afro-Asiatic	Africa	109	95	76	80
pele1245	Pele-Ata		Papunesia	51	45	36	80
lara1260	Larantuka Malay	Austronesian	Papunesia	169	139	111	79.86
ndog1248	Ndogo	Atlantic-Congo	Africa	177	148	118	79.73
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	51	79.69
koyr1240	Koyra Chiini Songhay	Songhay	Africa	169	136	108	79.41
huba1236	Huba	Afro-Asiatic	Africa	151	126	100	79.37
mids1243	Mid-Southern Banda	Atlantic-Congo	Africa	123	101	80	79.21
yako1252	Yakoma	Atlantic-Congo	Africa	143	125	99	79.2
marg1265	Marghi Central	Afro-Asiatic	Africa	184	153	121	79.08
urip1239	Uripiv-Wala-Rano-Atchin	Austronesian	Papunesia	188	153	121	79.08
hano1246	Hano	Austronesian	Papunesia	183	148	117	79.05
wand1278	Wandala	Afro-Asiatic	Africa	188	152	120	78.95
kolb1240	Kolbila	Atlantic-Congo	Africa	178	147	116	78.91
ajas1235	Aja (South Sudan)	Kresh-Aja	Africa	130	109	86	78.9
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	118	93	78.81
cakf1236	Cakfem-Mushere-Jibyal	Afro-Asiatic	Africa	173	146	115	78.77
monn1252	Mon	Austroasiatic	Eurasia	91	80	63	78.75
dera1248	Dera (Nigeria)	Afro-Asiatic	Africa	178	150	118	78.67
lama1277	Lamaholot	Austronesian	Papunesia	182	150	118	78.67
maku1277	Maku'a	Austronesian	Papunesia	29	28	22	78.57
kaba1281	Kaba	Central Sudanic	Africa	166	135	106	78.52
kimm1246	Kim	Atlantic-Congo	Africa	129	107	84	78.5
buwa1243	Buwal	Afro-Asiatic	Africa	191	153	120	78.43
gbay1278	Gbayi	Atlantic-Congo	Africa	58	51	40	78.43
lach1248	Lachi	Tai-Kadai	Eurasia	167	139	109	78.42
sout2895	South Nuaulu	Austronesian	Papunesia	158	134	105	78.36
maee1241	Tirax	Austronesian	Papunesia	188	157	123	78.34
ngam1268	Ngambay	Central Sudanic	Africa	156	129	101	78.29
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	129	101	78.29
umot1240	Umotína	Bororoan	South America	73	69	54	78.26
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	147	115	78.23
waja1257	Wajarri	Pama-Nyungan	Australia	65	55	43	78.18
mota1237	Mota	Austronesian	Papunesia	107	87	68	78.16
fonn1241	Fon	Atlantic-Congo	Africa	189	151	118	78.15
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	128	100	78.12
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	155	121	78.06
sasa1249	Sasak	Austronesian	Papunesia	150	123	96	78.05
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	150	117	78
nubi1253	Nubi	Afro-Asiatic	Africa	168	136	106	77.94
vinm1237	Neve'ei	Austronesian	Papunesia	143	122	95	77.87
west2650	Western Cham	Austronesian	Eurasia	151	131	102	77.86
bara1370	Baram Kayan	Austronesian	Papunesia	143	117	91	77.78
stan1306	Standard Malay	Austronesian	Eurasia	190	153	119	77.78
abun1252	Abun		Papunesia	195	157	122	77.71
sooo1254	Sô	Austroasiatic	Eurasia	176	148	115	77.7
