Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	154	141	91.56
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
osam1235	Osamayi	Atlantic-Congo	Africa	105	98	88	89.8
orok1266	Oroko	Atlantic-Congo	Africa	139	130	116	89.23
nyan1307	Nyankole	Atlantic-Congo	Africa	185	155	138	89.03
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	141	125	88.65
thar1283	Tharaka	Atlantic-Congo	Africa	101	88	78	88.64
bafi1243	Bafia	Atlantic-Congo	Africa	173	153	135	88.24
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	142	125	88.03
gusi1247	Gusii	Atlantic-Congo	Africa	173	149	131	87.92
lika1243	Liko	Atlantic-Congo	Africa	165	139	122	87.77
akoo1248	Akoose	Atlantic-Congo	Africa	185	155	136	87.74
koti1238	Koti	Atlantic-Congo	Africa	182	155	136	87.74
soga1242	Soga	Atlantic-Congo	Africa	181	155	136	87.74
koon1245	Koonzime	Atlantic-Congo	Africa	133	121	106	87.6
bush1247	Bushoong	Atlantic-Congo	Africa	184	153	134	87.58
vunj1238	Vunjo	Atlantic-Congo	Africa	165	143	125	87.41
zinz1238	Zinza	Atlantic-Congo	Africa	106	94	82	87.23
maba1270	Mabaale	Atlantic-Congo	Africa	118	108	94	87.04
mwan1247	Mwani	Atlantic-Congo	Africa	157	138	120	86.96
budz1238	Budza	Atlantic-Congo	Africa	166	151	131	86.75
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	127	110	86.61
bamw1238	Bamwe	Atlantic-Congo	Africa	102	97	84	86.6
toor1238	Tooro	Atlantic-Congo	Africa	184	156	135	86.54
konz1239	Konzo	Atlantic-Congo	Africa	133	125	108	86.4
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	147	127	86.39
liki1240	Balobo	Atlantic-Congo	Africa	99	95	82	86.32
sham1280	Shambala	Atlantic-Congo	Africa	118	102	88	86.27
ndob1238	Ndobo	Atlantic-Congo	Africa	85	80	69	86.25
luya1241	Luyi	Atlantic-Congo	Africa	172	152	131	86.18
bond1247	Bondei	Atlantic-Congo	Africa	151	137	118	86.13
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	144	124	86.11
belu1239	Belueli	Atlantic-Congo	Africa	73	70	60	85.71
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	7	6	85.71
suba1238	Suba	Atlantic-Congo	Africa	111	105	90	85.71
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	83	71	85.54
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	76	65	85.53
nyor1246	Nyoro	Atlantic-Congo	Africa	180	152	130	85.53
meru1245	Meru	Atlantic-Congo	Africa	162	142	121	85.21
mbug1242	Mbugwe	Atlantic-Congo	Africa	117	101	86	85.15
libi1244	Libinza	Atlantic-Congo	Africa	134	121	103	85.12
elip1238	Elip	Atlantic-Congo	Africa	111	107	91	85.05
gwen1239	Gweno	Atlantic-Congo	Africa	135	120	102	85
beem1239	Beembe	Atlantic-Congo	Africa	144	126	107	84.92
pagi1243	Pagibete	Atlantic-Congo	Africa	170	151	128	84.77
mako1251	Makonde	Atlantic-Congo	Africa	164	150	127	84.67
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	26	22	84.62
bila1255	Bila	Atlantic-Congo	Africa	134	122	103	84.43
nila1242	Nilamba	Atlantic-Congo	Africa	162	141	119	84.4
tswa1255	Tswa	Atlantic-Congo	Africa	162	141	119	84.4
zulu1248	Zulu	Atlantic-Congo	Africa	42	38	32	84.21
haaa1252	Ha	Atlantic-Congo	Africa	187	158	133	84.18
jita1239	Jita	Atlantic-Congo	Africa	75	69	58	84.06
zamb1245	Zamba	Atlantic-Congo	Africa	152	138	116	84.06
bomb1262	Bomboma	Atlantic-Congo	Africa	119	112	94	83.93
swah1253	Swahili	Atlantic-Congo	Africa	178	149	125	83.89
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	31	26	83.87
kala1384	Kalanga	Atlantic-Congo	Africa	164	148	124	83.78
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	141	118	83.69
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	141	118	83.69
