Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	10	9	90
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
lamo1244	Lamogai	Austronesian	Papunesia	135	133	118	88.72
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	137	121	88.32
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
ngul1236	Nguluwan	Austronesian	Papunesia	56	56	49	87.5
bari1286	Bariai	Austronesian	Papunesia	176	171	148	86.55
mera1242	Meramera	Austronesian	Papunesia	54	51	44	86.27
labo1244	Ninde	Austronesian	Papunesia	122	121	104	85.95
aros1241	Arosi	Austronesian	Papunesia	141	139	119	85.61
lusi1240	Lusi	Austronesian	Papunesia	144	140	119	85
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	150	127	84.67
kove1237	Kove	Austronesian	Papunesia	180	173	146	84.39
ajie1238	Ajië	Austronesian	Papunesia	149	146	123	84.25
ramo1244	Ramoaaina	Austronesian	Papunesia	52	50	42	84
lote1237	Lote	Austronesian	Papunesia	178	169	141	83.43
sioo1240	Sio	Austronesian	Papunesia	175	167	139	83.23
mudu1242	Muduapa	Austronesian	Papunesia	186	178	148	83.15
wala1266	Wala	Austronesian	Papunesia	150	148	123	83.11
mans1260	Mansim	Hatam-Mansim	Papunesia	71	70	58	82.86
tiga1245	Tigak	Austronesian	Papunesia	171	168	139	82.74
jurm1239	Jur Modo	Central Sudanic	Africa	159	149	123	82.55
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	148	122	82.43
tung1290	Tungag	Austronesian	Papunesia	178	170	140	82.35
avok1242	Avokaya	Central Sudanic	Africa	122	118	97	82.2
tean1237	Teanu	Austronesian	Papunesia	147	146	120	82.19
tolo1255	Tolomako	Austronesian	Papunesia	120	117	96	82.05
kaul1240	Kaulong	Austronesian	Papunesia	90	88	72	81.82
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	131	107	81.68
hano1246	Hano	Austronesian	Papunesia	183	173	141	81.5
amar1272	Amara	Austronesian	Papunesia	148	145	118	81.38
whit1269	Whitesands	Austronesian	Papunesia	167	159	129	81.13
arop1243	Arop-Lokep	Austronesian	Papunesia	161	153	124	81.05
oroh1237	Oroha	Austronesian	Papunesia	118	116	94	81.03
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	158	128	81.01
lauu1247	Lau	Austronesian	Papunesia	141	136	110	80.88
meng1267	Mengen	Austronesian	Papunesia	98	94	76	80.85
muso1238	Musom	Austronesian	Papunesia	150	146	118	80.82
kair1263	Kairiru	Austronesian	Papunesia	73	72	58	80.56
gaaa1245	Gaa	Atlantic-Congo	Africa	79	77	62	80.52
mari1426	Sunwadia	Austronesian	Papunesia	167	159	128	80.5
saka1289	Wanohe	Austronesian	Papunesia	187	179	144	80.45
mort1237	Mortlockese	Austronesian	Papunesia	141	138	111	80.43
tane1237	Tanema	Austronesian	Papunesia	154	152	122	80.26
iwal1237	Iwal	Austronesian	Papunesia	134	131	105	80.15
mato1252	Mato	Austronesian	Papunesia	169	166	133	80.12
daka1243	Dakaka	Austronesian	Papunesia	187	176	141	80.11
arop1242	Arop-Sissano	Austronesian	Papunesia	164	160	128	80
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	85	68	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
vano1237	Lovono	Austronesian	Papunesia	146	144	115	79.86
furu1242	Furu	Central Sudanic	Africa	127	124	99	79.84
vinm1237	Neve'ei	Austronesian	Papunesia	143	138	110	79.71
taku1257	Takuu	Austronesian	Papunesia	168	162	129	79.63
muss1246	Mussau-Emira	Austronesian	Papunesia	90	88	70	79.55
mang1403	Mangseng	Austronesian	Papunesia	165	161	128	79.5
misi1243	Misima-Paneati	Austronesian	Papunesia	144	141	112	79.43
leme1238	Lemerig	Austronesian	Papunesia	164	160	127	79.38
neng1238	Nengone	Austronesian	Papunesia	169	164	130	79.27
alor1247	Alorese	Austronesian	Papunesia	168	159	126	79.25
adze1240	Adzera	Austronesian	Papunesia	158	149	118	79.19
akei1237	Akei	Austronesian	Papunesia	122	120	95	79.17
vure1239	Vurës	Austronesian	Papunesia	194	182	144	79.12
loni1238	Loniu	Austronesian	Papunesia	185	177	140	79.1
west2600	West Makian	North Halmahera	Papunesia	151	148	117	79.05
sude1239	Sudest	Austronesian	Papunesia	159	157	124	78.98
east2443	East Ambae	Austronesian	Papunesia	182	171	135	78.95
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	152	120	78.95
sika1261	Sikaiana	Austronesian	Papunesia	173	166	131	78.92
nang1262	Nanggu	Austronesian	Papunesia	162	161	127	78.88
gapa1238	Gapapaiwa	Austronesian	Papunesia	157	156	123	78.85
kren1239	Krenak	Nuclear-Macro-Je	South America	111	104	82	78.85
sata1237	Satawalese	Austronesian	Papunesia	140	137	108	78.83
teun1241	Te'un	Austronesian	Papunesia	53	51	40	78.43
yako1252	Yakoma	Atlantic-Congo	Africa	143	139	109	78.42
monn1252	Mon	Austroasiatic	Eurasia	91	88	69	78.41
karn1252	Karnai	Austronesian	Papunesia	142	134	105	78.36
kuan1248	Kuanua	Austronesian	Papunesia	174	166	130	78.31
sout2895	South Nuaulu	Austronesian	Papunesia	158	152	119	78.29
tutu1241	Tutuba	Austronesian	Papunesia	184	175	137	78.29
tali1259	Talise	Austronesian	Papunesia	142	138	108	78.26
buna1276	Bunama	Austronesian	Papunesia	125	124	97	78.23
surs1246	Sursurunga	Austronesian	Papunesia	159	156	122	78.21
lewo1242	Lewo	Austronesian	Papunesia	173	165	129	78.18
mono1273	Mono-Alu	Austronesian	Papunesia	111	110	86	78.18
saaa1240	Sa'a	Austronesian	Papunesia	145	142	111	78.17
madi1260	Ma'di	Central Sudanic	Africa	185	174	136	78.16
mani1235	Sougb	East Bird's Head	Papunesia	122	119	93	78.15
biak1248	Biak	Austronesian	Papunesia	100	96	75	78.12
pohn1238	Pohnpeian	Austronesian	Papunesia	182	173	135	78.03
iliu1237	Ili'uun	Austronesian	Papunesia	168	159	124	77.99
kwai1243	Kwaio	Austronesian	Papunesia	191	181	141	77.9
ghar1239	Ghari	Austronesian	Papunesia	151	149	116	77.85
hone1235	Hõne	Atlantic-Congo	Africa	177	167	130	77.84
kwar1239	Kwara'ae	Austronesian	Papunesia	186	176	137	77.84
iaai1238	Iaai	Austronesian	Papunesia	178	171	133	77.78
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	153	119	77.78
nama1268	Namakura	Austronesian	Papunesia	120	117	91	77.78
nyam1285	Nyam	Afro-Asiatic	Africa	160	153	119	77.78
mang1401	Mangareva	Austronesian	Papunesia	173	166	129	77.71
tetu1245	Tetum	Austronesian	Papunesia	87	85	66	77.65
pulu1242	Puluwatese	Austronesian	Papunesia	166	161	125	77.64
naue1237	Nauete	Austronesian	Papunesia	183	174	135	77.59
moki1238	Mokilese	Austronesian	Papunesia	171	165	128	77.58
aulu1238	Aulua	Austronesian	Papunesia	160	156	121	77.56
bagi1246	Bagirmi	Central Sudanic	Africa	167	156	121	77.56
rotu1241	Rotuman	Austronesian	Papunesia	163	156	121	77.56
buru1303	Buru (Indonesia)	Austronesian	Papunesia	102	98	76	77.55
long1395	Longgu	Austronesian	Papunesia	151	147	114	77.55
kara1486	Kara (Papua New Guinea)	Austronesian	Papunesia	177	169	131	77.51
rovi1238	Roviana	Austronesian	Papunesia	161	160	124	77.5
sout2869	Southwest Tanna	Austronesian	Papunesia	166	160	124	77.5
