Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	41	34	82.93
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	4	80
kobo1249	Kobon	Nuclear Trans New Guinea	Papunesia	96	87	69	79.31
ambu1247	Ambulas	Ndu	Papunesia	91	82	65	79.27
kalu1248	Kaluli	Bosavi	Papunesia	96	82	65	79.27
tain1253	Tainae	Angan	Papunesia	90	76	60	78.95
yess1239	Yessan-Mayo	Sepik	Papunesia	92	83	65	78.31
duna1248	Duna		Papunesia	91	82	64	78.05
cata1286	Catawba	Siouan	North America	125	59	46	77.97
anfi1235	Anfillo	Ta-Ne-Omotic	Africa	108	54	42	77.78
gant1244	Gants	Nuclear Trans New Guinea	Papunesia	164	81	63	77.78
zigu1244	Zigula-Mushungulu	Atlantic-Congo	Africa	54	27	21	77.78
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	49	38	77.55
wamb1259	Wambon	Nuclear Trans New Guinea	Papunesia	94	80	62	77.5
haru1245	Haruai	Piawi	Papunesia	178	79	61	77.22
toar1246	Toaripi	Eleman	Papunesia	186	83	64	77.11
midd1327	Middle Watut	Austronesian	Papunesia	140	65	50	76.92
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	78	60	76.92
kunj1245	Kunjen	Pama-Nyungan	Australia	163	77	59	76.62
nyun1247	Nyunga	Pama-Nyungan	Australia	26	17	13	76.47
bolg1251	Bolgo	Atlantic-Congo	Africa	78	42	32	76.19
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	63	48	76.19
weri1253	Weri	Goilalan	Papunesia	165	78	59	75.64
phom1236	Phom Naga	Sino-Tibetan	Eurasia	158	69	52	75.36
akha1245	Akha	Sino-Tibetan	Eurasia	159	73	55	75.34
buga1250	Bugawac	Austronesian	Papunesia	191	85	64	75.29
miju1243	Kman	Sino-Tibetan	Eurasia	192	85	64	75.29
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	4	3	75
goli1247	Golin	Nuclear Trans New Guinea	Papunesia	88	80	60	75
hang1263	Hanga Hundi	Ndu	Papunesia	161	80	60	75
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	60	45	75
mais1250	Maisin	Austronesian	Papunesia	176	84	63	75
mang1404	Mangga Buang	Austronesian	Papunesia	125	68	51	75
komb1274	Kombai	Nuclear Trans New Guinea	Papunesia	182	83	62	74.7
kris1246	I'saka	Sko	Papunesia	99	83	62	74.7
taki1248	Takia	Austronesian	Papunesia	93	83	62	74.7
abau1245	Abau	Sepik	Papunesia	88	79	59	74.68
yale1246	Yale		Papunesia	173	79	59	74.68
ngas1240	Ngas	Afro-Asiatic	Africa	176	75	56	74.67
lara1258	Laragia		Australia	108	59	44	74.58
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	82	61	74.39
payn1244	Manat	Nuclear Trans New Guinea	Papunesia	162	82	61	74.39
qawa1238	Qawasqar	Kawesqar	South America	164	82	61	74.39
lule1238	Lule		South America	146	70	52	74.29
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	31	23	74.19
sich1238	Sichuan Yi	Sino-Tibetan	Eurasia	189	85	63	74.12
bimi1240	Bimin	Nuclear Trans New Guinea	Papunesia	172	81	60	74.07
jiba1237	Jiba	Atlantic-Congo	Africa	120	54	40	74.07
bang1369	Bangru	Sino-Tibetan	Eurasia	151	61	45	73.77
gogo1265	Gogodala	Suki-Gogodala	Papunesia	166	80	59	73.75
rawa1267	Rawa	Nuclear Trans New Guinea	Papunesia	89	80	59	73.75
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	80	59	73.75
nami1256	Namia	Sepik	Papunesia	85	76	56	73.68
iyoo1238	Iyo	Nuclear Trans New Guinea	Papunesia	153	72	53	73.61
nucl1458	Monumbo	Bogia	Papunesia	161	72	53	73.61
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	60	44	73.33
umbu1235	Umbugarla		Australia	126	60	44	73.33
kama1367	Kamasau	Nuclear Torricelli	Papunesia	94	86	63	73.26
matu1261	Matukar	Austronesian	Papunesia	194	86	63	73.26
orok1267	Orokolo	Eleman	Papunesia	181	82	60	73.17
naba1256	Nabak	Nuclear Trans New Guinea	Papunesia	82	78	57	73.08
mehe1243	Mehek	Sepik	Papunesia	165	74	54	72.97
tibe1274	Tibea	Atlantic-Congo	Africa	95	37	27	72.97
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	85	62	72.94
mapo1242	Mapos Buang	Austronesian	Papunesia	173	85	62	72.94
azha1235	Azha	Sino-Tibetan	Eurasia	151	70	51	72.86
gale1259	Galela	North Halmahera	Papunesia	143	66	48	72.73
idum1241	Idu	Sino-Tibetan	Eurasia	151	66	48	72.73
labu1248	Labu	Austronesian	Papunesia	154	66	48	72.73
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	84	61	72.62
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	58	42	72.41
noct1238	Nocte Naga	Sino-Tibetan	Eurasia	195	87	63	72.41
nucl1630	Barai	Koiarian	Papunesia	168	76	55	72.37
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	18	13	72.22
mari1428	Marik	Austronesian	Papunesia	153	72	52	72.22
kuna1268	Kunama		Africa	165	79	57	72.15
sout2949	Southern Kiwai	Kiwaian	Papunesia	89	79	57	72.15
siro1249	Siroi	Nuclear Trans New Guinea	Papunesia	98	82	59	71.95
gese1240	Geser-Gorom	Austronesian	Papunesia	69	32	23	71.88
bura1267	Burarra	Maningrida	Australia	87	71	51	71.83
pate1247	Patep	Austronesian	Papunesia	142	71	51	71.83
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	78	56	71.79
iwal1237	Iwal	Austronesian	Papunesia	134	60	43	71.67
apma1241	Ap Ma	Keram	Papunesia	126	74	53	71.62
saba1268	Sabanê	Nambiquaran	South America	169	74	53	71.62
ubir1237	Ubir	Austronesian	Papunesia	149	74	53	71.62
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	81	58	71.6
alor1247	Alorese	Austronesian	Papunesia	168	81	58	71.6
fore1270	Fore	Nuclear Trans New Guinea	Papunesia	97	81	58	71.6
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	81	58	71.6
koit1244	Koitabu	Koiarian	Papunesia	168	77	55	71.43
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	77	55	71.43
iatm1242	Iatmul	Ndu	Papunesia	191	87	62	71.26
kora1294	Korafe-Yegha	Nuclear Trans New Guinea	Papunesia	96	87	62	71.26
tibe1272	Tibetan	Sino-Tibetan	Eurasia	194	87	62	71.26
guhu1244	Guhu-Samane	Nuclear Trans New Guinea	Papunesia	167	80	57	71.25
tief1242	Tiefo-Daramandugu	Atlantic-Congo	Africa	177	80	57	71.25
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	59	42	71.19
foii1241	Foi	East Kutubu	Papunesia	118	52	37	71.15
jama1261	Madi	Arawan	South America	170	83	59	71.08
louu1245	Lou	Austronesian	Papunesia	176	83	59	71.08
juho1239	South-Eastern Ju	Kxa	Africa	57	38	27	71.05
keme1240	Kemezung	Atlantic-Congo	Africa	135	62	44	70.97
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	31	22	70.97
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	31	22	70.97
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	86	61	70.93
maib1239	Maybrat-Karon		Papunesia	174	86	61	70.93
adze1240	Adzera	Austronesian	Papunesia	158	79	56	70.89
keap1239	Keapara	Austronesian	Papunesia	174	79	56	70.89
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	79	56	70.89
whit1269	Whitesands	Austronesian	Papunesia	167	79	56	70.89
misi1243	Misima-Paneati	Austronesian	Papunesia	144	72	51	70.83
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	48	34	70.83
apat1240	Apatani	Sino-Tibetan	Eurasia	170	75	53	70.67
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	75	53	70.67
east2379	Eastern Arrernte	Pama-Nyungan	Australia	93	51	36	70.59
jalk1242	Jalkunan	Mande	Africa	172	78	55	70.51
muso1238	Musom	Austronesian	Papunesia	150	78	55	70.51
