Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	8	100
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	65	51	78.46
temo1245	Temoaya Otomi	Otomanguean	North America	146	141	109	77.3
east2556	Eastern Highland Otomi	Otomanguean	North America	164	158	122	77.22
quer1236	Querétaro Otomi	Otomanguean	North America	184	174	133	76.44
ibib1240	Ibibio	Atlantic-Congo	Africa	140	136	103	75.74
abee1242	Abé	Atlantic-Congo	Africa	142	135	102	75.56
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	73	55	75.34
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	125	94	75.2
ines1240	Ineseño	Chumashan	North America	173	163	122	74.85
mbal1255	Central Wambo	Atlantic-Congo	Africa	100	98	73	74.49
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	96	71	73.96
dard1243	Dar Daju Daju	Dajuic	Africa	93	88	65	73.86
chip1241	Chippewa	Algic	North America	171	164	121	73.78
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	129	95	73.64
esee1247	Ese	Koiarian	Papunesia	75	72	53	73.61
achu1247	Achumawi	Palaihnihan	North America	106	102	75	73.53
mapu1245	Mapudungun	Araucanian	South America	190	181	133	73.48
nalo1235	Nalögo	Austronesian	Papunesia	33	33	24	72.73
xhos1239	Xhosa	Atlantic-Congo	Africa	141	135	98	72.59
magu1243	Maguindanao	Austronesian	Papunesia	129	124	90	72.58
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	91	66	72.53
remo1247	Hatang Kayi	Austronesian	Papunesia	135	127	92	72.44
bert1248	Berta		Africa	119	115	83	72.17
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	140	101	72.14
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	129	93	72.09
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	154	111	72.08
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	111	80	72.07
caro1242	Carolinian	Austronesian	Papunesia	154	150	108	72
gura1251	Gurani	Indo-European	Eurasia	128	124	89	71.77
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	131	94	71.76
mlah1239	Mlahsô	Afro-Asiatic	Eurasia	117	113	81	71.68
boli1256	Bolinao	Austronesian	Papunesia	60	60	43	71.67
elem1253	Eleme	Atlantic-Congo	Africa	140	134	96	71.64
bafi1243	Bafia	Atlantic-Congo	Africa	173	165	118	71.52
zaca1241	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	Uto-Aztecan	North America	164	158	113	71.52
czec1258	Czech	Indo-European	Eurasia	191	182	130	71.43
ilon1239	Ilongot	Austronesian	Papunesia	145	140	100	71.43
nort2671	North Saami	Uralic	Eurasia	167	157	112	71.34
iqui1243	Iquito	Zaparoan	South America	116	107	76	71.03
sici1248	Sicilian	Indo-European	Eurasia	179	169	120	71.01
