Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	7	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
mans1260	Mansim	Hatam-Mansim	Papunesia	71	65	59	90.77
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
tane1237	Tanema	Austronesian	Papunesia	154	121	108	89.26
vano1237	Lovono	Austronesian	Papunesia	146	117	104	88.89
tean1237	Teanu	Austronesian	Papunesia	147	118	104	88.14
lamo1244	Lamogai	Austronesian	Papunesia	135	118	103	87.29
iwal1237	Iwal	Austronesian	Papunesia	134	108	93	86.11
arib1241	Aribwatsa	Austronesian	Papunesia	121	107	92	85.98
avok1242	Avokaya	Central Sudanic	Africa	122	92	79	85.87
kuyy1240	Kuy	Austroasiatic	Eurasia	174	127	108	85.04
hote1245	Hote	Austronesian	Papunesia	162	120	102	85
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	120	102	85
ramo1244	Ramoaaina	Austronesian	Papunesia	52	40	34	85
bolg1251	Bolgo	Atlantic-Congo	Africa	78	73	62	84.93
lusi1240	Lusi	Austronesian	Papunesia	144	118	100	84.75
lewo1244	Lewotobi	Austronesian	Papunesia	189	137	116	84.67
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	116	98	84.48
labo1244	Ninde	Austronesian	Papunesia	122	102	86	84.31
labu1248	Labu	Austronesian	Papunesia	154	127	107	84.25
misi1243	Misima-Paneati	Austronesian	Papunesia	144	112	94	83.93
adze1240	Adzera	Austronesian	Papunesia	158	123	103	83.74
matb1237	Matbat	Austronesian	Papunesia	154	116	97	83.62
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	122	102	83.61
west2650	Western Cham	Austronesian	Eurasia	151	115	96	83.48
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	108	90	83.33
woii1237	Woi	Austronesian	Papunesia	191	138	115	83.33
kimm1246	Kim	Atlantic-Congo	Africa	129	101	84	83.17
asoa1238	Asoa	Central Sudanic	Africa	94	77	64	83.12
adon1237	Adonara	Austronesian	Papunesia	165	130	108	83.08
gese1240	Geser-Gorom	Austronesian	Papunesia	69	53	44	83.02
akei1237	Akei	Austronesian	Papunesia	122	100	83	83
whit1269	Whitesands	Austronesian	Papunesia	167	129	107	82.95
muso1238	Musom	Austronesian	Papunesia	150	123	102	82.93
gebe1237	Gebe	Austronesian	Papunesia	129	111	92	82.88
alor1247	Alorese	Austronesian	Papunesia	168	134	111	82.84
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	99	82	82.83
nort2864	Wemale	Austronesian	Papunesia	76	58	48	82.76
matu1261	Matukar	Austronesian	Papunesia	194	139	115	82.73
sioo1240	Sio	Austronesian	Papunesia	175	133	110	82.71
tami1290	Tami	Austronesian	Papunesia	120	98	81	82.65
lach1248	Lachi	Tai-Kadai	Eurasia	167	132	109	82.58
mala1479	Colloquial Malay	Austronesian	Eurasia	153	126	104	82.54
jurm1239	Jur Modo	Central Sudanic	Africa	159	114	94	82.46
iliu1237	Ili'uun	Austronesian	Papunesia	168	130	107	82.31
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	73	60	82.19
mort1237	Mortlockese	Austronesian	Papunesia	141	112	92	82.14
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	123	101	82.11
lote1237	Lote	Austronesian	Papunesia	178	134	110	82.09
kaba1281	Kaba	Central Sudanic	Africa	166	122	100	81.97
motu1246	Motu	Austronesian	Papunesia	160	122	100	81.97
