Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
bera1262	Berau Malay	Austronesian	Papunesia	11	11	10	90.91
lusi1240	Lusi	Austronesian	Papunesia	144	121	108	89.26
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	127	112	88.19
bari1286	Bariai	Austronesian	Papunesia	176	135	117	86.67
mans1260	Mansim	Hatam-Mansim	Papunesia	71	59	51	86.44
mono1273	Mono-Alu	Austronesian	Papunesia	111	96	81	84.38
lamo1244	Lamogai	Austronesian	Papunesia	135	108	91	84.26
lala1268	Lala	Austronesian	Papunesia	187	139	117	84.17
avok1242	Avokaya	Central Sudanic	Africa	122	101	85	84.16
midd1327	Middle Watut	Austronesian	Papunesia	140	112	94	83.93
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	111	93	83.78
kren1239	Krenak	Nuclear-Macro-Je	South America	111	85	71	83.53
sioo1240	Sio	Austronesian	Papunesia	175	133	111	83.46
kove1237	Kove	Austronesian	Papunesia	180	139	116	83.45
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
goro1270	Gorowa	Afro-Asiatic	Africa	13	6	5	83.33
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	30	25	83.33
aree1239	Are	Austronesian	Papunesia	157	124	103	83.06
tolo1255	Tolomako	Austronesian	Papunesia	120	106	88	83.02
cani1243	Canichana		South America	50	47	39	82.98
iama1237	Iamalele	Austronesian	Papunesia	107	82	68	82.93
guma1254	Gumawana	Austronesian	Papunesia	176	132	109	82.58
gapa1238	Gapapaiwa	Austronesian	Papunesia	157	126	104	82.54
motu1246	Motu	Austronesian	Papunesia	160	126	104	82.54
sude1239	Sudest	Austronesian	Papunesia	159	126	104	82.54
matu1261	Matukar	Austronesian	Papunesia	194	143	118	82.52
sina1266	Sinaugoro	Austronesian	Papunesia	192	143	118	82.52
akei1237	Akei	Austronesian	Papunesia	122	102	84	82.35
weda1241	Wedau	Austronesian	Papunesia	115	102	84	82.35
abad1241	Abadi	Austronesian	Papunesia	118	101	83	82.18
leti1246	Leti (Indonesia)	Austronesian	Papunesia	172	129	106	82.17
keap1239	Keapara	Austronesian	Papunesia	174	134	110	82.09
iwal1237	Iwal	Austronesian	Papunesia	134	105	86	81.9
oroh1237	Oroha	Austronesian	Papunesia	118	105	86	81.9
papa1265	Papapana	Austronesian	Papunesia	188	143	117	81.82
dobu1241	Dobu	Austronesian	Papunesia	174	131	107	81.68
muss1246	Mussau-Emira	Austronesian	Papunesia	90	76	62	81.58
amar1272	Amara	Austronesian	Papunesia	148	119	97	81.51
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	118	96	81.36
muyu1244	Muyuw	Austronesian	Papunesia	140	107	87	81.31
kolu1245	Koluwawa	Austronesian	Papunesia	163	123	100	81.3
kair1263	Kairiru	Austronesian	Papunesia	73	64	52	81.25
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	128	104	81.25
meng1267	Mengen	Austronesian	Papunesia	98	80	65	81.25
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	112	91	81.25
