Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
west2397	Western Bru	Austroasiatic	Eurasia	157	148	135	91.22
uuuu1243	U	Austroasiatic	Eurasia	139	135	122	90.37
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	145	131	90.34
oldm1242	Old Mon	Austroasiatic	Eurasia	171	160	144	90
keoo1238	Kéo	Austronesian	Papunesia	187	174	156	89.66
reng1252	Rengao	Austroasiatic	Eurasia	172	161	144	89.44
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	57	89.06
phon1246	Phong-Kniang	Austroasiatic	Eurasia	74	73	65	89.04
hala1252	Halang	Austroasiatic	Eurasia	82	78	69	88.46
biha1246	Bih	Austronesian	Eurasia	182	170	150	88.24
kens1248	Kensiu	Austroasiatic	Eurasia	164	161	142	88.2
lave1249	Brao	Austroasiatic	Eurasia	122	116	102	87.93
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	172	151	87.79
jehh1245	Jeh	Austroasiatic	Eurasia	139	130	114	87.69
east2485	Eastern Penan	Austronesian	Papunesia	147	138	121	87.68
sapu1248	Sapuan	Austroasiatic	Eurasia	152	146	128	87.67
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	181	158	87.29
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	181	158	87.29
kupa1239	Kupang Malay	Austronesian	Papunesia	168	163	142	87.12
hung1275	Hung	Austroasiatic	Eurasia	142	139	121	87.05
sooo1254	Sô	Austroasiatic	Eurasia	176	167	145	86.83
waim1252	Waima'a	Austronesian	Papunesia	144	136	118	86.76
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	113	98	86.73
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	179	155	86.59
naro1251	Narom	Austronesian	Papunesia	132	126	109	86.51
lara1260	Larantuka Malay	Austronesian	Papunesia	169	163	141	86.5
piji1239	Pijin	Indo-European	Papunesia	154	148	128	86.49
shee1238	She	Hmong-Mien	Eurasia	162	154	133	86.36
rade1240	Rade	Austronesian	Eurasia	167	160	138	86.25
haro1237	Haroi	Austronesian	Eurasia	95	87	75	86.21
monn1252	Mon	Austroasiatic	Eurasia	91	87	75	86.21
east1236	Eastern Katu	Austroasiatic	Eurasia	106	101	87	86.14
huuu1240	Hu	Austroasiatic	Eurasia	175	166	143	86.14
bara1370	Baram Kayan	Austronesian	Papunesia	143	137	118	86.13
anut1237	Anuta	Austronesian	Papunesia	153	144	124	86.11
buga1247	Bugan	Austroasiatic	Eurasia	190	179	154	86.03
nort2994	Northern Roglai	Austronesian	Eurasia	90	85	73	85.88
homa1239	Homa	Atlantic-Congo	Africa	14	14	12	85.71
phai1238	Prai	Austroasiatic	Eurasia	186	175	150	85.71
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	154	132	85.71
seda1262	Sedang	Austroasiatic	Eurasia	178	168	144	85.71
west2600	West Makian	North Halmahera	Papunesia	151	146	125	85.62
aheu1239	Thavung	Austroasiatic	Eurasia	192	180	154	85.56
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	173	148	85.55
mans1260	Mansim	Hatam-Mansim	Papunesia	71	69	59	85.51
lamo1244	Lamogai	Austronesian	Papunesia	135	131	112	85.5
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	55	47	85.45
mang1378	Mang	Austroasiatic	Eurasia	158	156	133	85.26
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	176	150	85.23
lund1271	Lundayeh	Austronesian	Papunesia	141	135	115	85.19
iliu1237	Ili'uun	Austronesian	Papunesia	168	155	132	85.16
lave1248	Laven	Austroasiatic	Eurasia	180	168	143	85.12
bang1369	Bangru	Sino-Tibetan	Eurasia	151	141	120	85.11
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	181	154	85.08
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	87	74	85.06
lotu1250	Lotud	Austronesian	Papunesia	132	127	108	85.04
west2650	Western Cham	Austronesian	Eurasia	151	147	125	85.03
lach1248	Lachi	Tai-Kadai	Eurasia	167	160	136	85
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	160	136	85
tiga1245	Tigak	Austronesian	Papunesia	171	166	141	84.94
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	73	62	84.93
east2332	Eastern Bru	Austroasiatic	Eurasia	134	126	107	84.92
paco1243	Pacoh	Austroasiatic	Eurasia	188	179	152	84.92
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	172	146	84.88
mokl1243	Moklen	Austronesian	Eurasia	181	172	146	84.88
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	132	112	84.85
leme1238	Lemerig	Austronesian	Papunesia	164	158	134	84.81
bitt1240	Bit	Austroasiatic	Eurasia	153	151	128	84.77
kuyy1240	Kuy	Austroasiatic	Eurasia	174	164	139	84.76
tali1259	Talise	Austronesian	Papunesia	142	137	116	84.67
tane1237	Tanema	Austronesian	Papunesia	154	150	127	84.67
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	176	149	84.66
oroh1237	Oroha	Austronesian	Papunesia	118	117	99	84.62
saba1263	Sabah Malay	Austronesian	Papunesia	182	169	143	84.62
tomb1244	Tombonuo	Austronesian	Papunesia	136	130	110	84.62
viet1252	Vietnamese	Austroasiatic	Eurasia	140	136	115	84.56
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	110	93	84.55
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	181	153	84.53
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	129	109	84.5
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	180	152	84.44
tong1308	Maniq	Austroasiatic	Eurasia	163	160	135	84.38
oldm1243	Old Malay	Austronesian	Papunesia	119	115	97	84.35
tokp1240	Tok Pisin	Indo-European	Papunesia	184	171	144	84.21
west2396	Western Lawa	Austroasiatic	Eurasia	190	177	149	84.18
limo1249	Limonese Creole	Indo-European	North America	143	139	117	84.17
khmu1256	Khmu	Austroasiatic	Eurasia	167	164	138	84.15
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	131	110	83.97
alor1247	Alorese	Austronesian	Papunesia	168	162	136	83.95
cent2314	Central Chong	Austroasiatic	Eurasia	187	174	146	83.91
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	180	151	83.89
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	62	52	83.87
maan1238	Ma'anyan	Austronesian	Papunesia	163	155	130	83.87
cent1992	Central Mnong	Austroasiatic	Eurasia	190	179	150	83.8
emae1237	Emae	Austronesian	Papunesia	156	148	124	83.78
obok1239	Obokuitai	Lakes Plain	Papunesia	157	148	124	83.78
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	172	144	83.72
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	135	113	83.7
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	159	133	83.65
naue1237	Nauete	Austronesian	Papunesia	183	171	143	83.63
aoua1234	A'ou	Tai-Kadai	Eurasia	187	177	148	83.62
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	164	137	83.54
manm1238	Man Met	Austroasiatic	Eurasia	150	145	121	83.45
bini1246	Bini	Atlantic-Congo	Africa	177	169	141	83.43
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	132	110	83.33
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	174	145	83.33
nali1244	Nalik	Austronesian	Papunesia	174	168	140	83.33
pate1247	Patep	Austronesian	Papunesia	142	132	110	83.33
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	174	145	83.33
rung1259	Rungus	Austronesian	Papunesia	137	132	110	83.33
ughe1237	Ughele	Austronesian	Papunesia	182	173	144	83.24
chas1234	Chashan	Sino-Tibetan	Eurasia	169	161	134	83.23
iran1262	Iranun	Austronesian	Papunesia	138	131	109	83.21
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	178	148	83.15
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	178	148	83.15
mpur1239	Mpur		Papunesia	185	172	143	83.14
adon1237	Adonara	Austronesian	Papunesia	165	160	133	83.12
bann1247	Bannoni	Austronesian	Papunesia	72	71	59	83.1
lewo1244	Lewotobi	Austronesian	Papunesia	189	177	147	83.05
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	147	122	82.99
kaur1267	Kaurna	Pama-Nyungan	Australia	48	47	39	82.98
nawu1242	Nawuri	Atlantic-Congo	Africa	182	170	141	82.94
jara1266	Jarai	Austronesian	Eurasia	156	146	121	82.88
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	181	150	82.87
east2447	East Futuna	Austronesian	Papunesia	187	175	145	82.86
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	140	116	82.86
yako1252	Yakoma	Atlantic-Congo	Africa	143	140	116	82.86
sika1261	Sikaiana	Austronesian	Papunesia	173	163	135	82.82
chra1242	Chrau	Austroasiatic	Eurasia	166	157	130	82.8
baba1267	Baba Malay	Austronesian	Eurasia	191	180	149	82.78
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	156	129	82.69
sana1297	San Andres Creole English	Indo-European	North America	168	156	129	82.69
kats1235	Katso	Sino-Tibetan	Eurasia	186	178	147	82.58
nort2684	Northern Khmer	Austroasiatic	Eurasia	191	178	147	82.58
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	155	128	82.58
surs1246	Sursurunga	Austronesian	Papunesia	159	155	128	82.58
tern1247	Ternate	North Halmahera	Papunesia	190	178	147	82.58
tean1237	Teanu	Austronesian	Papunesia	147	143	118	82.52
ahom1240	Ahom	Tai-Kadai	Eurasia	178	171	141	82.46
reja1241	Rejang Kayan	Austronesian	Papunesia	140	131	108	82.44
abun1252	Abun		Papunesia	195	182	150	82.42
dumb1241	Dumbea	Austronesian	Papunesia	173	165	136	82.42
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	182	150	82.42
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	142	117	82.39
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	176	145	82.39
vano1237	Lovono	Austronesian	Papunesia	146	142	117	82.39
cari1276	Caribbean Javanese	Austronesian	South America	97	96	79	82.29
mamb1306	Mambae	Austronesian	Papunesia	169	157	129	82.17
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	179	147	82.12
bolg1251	Bolgo	Atlantic-Congo	Africa	78	78	64	82.05
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	167	137	82.04
dhao1237	Dhao	Austronesian	Papunesia	189	178	146	82.02
papu1250	Papuan Malay	Austronesian	Papunesia	191	178	146	82.02
cani1243	Canichana		South America	50	50	41	82
karn1252	Karnai	Austronesian	Papunesia	142	133	109	81.95
ngas1240	Ngas	Afro-Asiatic	Africa	176	166	136	81.93
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	127	104	81.89
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	138	113	81.88
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	160	131	81.88
mala1479	Colloquial Malay	Austronesian	Eurasia	153	149	122	81.88
arak1252	Araki	Austronesian	Papunesia	194	182	149	81.87
tsat1238	Tsat	Austronesian	Eurasia	183	171	140	81.87
baha1260	Bahamas Creole English	Indo-European	North America	103	99	81	81.82
nort3047	North Giziga	Afro-Asiatic	Africa	176	165	135	81.82
samb1305	Samba Leko	Atlantic-Congo	Africa	172	164	134	81.71
azha1235	Azha	Sino-Tibetan	Eurasia	151	142	116	81.69
enuu1235	Enu	Sino-Tibetan	Eurasia	193	180	147	81.67
fonn1241	Fon	Atlantic-Congo	Africa	189	180	147	81.67
berb1259	Berbice Creole Dutch	Indo-European	South America	170	158	129	81.65
amar1272	Amara	Austronesian	Papunesia	148	141	115	81.56
basa1287	Basay	Austronesian	Papunesia	106	103	84	81.55
tuml1238	Tumleo	Austronesian	Papunesia	103	103	84	81.55
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	130	106	81.54
noku1237	Nokuku	Austronesian	Papunesia	156	151	123	81.46
west2548	West Damar	Austronesian	Papunesia	163	156	127	81.41
iban1264	Iban	Austronesian	Papunesia	188	177	144	81.36
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	150	122	81.33
east2563	Eastern Cham	Austronesian	Eurasia	92	91	74	81.32
kima1246	Kimaama	Kolopom	Papunesia	92	91	74	81.32
tetu1246	Tetun Dili	Austronesian	Papunesia	183	171	139	81.29
chuu1238	Chuukese	Austronesian	Papunesia	132	128	104	81.25
jahh1242	Jah Hut	Austroasiatic	Eurasia	146	144	117	81.25
kimm1246	Kim	Atlantic-Congo	Africa	129	128	104	81.25
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	149	121	81.21
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	165	134	81.21
sema1265	Semaq Beri	Austroasiatic	Eurasia	181	175	142	81.14
kweg1241	Kwegu	Surmic	Africa	162	159	129	81.13
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	180	146	81.11
blan1242	Blang	Austroasiatic	Eurasia	159	148	120	81.08
koho1244	Koho	Austroasiatic	Eurasia	182	169	137	81.07
baba1268	Babatana	Austronesian	Papunesia	138	132	107	81.06
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	132	107	81.06
kulo1237	Kulon-Pazeh	Austronesian	Papunesia	140	132	107	81.06
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	153	124	81.05
sema1266	Semai	Austroasiatic	Eurasia	141	137	111	81.02
anuf1239	Anufo	Atlantic-Congo	Africa	162	158	128	81.01
iama1237	Iamalele	Austronesian	Papunesia	107	100	81	81
bong1289	Bonggi	Austronesian	Papunesia	150	142	115	80.99
baki1244	Baki	Austronesian	Papunesia	152	147	119	80.95
cent1989	Central Khmer	Austroasiatic	Eurasia	177	168	136	80.95
naxi1245	Naxi	Sino-Tibetan	Eurasia	132	126	102	80.95
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	126	102	80.95
para1301	South Wa	Austroasiatic	Eurasia	185	173	140	80.92
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	178	144	80.9
boly1239	Bolyu	Austroasiatic	Eurasia	166	157	127	80.89
koyr1240	Koyra Chiini Songhay	Songhay	Africa	169	157	127	80.89
gada1258	Ga'dang	Austronesian	Papunesia	70	68	55	80.88
moke1242	Moken	Austronesian	Eurasia	171	162	131	80.86
mini1251	Minigir	Austronesian	Papunesia	178	167	135	80.84
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	146	118	80.82
labu1248	Labu	Austronesian	Papunesia	154	151	122	80.79
taku1257	Takuu	Austronesian	Papunesia	168	161	130	80.75
sout2782	South Fali	Atlantic-Congo	Africa	177	166	134	80.72
tung1290	Tungag	Austronesian	Papunesia	178	166	134	80.72
bahn1262	Bahnar	Austroasiatic	Eurasia	117	114	92	80.7
pela1242	Pela	Sino-Tibetan	Eurasia	194	181	146	80.66
humb1243	Humburi Senni Songhay	Songhay	Africa	167	155	125	80.65
keri1250	Kerinci	Austronesian	Papunesia	127	124	100	80.65
mang1401	Mangareva	Austronesian	Papunesia	173	165	133	80.61
lauu1247	Lau	Austronesian	Papunesia	141	134	108	80.6
sela1259	Selaru	Austronesian	Papunesia	186	175	141	80.57
maru1249	Maru	Sino-Tibetan	Eurasia	191	180	145	80.56
