Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	5	5	100
yinc1238	Yinchia	Austroasiatic	Eurasia	65	57	51	89.47
mans1260	Mansim	Hatam-Mansim	Papunesia	71	63	56	88.89
hote1245	Hote	Austronesian	Papunesia	162	111	98	88.29
kuyy1240	Kuy	Austroasiatic	Eurasia	174	119	105	88.24
hung1275	Hung	Austroasiatic	Eurasia	142	115	100	86.96
west2650	Western Cham	Austronesian	Eurasia	151	107	93	86.92
tido1248	Tidore	North Halmahera	Papunesia	96	78	67	85.9
phai1238	Prai	Austroasiatic	Eurasia	186	120	103	85.83
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	124	106	85.48
keoo1238	Kéo	Austronesian	Papunesia	187	122	104	85.25
rade1240	Rade	Austronesian	Eurasia	167	119	101	84.87
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	79	67	84.81
uuuu1243	U	Austroasiatic	Eurasia	139	108	91	84.26
hata1243	Hatam	Hatam-Mansim	Papunesia	96	76	64	84.21
alor1247	Alorese	Austronesian	Papunesia	168	120	101	84.17
thai1261	Thai	Tai-Kadai	Eurasia	101	82	69	84.15
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	63	53	84.13
matb1237	Matbat	Austronesian	Papunesia	154	113	95	84.07
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	125	105	84
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	125	105	84
jurm1239	Jur Modo	Central Sudanic	Africa	159	106	89	83.96
bouy1240	Bouyei	Tai-Kadai	Eurasia	95	81	68	83.95
laoo1244	Lao	Tai-Kadai	Eurasia	99	81	68	83.95
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	81	68	83.95
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	124	104	83.87
enuu1235	Enu	Sino-Tibetan	Eurasia	193	124	104	83.87
hlai1239	Hlai	Tai-Kadai	Eurasia	99	80	67	83.75
mann1248	Mann	Mande	Africa	124	91	76	83.52
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	91	76	83.52
labu1248	Labu	Austronesian	Papunesia	154	109	91	83.49
khan1274	Kháng	Austroasiatic	Eurasia	168	120	100	83.33
shee1238	She	Hmong-Mien	Eurasia	162	114	95	83.33
manm1238	Man Met	Austroasiatic	Eurasia	150	113	94	83.19
karn1252	Karnai	Austronesian	Papunesia	142	107	89	83.18
haro1237	Haroi	Austronesian	Eurasia	95	71	59	83.1
adon1237	Adonara	Austronesian	Papunesia	165	124	103	83.06
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	124	103	83.06
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	124	103	83.06
mamb1306	Mambae	Austronesian	Papunesia	169	118	98	83.05
mang1378	Mang	Austroasiatic	Eurasia	158	118	98	83.05
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	112	93	83.04
tean1237	Teanu	Austronesian	Papunesia	147	111	92	82.88
hani1248	Hani	Sino-Tibetan	Eurasia	186	122	101	82.79
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	122	101	82.79
amar1272	Amara	Austronesian	Papunesia	148	110	91	82.73
lave1248	Laven	Austroasiatic	Eurasia	180	121	100	82.64
lave1249	Brao	Austroasiatic	Eurasia	122	92	76	82.61
piap1246	Piapoco	Arawakan	South America	59	40	33	82.5
mort1237	Mortlockese	Austronesian	Papunesia	141	108	89	82.41
aheu1239	Thavung	Austroasiatic	Eurasia	192	125	103	82.4
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	119	98	82.35
kens1248	Kensiu	Austroasiatic	Eurasia	164	113	93	82.3
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	124	102	82.26
fonn1241	Fon	Atlantic-Congo	Africa	189	124	102	82.26
mokl1243	Moklen	Austronesian	Eurasia	181	124	102	82.26
woii1237	Woi	Austronesian	Papunesia	191	124	102	82.26
azha1235	Azha	Sino-Tibetan	Eurasia	151	107	88	82.24
jara1266	Jarai	Austronesian	Eurasia	156	107	88	82.24
yako1252	Yakoma	Atlantic-Congo	Africa	143	107	88	82.24
buga1250	Bugawac	Austronesian	Papunesia	191	123	101	82.11
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	123	101	82.11
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	106	87	82.08
gobu1238	Gobu	Atlantic-Congo	Africa	141	100	82	82
aito1238	Aiton	Tai-Kadai	Eurasia	102	83	68	81.93
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	116	95	81.9
sani1269	Sani	Sino-Tibetan	Eurasia	168	116	95	81.9
boly1239	Bolyu	Austroasiatic	Eurasia	166	115	94	81.74
tane1237	Tanema	Austronesian	Papunesia	154	115	94	81.74
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	104	85	81.73
kats1235	Katso	Sino-Tibetan	Eurasia	186	125	102	81.6
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	125	102	81.6
east2485	Eastern Penan	Austronesian	Papunesia	147	114	93	81.58
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	114	93	81.58
bekw1241	Bekwarra	Atlantic-Congo	Africa	157	119	97	81.51
golo1234	Golo	Atlantic-Congo	Africa	82	54	44	81.48
kren1239	Krenak	Nuclear-Macro-Je	South America	111	81	66	81.48
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	124	101	81.45
lewo1244	Lewotobi	Austronesian	Papunesia	189	124	101	81.45
mpur1239	Mpur		Papunesia	185	124	101	81.45
jehh1245	Jeh	Austroasiatic	Eurasia	139	97	79	81.44
bitt1240	Bit	Austroasiatic	Eurasia	153	113	92	81.42
sapu1248	Sapuan	Austroasiatic	Eurasia	152	113	92	81.42
lamo1244	Lamogai	Austronesian	Papunesia	135	102	83	81.37
east2440	East Makian	Austronesian	Papunesia	95	75	61	81.33
west2397	Western Bru	Austroasiatic	Eurasia	157	107	87	81.31
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	123	100	81.3
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	123	100	81.3
kaba1281	Kaba	Central Sudanic	Africa	166	112	91	81.25
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	48	39	81.25
khmu1256	Khmu	Austroasiatic	Eurasia	167	122	99	81.15
para1301	South Wa	Austroasiatic	Eurasia	185	122	99	81.15
mani1235	Sougb	East Bird's Head	Papunesia	122	95	77	81.05
moke1242	Moken	Austronesian	Eurasia	171	116	94	81.03
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	116	94	81.03
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	121	98	80.99
huuu1240	Hu	Austroasiatic	Eurasia	175	121	98	80.99
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	121	98	80.99
jahh1242	Jah Hut	Austroasiatic	Eurasia	146	110	89	80.91
kute1248	Kutep	Atlantic-Congo	Africa	163	110	89	80.91
cane1242	Canela-Krahô	Nuclear-Macro-Je	South America	173	115	93	80.87
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	115	93	80.87
mbay1241	Mbay	Central Sudanic	Africa	173	115	93	80.87
kupa1239	Kupang Malay	Austronesian	Papunesia	168	120	97	80.83
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	120	97	80.83
maib1239	Maybrat-Karon		Papunesia	174	125	101	80.8
mand1415	Mandarin Chinese	Sino-Tibetan	Eurasia	195	125	101	80.8
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	125	101	80.8
phak1238	Phake	Tai-Kadai	Eurasia	101	83	67	80.72
