Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	62	96.88
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	69	65	94.2
moke1242	Moken	Austronesian	Eurasia	171	167	156	93.41
huuu1240	Hu	Austroasiatic	Eurasia	175	163	152	93.25
west2650	Western Cham	Austronesian	Eurasia	151	146	136	93.15
uuuu1243	U	Austroasiatic	Eurasia	139	129	120	93.02
homa1239	Homa	Atlantic-Congo	Africa	14	14	13	92.86
hala1252	Halang	Austroasiatic	Eurasia	82	82	76	92.68
sapu1248	Sapuan	Austroasiatic	Eurasia	152	147	136	92.52
aheu1239	Thavung	Austroasiatic	Eurasia	192	180	166	92.22
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	151	139	92.05
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	181	166	91.71
kuyy1240	Kuy	Austroasiatic	Eurasia	174	168	154	91.67
hung1275	Hung	Austroasiatic	Eurasia	142	131	120	91.6
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	177	162	91.53
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	174	159	91.38
shee1238	She	Hmong-Mien	Eurasia	162	157	143	91.08
mang1378	Mang	Austroasiatic	Eurasia	158	155	141	90.97
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	176	160	90.91
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	142	129	90.85
west2397	Western Bru	Austroasiatic	Eurasia	157	153	139	90.85
tsat1238	Tsat	Austronesian	Eurasia	183	174	158	90.8
phai1238	Prai	Austroasiatic	Eurasia	186	173	157	90.75
lave1249	Brao	Austroasiatic	Eurasia	122	118	107	90.68
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	179	162	90.5
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	179	162	90.5
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	178	161	90.45
azha1235	Azha	Sino-Tibetan	Eurasia	151	144	130	90.28
mans1260	Mansim	Hatam-Mansim	Papunesia	71	71	64	90.14
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
lave1248	Laven	Austroasiatic	Eurasia	180	170	153	90
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	110	99	90
seda1262	Sedang	Austroasiatic	Eurasia	178	168	151	89.88
west2396	Western Lawa	Austroasiatic	Eurasia	190	177	159	89.83
boly1239	Bolyu	Austroasiatic	Eurasia	166	157	141	89.81
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	156	140	89.74
manm1238	Man Met	Austroasiatic	Eurasia	150	146	131	89.73
nort2994	Northern Roglai	Austronesian	Eurasia	90	87	78	89.66
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	174	156	89.66
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	172	154	89.53
sani1269	Sani	Sino-Tibetan	Eurasia	168	162	145	89.51
mand1415	Mandarin Chinese	Sino-Tibetan	Eurasia	195	181	162	89.5
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	152	136	89.47
thai1261	Thai	Tai-Kadai	Eurasia	101	95	85	89.47
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	161	144	89.44
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	180	161	89.44
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	179	160	89.39
laoo1244	Lao	Tai-Kadai	Eurasia	99	94	84	89.36
sooo1254	Sô	Austroasiatic	Eurasia	176	169	151	89.35
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	56	50	89.29
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	93	83	89.25
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	130	116	89.23
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	181	161	88.95
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	36	32	88.89
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	179	159	88.83
blan1242	Blang	Austroasiatic	Eurasia	159	152	135	88.82
lara1260	Larantuka Malay	Austronesian	Papunesia	169	161	143	88.82
biha1246	Bih	Austronesian	Eurasia	182	169	150	88.76
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	151	134	88.74
khan1274	Kháng	Austroasiatic	Eurasia	168	159	141	88.68
hani1248	Hani	Sino-Tibetan	Eurasia	186	176	156	88.64
keoo1238	Kéo	Austronesian	Papunesia	187	174	154	88.51
bolg1251	Bolgo	Atlantic-Congo	Africa	78	78	69	88.46
kats1235	Katso	Sino-Tibetan	Eurasia	186	173	153	88.44
east2485	Eastern Penan	Austronesian	Papunesia	147	138	122	88.41
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	164	145	88.41
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	155	137	88.39
buga1247	Bugan	Austroasiatic	Eurasia	190	180	159	88.33
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	180	159	88.33
aoua1234	A'ou	Tai-Kadai	Eurasia	187	179	158	88.27
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	178	157	88.2
oldm1242	Old Mon	Austroasiatic	Eurasia	171	161	142	88.2
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	178	157	88.2
bang1369	Bangru	Sino-Tibetan	Eurasia	151	144	127	88.19
kimm1246	Kim	Atlantic-Congo	Africa	129	126	111	88.1
fonn1241	Fon	Atlantic-Congo	Africa	189	175	154	88
haro1237	Haroi	Austronesian	Eurasia	95	91	80	87.91
saba1263	Sabah Malay	Austronesian	Papunesia	182	173	152	87.86
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	180	158	87.78
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	179	157	87.71
monn1252	Mon	Austroasiatic	Eurasia	91	88	77	87.5
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	144	126	87.5
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	167	146	87.43
cent2314	Central Chong	Austroasiatic	Eurasia	187	175	153	87.43
chas1234	Chashan	Sino-Tibetan	Eurasia	169	159	139	87.42
lach1248	Lachi	Tai-Kadai	Eurasia	167	159	139	87.42
para1301	South Wa	Austroasiatic	Eurasia	185	174	152	87.36
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	173	151	87.28
cent1989	Central Khmer	Austroasiatic	Eurasia	177	165	144	87.27
pela1242	Pela	Sino-Tibetan	Eurasia	194	180	157	87.22
enuu1235	Enu	Sino-Tibetan	Eurasia	193	179	156	87.15
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	178	155	87.08
boka1249	Bokar-Ramo	Sino-Tibetan	Eurasia	151	147	128	87.07
bahn1262	Bahnar	Austroasiatic	Eurasia	117	114	99	86.84
bitt1240	Bit	Austroasiatic	Eurasia	153	151	131	86.75
jehh1245	Jeh	Austroasiatic	Eurasia	139	128	111	86.72
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	172	149	86.63
berb1259	Berbice Creole Dutch	Indo-European	South America	170	157	136	86.62
acha1249	Longchuan Achang	Sino-Tibetan	Eurasia	191	179	155	86.59
nort2684	Northern Khmer	Austroasiatic	Eurasia	191	179	155	86.59
adon1237	Adonara	Austronesian	Papunesia	165	156	135	86.54
rade1240	Rade	Austronesian	Eurasia	167	161	139	86.34
yong1276	Yongbei Zhuang	Tai-Kadai	Eurasia	101	95	82	86.32
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	168	145	86.31
alor1247	Alorese	Austronesian	Papunesia	168	160	138	86.25
caom1238	Cao Miao	Tai-Kadai	Eurasia	183	174	150	86.21
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	173	149	86.13
tetu1246	Tetun Dili	Austronesian	Papunesia	183	172	148	86.05
