Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	3	3	100
apol1242	Apolista	Arawakan	South America	14	14	13	92.86
bera1262	Berau Malay	Austronesian	Papunesia	11	11	10	90.91
bana1288	Banao Itneg	Austronesian	Papunesia	24	23	20	86.96
xink1235	Xinka-Jumaytepeque	Xincan	North America	150	136	116	85.29
moch1257	Mocho	Mayan	North America	163	148	126	85.14
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	73	62	84.93
cani1243	Canichana		South America	50	46	39	84.78
boli1256	Bolinao	Austronesian	Papunesia	60	51	43	84.31
tekt1235	Tektiteko	Mayan	North America	170	156	131	83.97
guat1253	Guató		South America	127	110	92	83.64
itza1241	Itzá	Mayan	North America	188	165	138	83.64
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	89	74	83.15
tojo1241	Tojolabal	Mayan	North America	195	166	138	83.13
xinc1242	Xinca-Chiquimulilla	Xincan	North America	162	145	120	82.76
high1243	Highland Totonac	Totonacan	North America	120	110	91	82.73
xinc1243	Xinca-Yupiltepeque	Xincan	North America	154	139	115	82.73
mamm1241	Mam	Mayan	North America	179	162	134	82.72
suru1261	Suruí Do Pará	Tupian	South America	68	63	52	82.54
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	17	14	82.35
yuca1254	Yucatec Maya	Mayan	North America	189	163	134	82.21
twan1247	Twana	Salishan	North America	87	84	69	82.14
moni1237	Mangue	Otomanguean	North America	84	77	63	81.82
xinc1246	Xinca-Guazacapan	Xincan	North America	164	148	121	81.76
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	77	62	80.52
kich1262	K'iche'	Mayan	North America	180	163	131	80.37
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	76	61	80.26
kaqc1270	Kaqchikel	Mayan	North America	183	161	129	80.12
uppe1275	Upper Necaxa Totonac	Totonacan	North America	176	151	120	79.47
saka1291	West Malagasy Sakalava	Austronesian	Africa	137	125	99	79.2
mala1534	Malaweg	Austronesian	Papunesia	122	110	87	79.09
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	119	94	78.99
cent2058	Central Maewo	Austronesian	Papunesia	110	95	75	78.95
qanj1241	Q'anjob'al	Mayan	North America	176	158	124	78.48
yukp1241	Yukpa	Cariban	South America	106	102	80	78.43
tepe1278	Tepecano	Uto-Aztecan	North America	121	111	87	78.38
papa1238	Papantla Totonac	Totonacan	North America	128	120	94	78.33
west2635	Akateko	Mayan	North America	178	161	126	78.26
achi1256	Achi	Mayan	North America	164	156	122	78.21
chuj1250	Chuj	Mayan	North America	171	155	121	78.06
filo1235	Filomeno Mata Totonac	Totonacan	North America	144	134	104	77.61
sand1278	San Dionisio del Mar Huave	Huavean	North America	184	160	124	77.5
bara1361	Barambu	Atlantic-Congo	Africa	128	111	86	77.48
kala1388	Kalagan	Austronesian	Papunesia	150	128	99	77.34
maro1244	Marovo	Austronesian	Papunesia	84	75	58	77.33
gbay1288	Kresh-Woro	Kresh-Aja	Africa	134	117	90	76.92
lowl1265	Lowland Tarahumara	Uto-Aztecan	North America	164	151	116	76.82
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	116	89	76.72
bata1289	Batak Toba	Austronesian	Papunesia	168	146	112	76.71
isin1239	Isinai	Austronesian	Papunesia	152	133	102	76.69
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	120	92	76.67
cayu1262	Cayubaba		South America	131	119	91	76.47
oroh1237	Oroha	Austronesian	Papunesia	118	102	78	76.47
sant1436	Santa María Zacatepec Mixtec	Otomanguean	North America	160	140	107	76.43
taus1253	Taushiro		South America	150	140	107	76.43
pala1344	Palauan	Austronesian	Papunesia	184	161	123	76.4
