Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	1	1	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	4	4	100
poya1241	Poyanáwa	Pano-Tacanan	South America	50	33	29	87.88
nyun1247	Nyunga	Pama-Nyungan	Australia	26	18	15	83.33
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	61	49	80.33
namb1293	Nambo	Yam	Papunesia	182	96	77	80.21
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	4	80
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	60	47	78.33
bond1245	Bondo	Austroasiatic	Eurasia	152	78	61	78.21
idii1243	Idi-Taeme	Pahoturi	Papunesia	185	99	77	77.78
gizr1240	Gizrra	Eastern Trans-Fly	Papunesia	93	62	48	77.42
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	62	48	77.42
paez1247	Páez		South America	45	22	17	77.27
siaw1243	Siawi	Amto-Musan	Papunesia	123	70	54	77.14
chac1249	Cha'palaa	Barbacoan	South America	91	48	37	77.08
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	52	40	76.92
kark1258	Karkar-Yuri	Pauwasi	Papunesia	132	81	62	76.54
ndom1245	Ndom	Kolopom	Papunesia	74	51	39	76.47
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	46	35	76.09
yaum1237	Yau (Morobe Province)	Nuclear Trans New Guinea	Papunesia	181	100	76	76
aika1237	Aikanã		South America	90	54	41	75.93
yano1262	Yanomám	Yanomamic	South America	65	33	25	75.76
yami1256	Yaminahua	Pano-Tacanan	South America	182	103	78	75.73
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	73	55	75.34
kova1243	Kovai	Nuclear Trans New Guinea	Papunesia	88	56	42	75
mill1237	Millcayac	Huarpean	South America	122	72	54	75
nalo1235	Nalögo	Austronesian	Papunesia	33	24	18	75
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	48	36	75
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	84	63	75
yawa1260	Yawanawa	Pano-Tacanan	South America	148	84	63	75
eude1234	Eudeve	Uto-Aztecan	North America	153	83	62	74.7
kuvi1243	Kuvi	Dravidian	Eurasia	103	67	50	74.63
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	90	67	74.44
awar1248	Awara	Nuclear Trans New Guinea	Papunesia	136	82	61	74.39
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	97	72	74.23
puma1239	Puma	Sino-Tibetan	Eurasia	172	93	69	74.19
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	77	57	74.03
bira1253	Ongota		Africa	163	92	68	73.91
teda1241	Tedaga	Saharan	Africa	160	88	65	73.86
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	91	67	73.63
nati1243	Natioro	Atlantic-Congo	Africa	51	34	25	73.53
nina1238	Ninam	Yanomamic	South America	61	34	25	73.53
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	49	36	73.47
bauz1241	Bauzi	Geelvink Bay	Papunesia	93	64	47	73.44
yora1241	Yora	Pano-Tacanan	South America	129	79	58	73.42
capa1241	Capanahua	Pano-Tacanan	South America	171	94	69	73.4
agob1244	Agob-Ende-Kawam	Pahoturi	Papunesia	194	105	77	73.33
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	45	33	73.33
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	15	11	73.33
maia1253	Maiani	Nuclear Trans New Guinea	Papunesia	79	45	33	73.33
maku1277	Maku'a	Austronesian	Papunesia	29	15	11	73.33
rend1243	Rendille	Afro-Asiatic	Africa	44	30	22	73.33
tabo1241	Tabo		Papunesia	165	90	66	73.33
umot1240	Umotína	Bororoan	South America	73	45	33	73.33
sile1255	Sirva	Nuclear Trans New Guinea	Papunesia	157	86	63	73.26
cofa1242	Cofán		South America	137	71	52	73.24
mika1239	Mikasuki	Muskogean	North America	147	82	60	73.17
oroc1248	Oroch	Tungusic	Eurasia	162	93	68	73.12
tonk1249	Tonkawa		North America	156	93	68	73.12
defa1248	Defaka	Ijoid	Africa	75	52	38	73.08
ndam1251	Ndam	Afro-Asiatic	Africa	41	26	19	73.08
orok1265	Orok	Tungusic	Eurasia	151	78	57	73.08
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	78	57	73.08
nucl1630	Barai	Koiarian	Papunesia	168	89	65	73.03
daha1245	Dahalo	Afro-Asiatic	Africa	46	37	27	72.97
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	37	27	72.97
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	37	27	72.97
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	74	54	72.97
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	92	67	72.83
awtu1239	Awtuw	Sepik	Papunesia	138	77	56	72.73
chic1270	Chickasaw	Muskogean	North America	150	88	64	72.73
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	77	56	72.73
meri1244	Meriam	Eastern Trans-Fly	Papunesia	99	66	48	72.73
ubyk1235	Ubykh	Abkhaz-Adyge	Eurasia	172	99	72	72.73
omie1241	Ömie	Koiarian	Papunesia	156	95	69	72.63
bine1240	Bine	Eastern Trans-Fly	Papunesia	88	62	45	72.58
