Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	2	2	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	3	3	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	1	1	100
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	34	31	91.18
maro1244	Marovo	Austronesian	Papunesia	84	55	50	90.91
east1236	Eastern Katu	Austroasiatic	Eurasia	106	67	60	89.55
west2600	West Makian	North Halmahera	Papunesia	151	85	76	89.41
siku1242	Sikule	Austronesian	Papunesia	140	81	71	87.65
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	8	7	87.5
nort2994	Northern Roglai	Austronesian	Eurasia	90	56	49	87.5
oldm1243	Old Malay	Austronesian	Papunesia	119	71	62	87.32
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	94	82	87.23
gada1258	Ga'dang	Austronesian	Papunesia	70	39	34	87.18
kara1499	Kalamang	West Bomberai	Papunesia	99	69	60	86.96
keri1250	Kerinci	Austronesian	Papunesia	127	82	71	86.59
emae1237	Emae	Austronesian	Papunesia	156	89	77	86.52
lauu1247	Lau	Austronesian	Papunesia	141	89	77	86.52
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	59	51	86.44
oroh1237	Oroha	Austronesian	Papunesia	118	81	70	86.42
long1395	Longgu	Austronesian	Papunesia	151	88	76	86.36
reng1252	Rengao	Austroasiatic	Eurasia	172	94	81	86.17
anut1237	Anuta	Austronesian	Papunesia	153	93	80	86.02
aulu1238	Aulua	Austronesian	Papunesia	160	93	80	86.02
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	64	55	85.94
maku1277	Maku'a	Austronesian	Papunesia	29	14	12	85.71
penr1237	Māngarongaro	Austronesian	Papunesia	117	70	60	85.71
iran1262	Iranun	Austronesian	Papunesia	138	96	82	85.42
yinc1238	Yinchia	Austroasiatic	Eurasia	65	41	35	85.37
ghar1239	Ghari	Austronesian	Papunesia	151	95	81	85.26
mara1399	Maragus	Austronesian	Papunesia	174	101	86	85.15
