Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	10	9	90
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	155	139	89.68
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	13	86.67
koir1240	Koireng	Sino-Tibetan	Eurasia	155	149	128	85.91
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	154	130	84.42
nalo1235	Nalögo	Austronesian	Papunesia	33	31	26	83.87
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	105	88	83.81
mara1396	Mararit	Tamaic	Africa	92	91	76	83.52
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
kony1248	Konyak Naga	Sino-Tibetan	Eurasia	175	151	125	82.78
gang1266	Gangte	Sino-Tibetan	Eurasia	184	161	133	82.61
chot1239	Chothe	Sino-Tibetan	Eurasia	176	159	131	82.39
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	161	132	81.99
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	154	126	81.82
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	126	103	81.75
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	147	120	81.63
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	129	105	81.4
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	75	61	81.33
mala1463	Malavedan	Dravidian	Eurasia	163	143	116	81.12
kara1499	Kalamang	West Bomberai	Papunesia	99	95	77	81.05
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	121	98	80.99
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	155	125	80.65
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	77	62	80.52
toda1252	Toda	Dravidian	Eurasia	139	133	107	80.45
etru1241	Etruscan		Eurasia	130	117	94	80.34
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	61	49	80.33
bada1257	Badaga	Dravidian	Eurasia	127	121	97	80.17
avac1239	Avá-Canoeiro	Tupian	South America	153	135	108	80
tama1331	Tama (Chad)	Tamaic	Africa	139	129	103	79.84
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	94	75	79.79
chir1283	Chiru	Sino-Tibetan	Eurasia	170	148	118	79.73
garo1247	Garo	Sino-Tibetan	Eurasia	164	148	118	79.73
bori1243	Bori-Karko	Sino-Tibetan	Eurasia	152	143	114	79.72
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	147	117	79.59
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	147	117	79.59
tara1313	Tarao	Sino-Tibetan	Eurasia	166	146	116	79.45
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	146	116	79.45
hrus1242	Hruso		Eurasia	89	87	69	79.31
maru1252	Marúbo	Pano-Tacanan	South America	126	106	84	79.25
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	149	118	79.19
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	133	105	78.95
mika1239	Mikasuki	Muskogean	North America	147	133	105	78.95
