Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
monn1252	Mon	Austroasiatic	Eurasia	91	83	71	85.54
boka1249	Bokar-Ramo	Sino-Tibetan	Eurasia	151	136	116	85.29
azha1235	Azha	Sino-Tibetan	Eurasia	151	140	119	85
huuu1240	Hu	Austroasiatic	Eurasia	175	160	136	85
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	153	129	84.31
acha1249	Longchuan Achang	Sino-Tibetan	Eurasia	191	172	145	84.3
moke1242	Moken	Austronesian	Eurasia	171	157	132	84.08
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	174	146	83.91
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	174	146	83.91
kuyy1240	Kuy	Austroasiatic	Eurasia	174	165	138	83.64
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	122	102	83.61
bang1369	Bangru	Sino-Tibetan	Eurasia	151	140	117	83.57
uuuu1243	U	Austroasiatic	Eurasia	139	127	106	83.46
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
mokl1243	Moklen	Austronesian	Eurasia	181	167	139	83.23
maru1249	Maru	Sino-Tibetan	Eurasia	191	172	143	83.14
shee1238	She	Hmong-Mien	Eurasia	162	148	123	83.11
buga1247	Bugan	Austroasiatic	Eurasia	190	170	141	82.94
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	169	140	82.84
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	169	140	82.84
honi1244	Honi	Sino-Tibetan	Eurasia	165	151	125	82.78
enuu1235	Enu	Sino-Tibetan	Eurasia	193	174	144	82.76
west2397	Western Bru	Austroasiatic	Eurasia	157	145	120	82.76
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	168	139	82.74
fonn1241	Fon	Atlantic-Congo	Africa	189	168	139	82.74
aheu1239	Thavung	Austroasiatic	Eurasia	192	173	143	82.66
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	166	137	82.53
khez1235	Khezha Naga	Sino-Tibetan	Eurasia	172	159	131	82.39
hani1248	Hani	Sino-Tibetan	Eurasia	186	169	139	82.25
kaur1267	Kaurna	Pama-Nyungan	Australia	48	45	37	82.22
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	157	129	82.17
pela1242	Pela	Sino-Tibetan	Eurasia	194	173	142	82.08
oldm1242	Old Mon	Austroasiatic	Eurasia	171	156	128	82.05
aoua1234	A'ou	Tai-Kadai	Eurasia	187	167	137	82.04
keoo1238	Kéo	Austronesian	Papunesia	187	167	137	82.04
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	172	141	81.98
sooo1254	Sô	Austroasiatic	Eurasia	176	165	135	81.82
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	170	139	81.76
kara1499	Kalamang	West Bomberai	Papunesia	99	93	76	81.72
chas1234	Chashan	Sino-Tibetan	Eurasia	169	153	125	81.7
sich1238	Sichuan Yi	Sino-Tibetan	Eurasia	189	168	137	81.55
tsat1238	Tsat	Austronesian	Eurasia	183	168	137	81.55
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	173	141	81.5
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	151	123	81.46
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	172	140	81.4
tang1334	Tangut	Sino-Tibetan	Eurasia	151	144	117	81.25
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	170	138	81.18
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	174	141	81.03
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	158	128	81.01
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	163	132	80.98
anuf1239	Anufo	Atlantic-Congo	Africa	162	147	119	80.95
obok1239	Obokuitai	Lakes Plain	Papunesia	157	147	119	80.95
phai1238	Prai	Austroasiatic	Eurasia	186	168	136	80.95
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	173	140	80.92
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	157	127	80.89
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	141	114	80.85
kats1235	Katso	Sino-Tibetan	Eurasia	186	167	135	80.84
blan1242	Blang	Austroasiatic	Eurasia	159	146	118	80.82
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	166	134	80.72
kima1246	Kimaama	Kolopom	Papunesia	92	88	71	80.68
cent2314	Central Chong	Austroasiatic	Eurasia	187	170	137	80.59
lash1243	Lashi	Sino-Tibetan	Eurasia	188	170	137	80.59
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	170	137	80.59
abun1252	Abun		Papunesia	195	174	140	80.46
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	158	127	80.38
mlab1235	Mlabri	Austroasiatic	Eurasia	182	163	131	80.37
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	107	86	80.37
reng1252	Rengao	Austroasiatic	Eurasia	172	163	131	80.37
paco1243	Pacoh	Austroasiatic	Eurasia	188	168	135	80.36
berb1259	Berbice Creole Dutch	Indo-European	South America	170	152	122	80.26
naue1237	Nauete	Austronesian	Papunesia	183	167	134	80.24
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	172	138	80.23
tang1373	Tangwang	Sino-Tibetan	Eurasia	150	141	113	80.14
lach1248	Lachi	Tai-Kadai	Eurasia	167	151	121	80.13
biha1246	Bih	Austronesian	Eurasia	182	161	129	80.12
bisu1244	Bisu	Sino-Tibetan	Eurasia	187	166	133	80.12
lave1248	Laven	Austroasiatic	Eurasia	180	161	129	80.12
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	171	137	80.12
bara1370	Baram Kayan	Austronesian	Papunesia	143	135	108	80
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	165	132	80
hala1252	Halang	Austroasiatic	Eurasia	82	75	60	80
humb1243	Humburi Senni Songhay	Songhay	Africa	167	150	120	80
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	150	120	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
nyun1247	Nyunga	Pama-Nyungan	Australia	26	25	20	80
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	145	116	80
zaiw1241	Zaiwa	Sino-Tibetan	Eurasia	174	160	128	80
lush1249	Mizo	Sino-Tibetan	Eurasia	182	164	131	79.88
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	154	123	79.87
hung1275	Hung	Austroasiatic	Eurasia	142	129	103	79.84
cata1286	Catawba	Siouan	North America	125	119	95	79.83
namu1246	Namuyi	Sino-Tibetan	Eurasia	173	158	126	79.75
akha1245	Akha	Sino-Tibetan	Eurasia	159	148	118	79.73
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	138	110	79.71
sapu1248	Sapuan	Austroasiatic	Eurasia	152	138	110	79.71
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	172	137	79.65
sara1340	Saramaccan	Indo-European	South America	183	167	133	79.64
rade1240	Rade	Austronesian	Eurasia	167	152	121	79.61
sani1269	Sani	Sino-Tibetan	Eurasia	168	152	121	79.61
seda1262	Sedang	Austroasiatic	Eurasia	178	161	128	79.5
sika1261	Sikaiana	Austronesian	Papunesia	173	156	124	79.49
kens1248	Kensiu	Austroasiatic	Eurasia	164	151	120	79.47
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	151	120	79.47
tomm1242	Tommo So Dogon	Dogon	Africa	167	151	120	79.47
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	146	116	79.45
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	141	112	79.43
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	131	104	79.39
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	126	100	79.37
suru1261	Suruí Do Pará	Tupian	South America	68	63	50	79.37
sana1297	San Andres Creole English	Indo-European	North America	168	150	119	79.33
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	150	119	79.33
buna1276	Bunama	Austronesian	Papunesia	125	116	92	79.31
keri1250	Kerinci	Austronesian	Papunesia	127	116	92	79.31
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	145	115	79.31
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	169	134	79.29
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	96	76	79.17
