Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	58	90.62
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
hala1252	Halang	Austroasiatic	Eurasia	82	80	71	88.75
bahn1262	Bahnar	Austroasiatic	Eurasia	117	114	100	87.72
oldm1242	Old Mon	Austroasiatic	Eurasia	171	168	147	87.5
east2485	Eastern Penan	Austronesian	Papunesia	147	145	126	86.9
mala1479	Colloquial Malay	Austronesian	Eurasia	153	149	129	86.58
lave1249	Brao	Austroasiatic	Eurasia	122	118	102	86.44
west2397	Western Bru	Austroasiatic	Eurasia	157	154	133	86.36
haro1237	Haroi	Austronesian	Eurasia	95	95	82	86.32
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	57	49	85.96
keri1250	Kerinci	Austronesian	Papunesia	127	125	107	85.6
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	180	154	85.56
nort2994	Northern Roglai	Austronesian	Eurasia	90	90	77	85.56
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	131	112	85.5
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	136	116	85.29
iban1264	Iban	Austronesian	Papunesia	188	182	155	85.16
seda1262	Sedang	Austroasiatic	Eurasia	178	174	148	85.06
sema1266	Semai	Austroasiatic	Eurasia	141	139	118	84.89
khmu1256	Khmu	Austroasiatic	Eurasia	167	165	140	84.85
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	144	122	84.72
labo1244	Ninde	Austronesian	Papunesia	122	121	102	84.3
mans1260	Mansim	Hatam-Mansim	Papunesia	71	70	59	84.29
manm1238	Man Met	Austroasiatic	Eurasia	150	146	123	84.25
kemb1249	Mateq	Austronesian	Papunesia	195	189	159	84.13
biha1246	Bih	Austronesian	Eurasia	182	176	148	84.09
lach1248	Lachi	Tai-Kadai	Eurasia	167	162	136	83.95
jehh1245	Jeh	Austroasiatic	Eurasia	139	137	115	83.94
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	148	124	83.78
west2600	West Makian	North Halmahera	Papunesia	151	148	124	83.78
oroh1237	Oroha	Austronesian	Papunesia	118	117	98	83.76
leme1238	Lemerig	Austronesian	Papunesia	164	159	133	83.65
maan1238	Ma'anyan	Austronesian	Papunesia	163	159	133	83.65
mokl1243	Moklen	Austronesian	Eurasia	181	177	148	83.62
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	163	136	83.44
keoo1238	Kéo	Austronesian	Papunesia	187	181	151	83.43
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	36	30	83.33
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	155	129	83.23
lauu1247	Lau	Austronesian	Papunesia	141	137	114	83.21
oldm1243	Old Malay	Austronesian	Papunesia	119	119	99	83.19
west2564	West Berawan	Austronesian	Papunesia	83	83	69	83.13
chra1242	Chrau	Austroasiatic	Eurasia	166	160	133	83.12
siku1242	Sikule	Austronesian	Papunesia	140	140	116	82.86
sabu1255	Hawu	Austronesian	Papunesia	172	169	140	82.84
sika1261	Sikaiana	Austronesian	Papunesia	173	169	140	82.84
east1236	Eastern Katu	Austroasiatic	Eurasia	106	104	86	82.69
mera1242	Meramera	Austronesian	Papunesia	54	52	43	82.69
piji1239	Pijin	Indo-European	Papunesia	154	150	124	82.67
waim1252	Waima'a	Austronesian	Papunesia	144	144	119	82.64
stan1306	Standard Malay	Austronesian	Eurasia	190	184	152	82.61
uuuu1243	U	Austroasiatic	Eurasia	139	138	114	82.61
damp1237	Dampelas	Austronesian	Papunesia	159	155	128	82.58
saba1263	Sabah Malay	Austronesian	Papunesia	182	178	147	82.58
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	114	94	82.46
naro1251	Narom	Austronesian	Papunesia	132	131	108	82.44
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	131	108	82.44
bara1370	Baram Kayan	Austronesian	Papunesia	143	142	117	82.39
reng1252	Rengao	Austroasiatic	Eurasia	172	170	140	82.35
para1301	South Wa	Austroasiatic	Eurasia	185	181	149	82.32
east2332	Eastern Bru	Austroasiatic	Eurasia	134	130	107	82.31
