Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	8	7	87.5
damp1237	Dampelas	Austronesian	Papunesia	159	81	67	82.72
jeha1242	Jehai	Austroasiatic	Eurasia	162	89	71	79.78
tuka1248	Tukang Besi North	Austronesian	Papunesia	175	89	71	79.78
buru1303	Buru (Indonesia)	Austronesian	Papunesia	102	98	78	79.59
masb1238	Masbatenyo	Austronesian	Papunesia	172	88	70	79.55
sema1265	Semaq Beri	Austroasiatic	Eurasia	181	96	76	79.17
kamb1299	Kambera	Austronesian	Papunesia	175	95	75	78.95
east2332	Eastern Bru	Austroasiatic	Eurasia	134	71	56	78.87
gayo1244	Gayo	Austronesian	Papunesia	193	99	78	78.79
apol1242	Apolista	Arawakan	South America	14	14	11	78.57
manu1258	Manusela	Austronesian	Papunesia	101	56	44	78.57
sabu1255	Hawu	Austronesian	Papunesia	172	84	66	78.57
maro1244	Marovo	Austronesian	Papunesia	84	51	40	78.43
achi1257	Acehnese	Austronesian	Papunesia	192	97	76	78.35
east1236	Eastern Katu	Austroasiatic	Eurasia	106	60	47	78.33
nyal1254	Belep	Austronesian	Papunesia	180	92	72	78.26
mori1268	Mori Bawah	Austronesian	Papunesia	88	87	68	78.16
daak1235	Da'a Kaili	Austronesian	Papunesia	123	73	57	78.08
oldm1242	Old Mon	Austroasiatic	Eurasia	171	86	67	77.91
bala1315	Balantak	Austronesian	Papunesia	178	90	70	77.78
mera1242	Meramera	Austronesian	Papunesia	54	54	42	77.78
ramo1244	Ramoaaina	Austronesian	Papunesia	52	49	38	77.55
anut1237	Anuta	Austronesian	Papunesia	153	84	65	77.38
naka1262	Nakanai	Austronesian	Papunesia	173	97	75	77.32
wala1266	Wala	Austronesian	Papunesia	150	79	61	77.22
mans1260	Mansim	Hatam-Mansim	Papunesia	71	35	27	77.14
iran1262	Iranun	Austronesian	Papunesia	138	78	60	76.92
west2560	West Coast Bajau	Austronesian	Papunesia	179	91	70	76.92
muss1246	Mussau-Emira	Austronesian	Papunesia	90	86	66	76.74
lauu1247	Lau	Austronesian	Papunesia	141	73	56	76.71
sika1261	Sikaiana	Austronesian	Papunesia	173	90	69	76.67
meng1267	Mengen	Austronesian	Papunesia	98	94	72	76.6
teun1241	Te'un	Austronesian	Papunesia	53	34	26	76.47
mual1241	Mualang	Austronesian	Papunesia	189	97	74	76.29
cani1243	Canichana		South America	50	21	16	76.19
java1254	Javanese	Austronesian	Papunesia	84	84	64	76.19
hata1243	Hatam	Hatam-Mansim	Papunesia	96	96	73	76.04
wuvu1239	Wuvulu-Aua	Austronesian	Papunesia	151	79	60	75.95
lihi1237	Lihir	Austronesian	Papunesia	143	83	63	75.9
para1316	Paraujano	Arawakan	South America	53	29	22	75.86
laiy1246	Laiyolo	Austronesian	Papunesia	123	70	53	75.71
teng1272	Tengger	Austronesian	Papunesia	121	74	56	75.68
seda1262	Sedang	Austroasiatic	Eurasia	178	86	65	75.58
pend1242	Pendau	Austronesian	Papunesia	185	94	71	75.53
taji1246	Tajio	Austronesian	Papunesia	184	94	71	75.53
bahn1262	Bahnar	Austroasiatic	Eurasia	117	57	43	75.44
puoc1238	Ksingmul	Austroasiatic	Eurasia	94	61	46	75.41
idaa1241	Ida'an	Austronesian	Papunesia	93	93	70	75.27
sons1242	Sonsorol	Austronesian	Papunesia	181	93	70	75.27
bala1311	Balangingi	Austronesian	Papunesia	153	76	57	75
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	72	54	75
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	6	75
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	24	18	75
labo1244	Ninde	Austronesian	Papunesia	122	64	48	75
luan1263	Luang	Austronesian	Papunesia	173	92	69	75
meya1236	Meyah	East Bird's Head	Papunesia	96	96	72	75
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	3	75
molo1266	Moloko	Afro-Asiatic	Africa	109	60	45	75
paco1243	Pacoh	Austroasiatic	Eurasia	188	96	72	75
stan1306	Standard Malay	Austronesian	Eurasia	190	96	72	75
tain1254	Taino	Arawakan	North America	4	4	3	75
yinc1238	Yinchia	Austroasiatic	Eurasia	65	40	30	75
east2440	East Makian	Austronesian	Papunesia	95	95	71	74.74
paul1238	Paulohi	Austronesian	Papunesia	170	91	68	74.73
taus1251	Tausug	Austronesian	Papunesia	179	91	68	74.73
