Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
suru1262	Suruí	Tupian	South America	18	18	17	94.44
omii1238	Omi	Central Sudanic	Africa	18	15	14	93.33
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	99	87	87.88
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
nonu1241	Nonuya	Huitotoan	South America	54	52	43	82.69
yukp1241	Yukpa	Cariban	South America	106	98	81	82.65
saki1248	Mekens	Tupian	South America	139	126	104	82.54
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	76	62	81.58
tepe1278	Tepecano	Uto-Aztecan	North America	121	106	86	81.13
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
umot1240	Umotína	Bororoan	South America	73	70	56	80
mbya1239	Mbyá Guaraní	Tupian	South America	161	133	106	79.7
gaaa1245	Gaa	Atlantic-Congo	Africa	79	77	61	79.22
kren1239	Krenak	Nuclear-Macro-Je	South America	111	102	80	78.43
yuqu1240	Yuqui	Tupian	South America	153	133	104	78.2
umii1235	Umiida-Unggarangu	Worrorran	Australia	88	76	59	77.63
waim1253	Waimiri-Atroari	Cariban	South America	127	116	90	77.59
yawa1261	Yawalapití	Arawakan	South America	58	58	45	77.59
cupe1243	Cupeño	Uto-Aztecan	North America	48	40	31	77.5
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	57	44	77.19
cogu1240	Cogui	Chibchan	South America	141	122	94	77.05
tupi1273	Tupinambá	Tupian	South America	163	139	107	76.98
siri1273	Sirionó	Tupian	South America	169	143	110	76.92
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	69	53	76.81
abip1241	Abipon	Guaicuruan	South America	129	115	88	76.52
suru1261	Suruí Do Pará	Tupian	South America	68	63	48	76.19
pare1272	Parecís	Arawakan	South America	144	125	95	76
piap1246	Piapoco	Arawakan	South America	59	50	38	76
samo1303	Samo	East Strickland	Papunesia	44	37	28	75.68
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	119	90	75.63
poya1241	Poyanáwa	Pano-Tacanan	South America	50	45	34	75.56
pait1244	Paite Chin	Sino-Tibetan	Eurasia	152	130	98	75.38
