Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
ramo1244	Ramoaaina	Austronesian	Papunesia	52	49	44	89.8
kaul1240	Kaulong	Austronesian	Papunesia	90	79	70	88.61
oroh1237	Oroha	Austronesian	Papunesia	118	61	54	88.52
mera1242	Meramera	Austronesian	Papunesia	54	51	45	88.24
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	84	74	88.1
lamo1244	Lamogai	Austronesian	Papunesia	135	67	59	88.06
unea1237	Uneapa	Austronesian	Papunesia	87	78	68	87.18
bann1247	Bannoni	Austronesian	Papunesia	72	70	61	87.14
leng1259	Lengo	Austronesian	Papunesia	172	85	74	87.06
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	77	67	87.01
kapi1249	Kapingamarangi	Austronesian	Papunesia	72	37	32	86.49
wuvu1239	Wuvulu-Aua	Austronesian	Papunesia	151	73	63	86.3
surs1246	Sursurunga	Austronesian	Papunesia	159	80	69	86.25
ngul1236	Nguluwan	Austronesian	Papunesia	56	29	25	86.21
kwar1239	Kwara'ae	Austronesian	Papunesia	186	86	74	86.05
siar1238	Siar-Lak	Austronesian	Papunesia	87	78	67	85.9
bera1262	Berau Malay	Austronesian	Papunesia	11	7	6	85.71
mele1250	Mele-Fila	Austronesian	Papunesia	115	56	48	85.71
sons1242	Sonsorol	Austronesian	Papunesia	181	84	72	85.71
arop1243	Arop-Lokep	Austronesian	Papunesia	161	83	71	85.54
tali1259	Talise	Austronesian	Papunesia	142	76	65	85.53
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	69	59	85.51
labo1244	Ninde	Austronesian	Papunesia	122	62	53	85.48
chek1238	Cheke Holo	Austronesian	Papunesia	167	81	69	85.19
baba1268	Babatana	Austronesian	Papunesia	138	67	57	85.07
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	67	57	85.07
loni1238	Loniu	Austronesian	Papunesia	185	86	73	84.88
meng1267	Mengen	Austronesian	Papunesia	98	86	73	84.88
tang1347	Movono	Austronesian	Papunesia	159	78	66	84.62
ughe1237	Ughele	Austronesian	Papunesia	182	84	71	84.52
anut1237	Anuta	Austronesian	Papunesia	153	77	65	84.42
tean1237	Teanu	Austronesian	Papunesia	147	82	69	84.15
naka1262	Nakanai	Austronesian	Papunesia	173	88	74	84.09
emae1237	Emae	Austronesian	Papunesia	156	75	63	84
nort2839	North Ambrym	Austronesian	Papunesia	174	81	68	83.95
sude1239	Sudest	Austronesian	Papunesia	159	80	67	83.75
reng1252	Rengao	Austroasiatic	Eurasia	172	86	72	83.72
tiga1245	Tigak	Austronesian	Papunesia	171	86	72	83.72
lauu1247	Lau	Austronesian	Papunesia	141	67	56	83.58
nots1237	Notsi	Austronesian	Papunesia	147	73	61	83.56
kove1237	Kove	Austronesian	Papunesia	180	85	71	83.53
bola1250	Bola	Austronesian	Papunesia	193	90	75	83.33
gese1240	Geser-Gorom	Austronesian	Papunesia	69	30	25	83.33
karn1252	Karnai	Austronesian	Papunesia	142	72	60	83.33
saaa1240	Sa'a	Austronesian	Papunesia	145	78	65	83.33
biha1246	Bih	Austronesian	Eurasia	182	89	74	83.15
lote1237	Lote	Austronesian	Papunesia	178	88	73	82.95
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	76	63	82.89
vera1241	Vera'a	Austronesian	Papunesia	191	87	72	82.76
tane1237	Tanema	Austronesian	Papunesia	154	81	67	82.72
tolo1255	Tolomako	Austronesian	Papunesia	120	63	52	82.54
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	80	66	82.5
aros1241	Arosi	Austronesian	Papunesia	141	74	61	82.43
baki1244	Baki	Austronesian	Papunesia	152	74	61	82.43
east2332	Eastern Bru	Austroasiatic	Eurasia	134	68	56	82.35
lihi1237	Lihir	Austronesian	Papunesia	143	79	65	82.28
caro1242	Carolinian	Austronesian	Papunesia	154	73	60	82.19
chuu1238	Chuukese	Austronesian	Papunesia	132	73	60	82.19
kara1486	Kara (Papua New Guinea)	Austronesian	Papunesia	177	84	69	82.14
tido1248	Tidore	North Halmahera	Papunesia	96	84	69	82.14
mans1260	Mansim	Hatam-Mansim	Papunesia	71	39	32	82.05
mota1237	Mota	Austronesian	Papunesia	107	50	41	82
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	72	59	81.94
reja1241	Rejang Kayan	Austronesian	Papunesia	140	72	59	81.94
east2443	East Ambae	Austronesian	Papunesia	182	88	72	81.82
kair1263	Kairiru	Austronesian	Papunesia	73	66	54	81.82
papa1265	Papapana	Austronesian	Papunesia	188	88	72	81.82
lewo1242	Lewo	Austronesian	Papunesia	173	82	67	81.71
lusi1240	Lusi	Austronesian	Papunesia	144	82	67	81.71
port1285	Port Sandwich	Austronesian	Papunesia	174	82	67	81.71
tuva1244	Tuvalu	Austronesian	Papunesia	179	82	67	81.71
tang1348	Tangga	Austronesian	Papunesia	140	71	58	81.69
