Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	19	17	89.47
kaur1267	Kaurna	Pama-Nyungan	Australia	48	28	25	89.29
ndom1245	Ndom	Kolopom	Papunesia	74	52	44	84.62
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
dyir1250	Dyirbal	Pama-Nyungan	Australia	78	47	39	82.98
hrus1242	Hruso		Eurasia	89	58	48	82.76
awab1243	Awabakal	Pama-Nyungan	Australia	67	39	32	82.05
waja1257	Wajarri	Pama-Nyungan	Australia	65	38	31	81.58
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	38	31	81.58
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	13	81.25
onge1236	Önge	Jarawa-Onge	Eurasia	46	32	26	81.25
warr1255	Warrgamay	Pama-Nyungan	Australia	80	48	39	81.25
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	74	60	81.08
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	88	71	80.68
darl1243	Paakantyi	Pama-Nyungan	Australia	45	25	20	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
siam1242	Siamou		Africa	134	75	60	80
dhar1247	Dhargari	Pama-Nyungan	Australia	77	48	38	79.17
guhu1244	Guhu-Samane	Nuclear Trans New Guinea	Papunesia	167	96	76	79.17
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	57	45	78.95
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	47	37	78.72
phom1236	Phom Naga	Sino-Tibetan	Eurasia	158	94	74	78.72
east2379	Eastern Arrernte	Pama-Nyungan	Australia	93	56	44	78.57
ying1247	Yinggarda	Pama-Nyungan	Australia	65	42	33	78.57
pura1257	Purari		Papunesia	158	92	72	78.26
tibe1274	Tibea	Atlantic-Congo	Africa	95	46	36	78.26
gogo1265	Gogodala	Suki-Gogodala	Papunesia	166	96	75	78.12
gung1248	Gungabula	Pama-Nyungan	Australia	44	32	25	78.12
foii1241	Foi	East Kutubu	Papunesia	118	73	57	78.08
