Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
pile1238	Vaeakau-Taumako	Austronesian	Papunesia	184	168	149	88.69
tiga1245	Tigak	Austronesian	Papunesia	171	164	145	88.41
mand1440	Mandara	Austronesian	Papunesia	177	164	144	87.8
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	84	73	86.9
taku1257	Takuu	Austronesian	Papunesia	168	158	137	86.71
tali1259	Talise	Austronesian	Papunesia	142	135	117	86.67
tung1290	Tungag	Austronesian	Papunesia	178	165	143	86.67
piji1239	Pijin	Indo-European	Papunesia	154	148	128	86.49
tokp1240	Tok Pisin	Indo-European	Papunesia	184	168	145	86.31
hala1252	Halang	Austroasiatic	Eurasia	82	79	68	86.08
ajie1238	Ajië	Austronesian	Papunesia	149	142	122	85.92
leme1238	Lemerig	Austronesian	Papunesia	164	153	131	85.62
amar1272	Amara	Austronesian	Papunesia	148	142	121	85.21
tane1237	Tanema	Austronesian	Papunesia	154	145	123	84.83
tang1347	Movono	Austronesian	Papunesia	159	151	128	84.77
lamo1244	Lamogai	Austronesian	Papunesia	135	131	111	84.73
bann1247	Bannoni	Austronesian	Papunesia	72	72	61	84.72
aros1241	Arosi	Austronesian	Papunesia	141	137	116	84.67
java1254	Javanese	Austronesian	Papunesia	84	78	66	84.62
wala1266	Wala	Austronesian	Papunesia	150	143	121	84.62
east2563	Eastern Cham	Austronesian	Eurasia	92	84	71	84.52
surs1246	Sursurunga	Austronesian	Papunesia	159	155	131	84.52
jehh1245	Jeh	Austroasiatic	Eurasia	139	122	103	84.43
tolo1255	Tolomako	Austronesian	Papunesia	120	115	97	84.35
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	107	90	84.11
sisi1250	Sisiqa	Austronesian	Papunesia	71	69	58	84.06
anut1237	Anuta	Austronesian	Papunesia	153	144	121	84.03
kara1486	Kara (Papua New Guinea)	Austronesian	Papunesia	177	162	136	83.95
vano1237	Lovono	Austronesian	Papunesia	146	137	115	83.94
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	154	129	83.77
lauu1247	Lau	Austronesian	Papunesia	141	129	108	83.72
sapo1253	Saposa	Austronesian	Papunesia	145	141	118	83.69
waim1252	Waima'a	Austronesian	Papunesia	144	141	118	83.69
west2397	Western Bru	Austroasiatic	Eurasia	157	147	123	83.67
ngul1236	Nguluwan	Austronesian	Papunesia	56	55	46	83.64
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	55	46	83.64
loni1238	Loniu	Austronesian	Papunesia	185	171	143	83.63
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
keoo1238	Kéo	Austronesian	Papunesia	187	168	140	83.33
mlab1235	Mlabri	Austroasiatic	Eurasia	182	168	140	83.33
labo1244	Ninde	Austronesian	Papunesia	122	119	99	83.19
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	89	74	83.15
nort2994	Northern Roglai	Austronesian	Eurasia	90	83	69	83.13
oroh1237	Oroha	Austronesian	Papunesia	118	112	93	83.04
lote1237	Lote	Austronesian	Papunesia	178	165	137	83.03
dumb1241	Dumbea	Austronesian	Papunesia	173	159	132	83.02
uuuu1243	U	Austroasiatic	Eurasia	139	129	107	82.95
tean1237	Teanu	Austronesian	Papunesia	147	140	116	82.86
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	128	106	82.81
mang1378	Mang	Austroasiatic	Eurasia	158	151	125	82.78
maku1277	Maku'a	Austronesian	Papunesia	29	29	24	82.76
torr1261	Torres Strait-Lockhart River Creole	Indo-European	Australia	190	174	144	82.76
teop1238	Teop	Austronesian	Papunesia	149	139	115	82.73
bola1250	Bola	Austronesian	Papunesia	193	173	143	82.66
tetu1246	Tetun Dili	Austronesian	Papunesia	183	167	138	82.63
gada1258	Ga'dang	Austronesian	Papunesia	70	69	57	82.61
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	138	114	82.61
seda1262	Sedang	Austroasiatic	Eurasia	178	161	133	82.61
alor1247	Alorese	Austronesian	Papunesia	168	155	128	82.58
monn1252	Mon	Austroasiatic	Eurasia	91	86	71	82.56
aulu1238	Aulua	Austronesian	Papunesia	160	149	123	82.55
noku1237	Nokuku	Austronesian	Papunesia	156	149	123	82.55
oldm1242	Old Mon	Austroasiatic	Eurasia	171	154	127	82.47
west2516	West Uvean	Austronesian	Papunesia	189	171	141	82.46
louu1245	Lou	Austronesian	Papunesia	176	165	136	82.42
kuan1248	Kuanua	Austronesian	Papunesia	174	159	131	82.39
bara1370	Baram Kayan	Austronesian	Papunesia	143	136	112	82.35
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	147	121	82.31
oldm1243	Old Malay	Austronesian	Papunesia	119	113	93	82.3
mala1479	Colloquial Malay	Austronesian	Eurasia	153	141	116	82.27
vinm1237	Neve'ei	Austronesian	Papunesia	143	135	111	82.22
sika1261	Sikaiana	Austronesian	Papunesia	173	163	134	82.21
sooo1254	Sô	Austroasiatic	Eurasia	176	163	134	82.21
adze1240	Adzera	Austronesian	Papunesia	158	146	120	82.19
mund1326	Mündü	Atlantic-Congo	Africa	120	112	92	82.14
phai1238	Prai	Austroasiatic	Eurasia	186	168	138	82.14
sout2895	South Nuaulu	Austronesian	Papunesia	158	145	119	82.07
gela1263	Gela	Austronesian	Papunesia	181	167	137	82.04
sana1297	San Andres Creole English	Indo-European	North America	168	150	123	82
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	172	141	81.98
daka1243	Dakaka	Austronesian	Papunesia	187	166	136	81.93
baro1253	Barok	Austronesian	Papunesia	165	149	122	81.88
indo1316	Indonesian	Austronesian	Papunesia	96	88	72	81.82
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	154	126	81.82
bari1286	Bariai	Austronesian	Papunesia	176	164	134	81.71
beka1241	Riuk Bekati'	Austronesian	Papunesia	179	164	134	81.71
