Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
kips1239	Kipsigis	Nilotic	Africa	156	142	128	90.14
mosi1247	Akie	Nilotic	Africa	167	153	134	87.58
tenn1246	Tennet	Surmic	Africa	158	130	111	85.38
tuge1241	Tugen	Nilotic	Africa	126	122	104	85.25
belu1239	Belueli	Atlantic-Congo	Africa	73	61	51	83.61
cani1243	Canichana		South America	50	47	39	82.98
poko1263	Pökoot	Nilotic	Africa	153	142	117	82.39
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	83	68	81.93
poya1241	Poyanáwa	Pano-Tacanan	South America	50	38	31	81.58
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	112	91	81.25
tega1236	Tegali	Rashad	Africa	82	69	56	81.16
mang1394	Mangbetu	Central Sudanic	Africa	154	131	106	80.92
bert1248	Berta		Africa	119	99	80	80.81
zinz1238	Zinza	Atlantic-Congo	Africa	106	87	70	80.46
nara1262	Nara		Africa	132	127	102	80.31
sooo1256	Soo	Kuliak	Africa	82	76	61	80.26
ndob1238	Ndobo	Atlantic-Congo	Africa	85	81	65	80.25
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	106	85	80.19
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	131	105	80.15
bong1284	Bongili	Atlantic-Congo	Africa	102	95	76	80
murl1244	Murle	Surmic	Africa	175	144	115	79.86
turk1308	Turkana	Nilotic	Africa	99	89	71	79.78
beng1282	Benga	Atlantic-Congo	Africa	132	112	89	79.46
ines1240	Ineseño	Chumashan	North America	173	140	111	79.29
biaf1240	Biafada	Atlantic-Congo	Africa	123	106	84	79.25
noon1243	Noone	Atlantic-Congo	Africa	172	144	114	79.17
kaby1243	Kabyle	Afro-Asiatic	Africa	65	62	49	79.03
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	114	90	78.95
vunj1238	Vunjo	Atlantic-Congo	Africa	165	133	105	78.95
soga1242	Soga	Atlantic-Congo	Africa	181	147	116	78.91
bafi1243	Bafia	Atlantic-Congo	Africa	173	141	111	78.72
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	126	99	78.57
soli1239	Soli	Atlantic-Congo	Africa	101	84	66	78.57
koti1238	Koti	Atlantic-Congo	Africa	182	149	117	78.52
saga1262	Sagalla	Atlantic-Congo	Africa	152	121	95	78.51
jiba1237	Jiba	Atlantic-Congo	Africa	120	102	80	78.43
molo1266	Moloko	Afro-Asiatic	Africa	109	88	69	78.41
