Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	5	5	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	1	1	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	3	3	100
gung1248	Gungabula	Pama-Nyungan	Australia	44	16	15	93.75
poya1241	Poyanáwa	Pano-Tacanan	South America	50	13	12	92.31
onge1236	Önge	Jarawa-Onge	Eurasia	46	20	18	90
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	25	22	88
etru1241	Etruscan		Eurasia	130	41	36	87.8
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	8	7	87.5
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	46	40	86.96
tumu1242	Tumulung Sisaala	Atlantic-Congo	Africa	95	38	33	86.84
tief1242	Tiefo-Daramandugu	Atlantic-Congo	Africa	177	50	43	86
nara1262	Nara		Africa	132	42	36	85.71
suru1262	Suruí	Tupian	South America	18	7	6	85.71
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	45	38	84.44
mara1396	Mararit	Tamaic	Africa	92	32	27	84.38
melo1242	Melo	Ta-Ne-Omotic	Africa	163	44	37	84.09
anga1288	Angami Naga	Sino-Tibetan	Eurasia	180	50	42	84
hind1269	Hindi	Indo-European	Eurasia	187	50	42	84
sout2826	Southern Grebo	Kru	Africa	85	31	26	83.87
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	43	36	83.72
wapp1239	Wappo	Yuki-Wappo	North America	177	49	41	83.67
defa1248	Defaka	Ijoid	Africa	75	30	25	83.33
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	48	40	83.33
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	17	14	82.35
daas1238	Daasanach	Afro-Asiatic	Africa	191	51	42	82.35
jalk1242	Jalkunan	Mande	Africa	172	51	42	82.35
lugb1240	Lugbara	Central Sudanic	Africa	165	51	42	82.35
miju1243	Kman	Sino-Tibetan	Eurasia	192	51	42	82.35
samo1303	Samo	East Strickland	Papunesia	44	17	14	82.35
thak1245	Thakali	Sino-Tibetan	Eurasia	193	51	42	82.35
koit1244	Koitabu	Koiarian	Papunesia	168	50	41	82
niha1238	Nihali		Eurasia	164	50	41	82
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	50	41	82
tomm1242	Tommo So Dogon	Dogon	Africa	167	50	41	82
gese1240	Geser-Gorom	Austronesian	Papunesia	69	22	18	81.82
koyr1242	Koyraboro Senni Songhai	Songhay	Africa	168	44	36	81.82
nyun1247	Nyunga	Pama-Nyungan	Australia	26	11	9	81.82
guhu1244	Guhu-Samane	Nuclear Trans New Guinea	Papunesia	167	49	40	81.63
komi1269	Komi-Permyak	Uralic	Eurasia	181	49	40	81.63
ndun1249	Ndunga	Atlantic-Congo	Africa	127	38	31	81.58
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	43	35	81.4
ngaa1240	Ngaanyatjarra	Pama-Nyungan	Australia	154	43	35	81.4
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	48	39	81.25
kari1306	Kari	Atlantic-Congo	Africa	76	32	26	81.25
mang1403	Mangseng	Austronesian	Papunesia	165	48	39	81.25
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	48	39	81.25
sici1249	Sìcìté Sénoufo	Atlantic-Congo	Africa	143	42	34	80.95
dyul1238	Dyula	Mande	Africa	157	47	38	80.85
tama1331	Tama (Chad)	Tamaic	Africa	139	47	38	80.85
suru1261	Suruí Do Pará	Tupian	South America	68	26	21	80.77
bafa1247	Bafaw-Balong	Atlantic-Congo	Africa	130	36	29	80.56
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	41	33	80.49
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	46	37	80.43
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	46	37	80.43
orma1241	Orma	Afro-Asiatic	Africa	128	46	37	80.43
para1302	Para Naga	Sino-Tibetan	Eurasia	157	46	37	80.43
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	46	37	80.43
yona1241	Yonaguni	Japonic	Eurasia	164	46	37	80.43
serr1255	Serrano	Uto-Aztecan	North America	183	51	41	80.39
tera1251	Tera	Afro-Asiatic	Africa	152	51	41	80.39
wara1303	Warao		South America	185	51	41	80.39
zarm1239	Zarma	Songhay	Africa	189	51	41	80.39
belu1239	Belueli	Atlantic-Congo	Africa	73	30	24	80
chak1271	Chakali	Atlantic-Congo	Africa	191	50	40	80
koro1312	Korowai	Nuclear Trans New Guinea	Papunesia	96	30	24	80
kunz1244	Kunza		South America	72	35	28	80
lala1268	Lala	Austronesian	Papunesia	187	50	40	80
lamb1269	Lambadi	Indo-European	Eurasia	155	45	36	80
luis1253	Luiseno-Juaneño	Uto-Aztecan	North America	181	50	40	80
lule1238	Lule		South America	146	50	40	80
toar1246	Toaripi	Eleman	Papunesia	186	50	40	80
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	15	12	80
waim1251	Waima	Austronesian	Papunesia	186	50	40	80
west2624	Western Huasteca Nahuatl	Uto-Aztecan	North America	128	40	32	80
cent2150	Central Tunebo	Chibchan	South America	159	49	39	79.59
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	49	39	79.59
doma1260	Domaaki	Indo-European	Eurasia	144	49	39	79.59
doro1266	Doromu-Koki	Manubaran	Papunesia	167	49	39	79.59
keap1239	Keapara	Austronesian	Papunesia	174	49	39	79.59
nend1239	Nend	Nuclear Trans New Guinea	Papunesia	169	49	39	79.59
nort2972	Northern Emberá	Chocoan	South America	167	49	39	79.59
nucl1235	Eastern Armenian	Indo-European	Eurasia	188	49	39	79.59
payn1244	Manat	Nuclear Trans New Guinea	Papunesia	162	49	39	79.59
qawa1238	Qawasqar	Kawesqar	South America	164	49	39	79.59
sanb1242	San Blas Kuna	Chibchan	South America	165	49	39	79.59
kaki1249	Kaki Ae		Papunesia	138	44	35	79.55
mara1382	Mara Chin	Sino-Tibetan	Eurasia	160	44	35	79.55
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	44	35	79.55
bekw1242	Bekwil	Atlantic-Congo	Africa	100	39	31	79.49
yora1241	Yora	Pano-Tacanan	South America	129	39	31	79.49
mans1260	Mansim	Hatam-Mansim	Papunesia	71	29	23	79.31
tibe1274	Tibea	Atlantic-Congo	Africa	95	29	23	79.31
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	29	23	79.31
bang1369	Bangru	Sino-Tibetan	Eurasia	151	48	38	79.17
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	48	38	79.17
boun1243	Bouna Kulango	Atlantic-Congo	Africa	179	48	38	79.17
gapa1238	Gapapaiwa	Austronesian	Papunesia	157	48	38	79.17
