Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	9	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	35	31	88.57
west2650	Western Cham	Austronesian	Eurasia	151	141	124	87.94
blan1242	Blang	Austroasiatic	Eurasia	159	147	129	87.76
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	56	87.5
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	46	86.79
hala1252	Halang	Austroasiatic	Eurasia	82	75	65	86.67
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	140	121	86.43
kimm1246	Kim	Atlantic-Congo	Africa	129	125	108	86.4
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	166	143	86.14
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	149	128	85.91
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	149	128	85.91
golo1234	Golo	Atlantic-Congo	Africa	82	78	67	85.9
bolg1251	Bolgo	Atlantic-Congo	Africa	78	77	66	85.71
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	14	12	85.71
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	175	150	85.71
lach1248	Lachi	Tai-Kadai	Eurasia	167	154	132	85.71
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	174	149	85.63
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	124	106	85.48
leme1238	Lemerig	Austronesian	Papunesia	164	151	129	85.43
fonn1241	Fon	Atlantic-Congo	Africa	189	171	146	85.38
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	123	105	85.37
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	177	151	85.31
sooo1254	Sô	Austroasiatic	Eurasia	176	163	139	85.28
