Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	5	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	52	50	96.15
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	46	44	95.65
hrus1242	Hruso		Eurasia	89	61	57	93.44
samo1303	Samo	East Strickland	Papunesia	44	15	14	93.33
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	14	13	92.86
usan1239	Usan	Nuclear Trans New Guinea	Papunesia	100	41	38	92.68
embe1260	Emberá-Catío	Chocoan	South America	164	63	58	92.06
doro1266	Doromu-Koki	Manubaran	Papunesia	167	73	67	91.78
mauw1238	Mauwake	Nuclear Trans New Guinea	Papunesia	92	34	31	91.18
gung1248	Gungabula	Pama-Nyungan	Australia	44	22	20	90.91
awab1243	Awabakal	Pama-Nyungan	Australia	67	32	29	90.62
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	53	48	90.57
nucl1633	Nimboran	Nimboranic	Papunesia	171	74	67	90.54
kara1476	Karadjeri	Pama-Nyungan	Australia	67	31	28	90.32
rian1263	Riantana	Kolopom	Papunesia	112	71	64	90.14
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	20	18	90
kima1246	Kimaama	Kolopom	Papunesia	92	68	61	89.71
wamb1259	Wambon	Nuclear Trans New Guinea	Papunesia	94	38	34	89.47
qawa1238	Qawasqar	Kawesqar	South America	164	66	59	89.39
awac1239	Awa-Cuaiquer	Barbacoan	South America	157	65	58	89.23
chib1270	Chibcha	Chibchan	South America	148	63	56	88.89
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	36	32	88.89
ango1257	Angosturas Tunebo	Chibchan	South America	136	61	54	88.52
safw1238	Safwa	Atlantic-Congo	Africa	48	17	15	88.24
unaa1239	Una	Nuclear Trans New Guinea	Papunesia	85	34	30	88.24
pawa1255	Pawaia		Papunesia	110	67	59	88.06
dier1241	Dieri	Pama-Nyungan	Australia	66	25	22	88
