Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	5	5	100
mans1260	Mansim	Hatam-Mansim	Papunesia	71	56	52	92.86
haro1237	Haroi	Austronesian	Eurasia	95	67	62	92.54
chra1242	Chrau	Austroasiatic	Eurasia	166	121	111	91.74
yinc1238	Yinchia	Austroasiatic	Eurasia	65	56	51	91.07
homa1239	Homa	Atlantic-Congo	Africa	14	10	9	90
iban1264	Iban	Austronesian	Papunesia	188	135	121	89.63
east2485	Eastern Penan	Austronesian	Papunesia	147	112	100	89.29
mera1242	Meramera	Austronesian	Papunesia	54	37	33	89.19
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	100	89	89
reng1252	Rengao	Austroasiatic	Eurasia	172	127	113	88.98
lotu1250	Lotud	Austronesian	Papunesia	132	106	94	88.68
kweg1241	Kwegu	Surmic	Africa	162	123	109	88.62
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	52	46	88.46
rung1259	Rungus	Austronesian	Papunesia	137	109	96	88.07
east2332	Eastern Bru	Austroasiatic	Eurasia	134	99	87	87.88
sema1266	Semai	Austroasiatic	Eurasia	141	107	94	87.85
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	41	36	87.8
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	114	100	87.72
keri1250	Kerinci	Austronesian	Papunesia	127	97	85	87.63
lund1271	Lundayeh	Austronesian	Papunesia	141	113	99	87.61
sapu1248	Sapuan	Austroasiatic	Eurasia	152	113	99	87.61
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	64	56	87.5
ramo1244	Ramoaaina	Austronesian	Papunesia	52	40	35	87.5
karn1252	Karnai	Austronesian	Papunesia	142	109	95	87.16
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	109	95	87.16
hala1252	Halang	Austroasiatic	Eurasia	82	54	47	87.04
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	100	87	87
