Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	3	3	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
tain1254	Taino	Arawakan	North America	4	2	2	100
golo1234	Golo	Atlantic-Congo	Africa	82	56	54	96.43
nzak1247	Nzakara	Atlantic-Congo	Africa	130	63	60	95.24
mund1326	Mündü	Atlantic-Congo	Africa	120	47	43	91.49
mans1260	Mansim	Hatam-Mansim	Papunesia	71	33	30	90.91
bara1361	Barambu	Atlantic-Congo	Africa	128	56	50	89.29
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	63	56	88.89
bong1285	Bongo	Central Sudanic	Africa	146	62	55	88.71
gobu1238	Gobu	Atlantic-Congo	Africa	141	60	53	88.33
gbay1278	Gbayi	Atlantic-Congo	Africa	58	34	30	88.24
bela1256	Belanda Bor	Nilotic	Africa	76	52	45	86.54
umot1240	Umotína	Bororoan	South America	73	36	31	86.11
beel1236	Beele	Afro-Asiatic	Africa	52	21	18	85.71
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	14	12	85.71
zand1248	Zande	Atlantic-Congo	Africa	118	63	54	85.71
yako1252	Yakoma	Atlantic-Congo	Africa	143	55	47	85.45
jurm1239	Jur Modo	Central Sudanic	Africa	159	61	52	85.25
pamb1243	Pambia	Atlantic-Congo	Africa	131	61	52	85.25
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	20	17	85
bolg1251	Bolgo	Atlantic-Congo	Africa	78	46	39	84.78
tega1236	Tegali	Rashad	Africa	82	46	39	84.78
thai1261	Thai	Tai-Kadai	Eurasia	101	46	39	84.78
mban1263	Mbandja	Atlantic-Congo	Africa	162	64	54	84.38
avok1242	Avokaya	Central Sudanic	Africa	122	50	42	84
molo1266	Moloko	Afro-Asiatic	Africa	109	37	31	83.78
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	30	25	83.33
cuaa1241	Cua	Austroasiatic	Eurasia	8	6	5	83.33
gaaa1245	Gaa	Atlantic-Congo	Africa	79	24	20	83.33
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	60	50	83.33
mids1243	Mid-Southern Banda	Atlantic-Congo	Africa	123	60	50	83.33
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	60	50	83.33
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	66	55	83.33
ngam1268	Ngambay	Central Sudanic	Africa	156	59	49	83.05
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	59	49	83.05
yulu1243	Yulu-Binga	Central Sudanic	Africa	149	64	53	82.81
monz1249	Monzombo	Atlantic-Congo	Africa	119	58	48	82.76
yinc1238	Yinchia	Austroasiatic	Eurasia	65	29	24	82.76
asoa1238	Asoa	Central Sudanic	Africa	94	46	38	82.61
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	61	50	81.97
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	66	54	81.82
geru1240	Geruma	Afro-Asiatic	Africa	66	22	18	81.82
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	33	27	81.82
lusi1240	Lusi	Austronesian	Papunesia	144	60	49	81.67
ngul1236	Nguluwan	Austronesian	Papunesia	56	27	22	81.48
baka1274	Baka (South Sudan)	Central Sudanic	Africa	137	64	52	81.25
kimm1246	Kim	Atlantic-Congo	Africa	129	53	43	81.13
bari1286	Bariai	Austronesian	Papunesia	176	63	51	80.95
cakf1236	Cakfem-Mushere-Jibyal	Afro-Asiatic	Africa	173	63	51	80.95
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	63	51	80.95
dana1252	Danau	Austroasiatic	Eurasia	179	62	50	80.65
gala1264	Galambu	Afro-Asiatic	Africa	79	36	29	80.56
nort2864	Wemale	Austronesian	Papunesia	76	36	29	80.56
ling1263	Kinshasa Lingala	Atlantic-Congo	Africa	75	41	33	80.49
lang1324	Lango (Uganda)	Nilotic	Africa	90	51	41	80.39
gbay1288	Kresh-Woro	Kresh-Aja	Africa	134	61	49	80.33
mono1270	Mono (Democratic Republic of Congo)	Atlantic-Congo	Africa	149	61	49	80.33
kaba1281	Kaba	Central Sudanic	Africa	166	66	53	80.3
kado1242	Kado	Sino-Tibetan	Eurasia	184	66	53	80.3
band1344	Banda-Bambari	Atlantic-Congo	Africa	176	65	52	80
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
khan1274	Kháng	Austroasiatic	Eurasia	168	60	48	80
kolb1240	Kolbila	Atlantic-Congo	Africa	178	60	48	80
laoo1244	Lao	Tai-Kadai	Eurasia	99	45	36	80
maon1241	Maonan	Tai-Kadai	Eurasia	94	40	32	80
mayo1261	Mayogo	Atlantic-Congo	Africa	168	65	52	80
ndog1248	Ndogo	Atlantic-Congo	Africa	177	65	52	80
omii1238	Omi	Central Sudanic	Africa	18	5	4	80
jalk1242	Jalkunan	Mande	Africa	172	64	51	79.69
boly1239	Bolyu	Austroasiatic	Eurasia	166	59	47	79.66
huaa1248	East Taa	Tuu	Africa	164	59	47	79.66
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	59	47	79.66
mang1403	Mangseng	Austronesian	Papunesia	165	59	47	79.66
ling1265	Neverver	Austronesian	Papunesia	157	58	46	79.31
yawa1260	Yawanawa	Pano-Tacanan	South America	148	58	46	79.31
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	48	38	79.17
hyam1245	Hyam	Atlantic-Congo	Africa	93	48	38	79.17
meng1267	Mengen	Austronesian	Papunesia	98	48	38	79.17
kamm1249	Kam	Atlantic-Congo	Africa	191	67	53	79.1
monn1252	Mon	Austroasiatic	Eurasia	91	43	34	79.07
seng1281	Sengseng	Austronesian	Papunesia	100	43	34	79.07
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	62	49	79.03
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	57	45	78.95
goem1240	Goemai	Afro-Asiatic	Africa	92	57	45	78.95
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	57	45	78.95
ango1257	Angosturas Tunebo	Chibchan	South America	136	52	41	78.85
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	52	41	78.85
ngba1285	Ngbaka Minagende	Atlantic-Congo	Africa	168	66	52	78.79
paun1241	Paunaka	Arawakan	South America	99	47	37	78.72
waro1242	Waropen	Austronesian	Papunesia	137	47	37	78.72
keng1240	Kenga	Central Sudanic	Africa	124	61	48	78.69
idom1241	Idoma	Atlantic-Congo	Africa	144	56	44	78.57
mina1276	Mina (Cameroon)	Afro-Asiatic	Africa	185	65	51	78.46
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	51	40	78.43
zulg1242	Zulgo-Gemzek	Afro-Asiatic	Africa	133	51	40	78.43
adon1237	Adonara	Austronesian	Papunesia	165	60	47	78.33
lele1267	Lelepa	Austronesian	Papunesia	149	60	47	78.33
teda1241	Tedaga	Saharan	Africa	160	60	47	78.33
tera1251	Tera	Afro-Asiatic	Africa	152	60	47	78.33
kari1306	Kari	Atlantic-Congo	Africa	76	46	36	78.26
eton1253	Eton-Mengisa	Atlantic-Congo	Africa	115	55	43	78.18
west2650	Western Cham	Austronesian	Eurasia	151	55	43	78.18
marg1265	Marghi Central	Afro-Asiatic	Africa	184	64	50	78.12
nort3047	North Giziga	Afro-Asiatic	Africa	176	64	50	78.12
birr1240	Birri	Central Sudanic	Africa	120	59	46	77.97
lagw1237	Lagwan	Afro-Asiatic	Africa	164	59	46	77.97
ibib1240	Ibibio	Atlantic-Congo	Africa	140	54	42	77.78
kara1499	Kalamang	West Bomberai	Papunesia	99	45	35	77.78
kima1246	Kimaama	Kolopom	Papunesia	92	45	35	77.78
sioo1240	Sio	Austronesian	Papunesia	175	63	49	77.78
livv1243	Livvi	Uralic	Eurasia	195	67	52	77.61
ludi1246	Ludian	Uralic	Eurasia	192	67	52	77.61
mund1325	Mundang	Atlantic-Congo	Africa	190	67	52	77.61
meen1242	Me'en	Surmic	Africa	167	58	45	77.59
twan1247	Twana	Salishan	North America	87	40	31	77.5
ewee1241	Ewe	Atlantic-Congo	Africa	162	62	48	77.42
giiw1236	Giiwo	Afro-Asiatic	Africa	70	31	24	77.42
lend1245	Lendu	Central Sudanic	Africa	159	62	48	77.42
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	62	48	77.42
tong1308	Maniq	Austroasiatic	Eurasia	163	62	48	77.42
zulu1248	Zulu	Atlantic-Congo	Africa	42	31	24	77.42
gaaa1244	Ga	Atlantic-Congo	Africa	133	53	41	77.36
lamo1244	Lamogai	Austronesian	Papunesia	135	53	41	77.36
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	53	41	77.36
anem1249	Anem		Papunesia	91	44	34	77.27
koyr1242	Koyraboro Senni Songhai	Songhay	Africa	168	66	51	77.27
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	57	44	77.19
waja1259	Waja	Atlantic-Congo	Africa	133	57	44	77.19
gaam1241	Gaam	Eastern Jebel	Africa	83	48	37	77.08
iwal1237	Iwal	Austronesian	Papunesia	134	48	37	77.08
ajas1235	Aja (South Sudan)	Kresh-Aja	Africa	130	61	47	77.05
gade1242	Gade	Atlantic-Congo	Africa	178	61	47	77.05
kalm1243	Oirad-Kalmyk-Darkhat	Mongolic-Khitan	Eurasia	165	61	47	77.05
