Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
mehi1240	Mehináku	Arawakan	South America	4	3	3	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
poya1241	Poyanáwa	Pano-Tacanan	South America	50	26	23	88.46
daha1245	Dahalo	Afro-Asiatic	Africa	46	31	26	83.87
ndom1245	Ndom	Kolopom	Papunesia	74	37	31	83.78
nyun1247	Nyunga	Pama-Nyungan	Australia	26	18	15	83.33
usan1239	Usan	Nuclear Trans New Guinea	Papunesia	100	96	80	83.33
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	41	34	82.93
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	50	41	82
hrus1242	Hruso		Eurasia	89	43	35	81.4
tain1253	Tainae	Angan	Papunesia	90	86	70	81.4
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	37	30	81.08
uman1240	Umanakaina	Dagan	Papunesia	99	99	80	80.81
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	5	4	80
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	4	80
gras1249	Grass Koiari	Koiarian	Papunesia	95	95	76	80
sele1250	Selepet	Nuclear Trans New Guinea	Papunesia	101	97	77	79.38
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	24	19	79.17
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	48	38	79.17
tibe1274	Tibea	Atlantic-Congo	Africa	95	43	34	79.07
siaw1243	Siawi	Amto-Musan	Papunesia	123	71	56	78.87
unaa1239	Una	Nuclear Trans New Guinea	Papunesia	85	85	67	78.82
tauy1241	Tauya	Nuclear Trans New Guinea	Papunesia	94	94	74	78.72
cent2050	Central Kanuri	Saharan	Africa	173	89	70	78.65
rawa1267	Rawa	Nuclear Trans New Guinea	Papunesia	89	89	70	78.65
bada1257	Badaga	Dravidian	Eurasia	127	79	62	78.48
amap1240	Ama (Papua New Guinea)	Left May	Papunesia	163	86	67	77.91
iyoo1238	Iyo	Nuclear Trans New Guinea	Papunesia	153	81	63	77.78
cupe1243	Cupeño	Uto-Aztecan	North America	48	22	17	77.27
yawa1260	Yawanawa	Pano-Tacanan	South America	148	79	61	77.22
yaum1237	Yau (Morobe Province)	Nuclear Trans New Guinea	Papunesia	181	92	71	77.17
kobo1249	Kobon	Nuclear Trans New Guinea	Papunesia	96	96	74	77.08
mian1256	Mian	Nuclear Trans New Guinea	Papunesia	100	96	74	77.08
kari1306	Kari	Atlantic-Congo	Africa	76	39	30	76.92
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	52	40	76.92
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	86	66	76.74
amah1246	Amahuaca	Pano-Tacanan	South America	153	81	62	76.54
mill1237	Millcayac	Huarpean	South America	122	67	51	76.12
mauw1238	Mauwake	Nuclear Trans New Guinea	Papunesia	92	92	70	76.09
koro1312	Korowai	Nuclear Trans New Guinea	Papunesia	96	96	73	76.04
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	50	38	76
chic1270	Chickasaw	Muskogean	North America	150	75	57	76
idum1241	Idu	Sino-Tibetan	Eurasia	151	75	57	76
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	87	66	75.86
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	62	47	75.81
huli1244	Huli	Nuclear Trans New Guinea	Papunesia	131	70	53	75.71
teda1241	Tedaga	Saharan	Africa	160	82	62	75.61
esee1247	Ese	Koiarian	Papunesia	75	53	40	75.47
naas1242	Naasioi	South Bougainville	Papunesia	53	53	40	75.47
fore1270	Fore	Nuclear Trans New Guinea	Papunesia	97	93	70	75.27
west2594	Western Dani	Nuclear Trans New Guinea	Papunesia	188	93	70	75.27
kora1294	Korafe-Yegha	Nuclear Trans New Guinea	Papunesia	96	96	72	75
suru1262	Suruí	Tupian	South America	18	12	9	75
tele1256	Telefol	Nuclear Trans New Guinea	Papunesia	99	95	71	74.74
embe1260	Emberá-Catío	Chocoan	South America	164	91	68	74.73
awar1248	Awara	Nuclear Trans New Guinea	Papunesia	136	75	56	74.67
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	67	50	74.63
siro1249	Siroi	Nuclear Trans New Guinea	Papunesia	98	94	70	74.47
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	90	67	74.44
uruu1244	Uru	Uru-Chipaya	South America	170	90	67	74.44
naba1256	Nabak	Nuclear Trans New Guinea	Papunesia	82	82	61	74.39
even1260	Even	Tungusic	Eurasia	141	70	52	74.29
eipo1242	Eipomek	Nuclear Trans New Guinea	Papunesia	184	97	72	74.23
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	93	69	74.19
