Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
apol1242	Apolista	Arawakan	South America	14	1	1	100
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	3	3	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	4	4	100
sara1331	Saraveca	Arawakan	South America	19	1	1	100
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	12	11	91.67
shas1239	Shasta	Shastan	North America	144	17	15	88.24
alya1239	Alyawarr	Pama-Nyungan	Australia	68	24	21	87.5
thur1254	Thurawal	Pama-Nyungan	Australia	86	16	14	87.5
wuvu1239	Wuvulu-Aua	Austronesian	Papunesia	151	24	21	87.5
arab1267	Arabana	Pama-Nyungan	Australia	62	20	17	85
papa1238	Papantla Totonac	Totonacan	North America	128	20	17	85
ying1247	Yinggarda	Pama-Nyungan	Australia	65	20	17	85
jita1239	Jita	Atlantic-Congo	Africa	75	13	11	84.62
ahin1234	Ahin-Kayapa Kalanguya	Austronesian	Papunesia	104	19	16	84.21
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	Papunesia	128	19	16	84.21
wang1291	Ngiyambaa	Pama-Nyungan	Australia	169	25	21	84
sooo1256	Soo	Kuliak	Africa	82	18	15	83.33
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	18	15	83.33
kara1487	Karao	Austronesian	Papunesia	160	23	19	82.61
kung1259	Kungarakany		Australia	82	17	14	82.35
raro1241	Southern Cook Island Maori	Austronesian	Papunesia	173	22	18	81.82
walm1241	Walmajarri	Pama-Nyungan	Australia	57	16	13	81.25
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	21	17	80.95
high1276	Highland Popoluca	Mixe-Zoque	North America	186	26	21	80.77
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	5	4	80
ibat1238	Ibatan	Austronesian	Papunesia	176	25	20	80
kurr1243	Kurrama	Pama-Nyungan	Australia	161	25	20	80
nade1244	Nadëb	Naduhup	South America	64	25	20	80
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	5	4	80
yala1262	Yalarnnga	Pama-Nyungan	Australia	157	20	16	80
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	5	4	80
otta1242	Ottawa	Algic	North America	190	29	23	79.31
yand1253	Yandruwandha	Pama-Nyungan	Australia	72	24	19	79.17
moro1287	Moronene	Austronesian	Papunesia	106	14	11	78.57
nort2885	Northern Subanen	Austronesian	Papunesia	189	28	22	78.57
uppe1275	Upper Necaxa Totonac	Totonacan	North America	176	28	22	78.57
yuca1254	Yucatec Maya	Mayan	North America	189	28	22	78.57
motu1246	Motu	Austronesian	Papunesia	160	27	21	77.78
niva1238	Nivaclé	Matacoan	South America	188	27	21	77.78
atam1240	Ata Manobo	Austronesian	Papunesia	160	26	20	76.92
cham1318	Chamicuro	Arawakan	South America	54	13	10	76.92
dhar1247	Dhargari	Pama-Nyungan	Australia	77	26	20	76.92
enap1235	Panare	Cariban	South America	146	26	20	76.92
kaur1267	Kaurna	Pama-Nyungan	Australia	48	13	10	76.92
